N,epsilon,method,seed,repeats,warmup_n,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,time_total_sec,time_iteration_sec,time_finalization_sec,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,absolute_residual,max_apply_residual,fixed_point_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,iterations,tf32_iterations,fp64_iterations,f_calls_total,tf32_f_calls,fp64_f_calls,f_calls_per_iteration,converged,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.059999999999999998,cusolver_syevd,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.21482353284955025,nan,nan,nan,nan,nan,nan,nan,4.0757449312725512e-10,nan,nan,nan,nan,0,0,0,0,0,0,nan,0,0,0,NVIDIA A100-SXM4-80GB,ok,
4096,0.059999999999999998,original_ipt_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.1514035572297871,0.1514035572297871,0,nan,nan,nan,nan,nan,4.0062731501849351e-10,nan,4.5773521079466709e-13,nan,nan,17,0,0,17,0,0,1,1,0,0,NVIDIA A100-SXM4-80GB,ok,
4096,0.059999999999999998,original_acx_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.21200631242245435,0.19532500207424164,0.0071776730939745901,nan,nan,nan,nan,nan,4.9378211958760546e-11,1.3847724325636893e-10,2.1390925498834153e-13,nan,nan,5,0,0,11,0,0,2.2000000000000002,1,0,0,NVIDIA A100-SXM4-80GB,ok,
4096,0.059999999999999998,acx_mixed_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.17074329666793348,nan,0.0071692299097776413,0.015880456380546092,nan,nan,0.15486263483762741,nan,3.8794704407457916e-11,1.3591491968164227e-10,1.195349814378482e-13,3.208233314135425e-07,1.195349814378482e-13,0,3,4,14,6,8,2,1,1,1,NVIDIA A100-SXM4-80GB,ok,
4096,0.059999999999999998,acx_mixed_rayleigh_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.35281761223450303,nan,0.0071773283183574673,0.015593104902654887,0.2510616095736623,0.015933303628116846,0.06250737486407161,0.0077222192659974096,2.1591775948146947e-09,2.1166447130037772e-13,2.0559357396156488e-15,3.208233314135425e-07,2.0559357396156488e-15,0,3,2,9,6,3,1.8,1,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.059999999999999998,cusolver_syevd,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.4472364163957536,nan,nan,nan,nan,nan,nan,nan,1.5122714095185654e-09,nan,nan,nan,nan,0,0,0,0,0,0,nan,0,0,0,NVIDIA A100-SXM4-80GB,ok,
8192,0.059999999999999998,original_ipt_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.1992995108477771,1.1992995108477771,0,nan,nan,nan,nan,nan,5.9555511929877608e-10,nan,3.2694936929417637e-13,nan,nan,18,0,0,18,0,0,1,1,0,0,NVIDIA A100-SXM4-80GB,ok,
8192,0.059999999999999998,original_acx_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.4357385070063173,1.3720373433083295,0.057841944880783557,nan,nan,nan,nan,nan,4.8037858864815721e-10,1.4542534731814766e-09,4.2657979606236732e-13,nan,nan,5,0,0,11,0,0,2.2000000000000002,1,0,0,NVIDIA A100-SXM4-80GB,ok,
8192,0.059999999999999998,acx_mixed_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.1396127995103598,nan,0.057864463701844213,0.071628575772047037,nan,nan,1.0679839518852532,nan,1.940037450137311e-09,7.2778841339480335e-09,8.378957315875373e-13,3.2596553384901548e-07,8.378957315875373e-13,0,3,4,14,6,8,2,1,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.059999999999999998,acx_mixed_rayleigh_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.3067386507056653,nan,0.057938661240041253,0.064158610720187428,0.61576869953423741,0.12405127054080367,0.44235948426648974,0.060400585643947124,8.2552139020862062e-09,5.6167438976853968e-13,3.099949863228505e-15,3.2596553384901548e-07,3.099949863228505e-15,0,3,2,9,6,3,1.8,1,1,1,NVIDIA A100-SXM4-80GB,ok,
