N,epsilon,method,seed,repeats,warmup_n,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,time_total_sec,time_iteration_sec,time_finalization_sec,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,absolute_residual,max_apply_residual,fixed_point_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,iterations,tf32_iterations,fp64_iterations,f_calls_total,tf32_f_calls,fp64_f_calls,f_calls_per_iteration,converged,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.01,cusolver_syevd,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.21505872309207916,nan,nan,nan,nan,nan,nan,nan,4.0585207355626356e-10,nan,nan,nan,nan,0,0,0,0,0,0,nan,0,0,0,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,original_ipt_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.077177512366324669,0.077177512366324669,0,nan,nan,nan,nan,nan,6.5791408569443394e-12,nan,5.1596761564813268e-14,nan,nan,8,0,0,8,0,0,1,1,0,0,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,original_acx_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.15387900890782474,0.14202312324196101,0.0071920855902135369,nan,nan,nan,nan,nan,1.073448593854084e-13,1.1094391389798902e-13,1.5157668834817511e-15,nan,nan,4,0,0,8,0,0,2,1,0,0,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,acx_mixed_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.13544708266854286,nan,0.0072124601341783997,0.015671435184776782,nan,nan,0.11977537805214525,nan,1.1067042968572728e-13,3.6836588392207295e-13,1.8382784331245288e-15,8.9761710119912543e-10,1.8382784331245288e-15,0,3,3,12,6,6,2,1,1,1,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,acx_mixed_rayleigh_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.35819277828559282,nan,0.0071717875078320505,0.015490162372589111,0.25354587361216546,0.016054557450115681,0.064648661762475967,0.0084535230882465846,5.112798371866533e-10,1.0718262907995892e-15,1.0397875708922766e-17,8.9761710119912543e-10,1.0397875708922766e-17,0,3,2,9,6,3,1.8,1,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,cusolver_syevd,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.4491061701439321,nan,nan,nan,nan,nan,nan,nan,1.5227416217849032e-09,nan,nan,nan,nan,0,0,0,0,0,0,nan,0,0,0,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,original_ipt_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.56491533974185582,0.56491533974185582,0,nan,nan,nan,nan,nan,1.6875319743238886e-11,nan,6.1590913448398496e-14,nan,nan,8,0,0,8,0,0,1,1,0,0,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,original_acx_gpu_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.0620436174795032,0.99802080262452364,0.058197322022169831,nan,nan,nan,nan,nan,3.1587690368195018e-13,1.7287288687881535e-12,2.8747572224861917e-15,nan,nan,4,0,0,8,0,0,2,1,0,0,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,acx_mixed_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,0.88151172259822486,nan,0.058030066639184953,0.063635358121246099,nan,nan,0.81787607809528706,nan,3.2839740258577039e-13,5.9323030666152716e-13,3.4528944352571181e-15,1.3765370092808091e-09,3.4528944352571181e-15,0,3,3,12,6,6,2,1,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,acx_mixed_rayleigh_tf32_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,1.3087922929786147,nan,0.058114117011427879,0.063955138716846702,0.61488672764971852,0.12470128312706948,0.44470899906009437,0.060540144424885513,1.6995536730723037e-09,3.4684609711329859e-15,1.595818747006648e-17,1.3765370092808091e-09,1.595818747006648e-17,0,3,2,9,6,3,1.8,1,1,1,NVIDIA A100-SXM4-80GB,ok,
