N,epsilon,method,seed,repeats,warmup_n,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,time_total_sec,time_iteration_sec,time_finalization_sec,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,absolute_residual,max_apply_residual,fixed_point_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,iterations,tf32_iterations,fp64_iterations,f_calls_total,tf32_f_calls,fp64_f_calls,f_calls_per_iteration,converged,tf32_converged,fp64_converged,gpu_name,status,error
26000,0.01,cusolver,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,33.296175723988561,nan,nan,nan,nan,nan,nan,nan,1.5163284425050645e-08,nan,nan,nan,nan,0,0,0,0,0,0,nan,0,0,0,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,ipt_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,18.07599209351465,18.07599209351465,0,nan,nan,nan,nan,nan,8.4623461256057599e-11,nan,9.3193728126743747e-14,nan,nan,8,0,0,8,0,0,1,1,0,0,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,ipt_tf32,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,13.4284274360165,nan,nan,1.2839838374406098,nan,nan,12.144443140458316,nan,4.2571872174965285e-11,nan,8.7679507555378e-14,3.9281214934310297e-08,8.7679507555378e-14,9,4,5,9,4,5,0.5,1,1,1,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,ipt_rayleigh,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,19.161855043750258,nan,nan,1.2832359484396876,3.7708461924456058,4.0217538611032069,8.0557883373461667,2.0302307044155894,1.5697618038469116e-08,nan,1.2853623545889191e-17,3.9281214934310297e-08,1.2853623545889191e-17,7,4,3,7,4,3,0.5,1,1,1,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,acx_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,26.349166768975557,24.339140820968897,1.9794092773459853,nan,nan,nan,nan,nan,2.0282807658651698e-12,1.656482915910859e-12,8.4879576306113313e-15,nan,nan,4,0,0,8,0,0,2,1,0,0,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,acx_tf32,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,22.280574409570544,nan,1.9840079739689827,1.9373347359709441,nan,nan,20.343239111918955,nan,2.2980332712524889e-12,5.5932233993041414e-12,1.1151036032162383e-14,1.0476433794157742e-09,1.1151036032162383e-14,0,3,3,12,6,6,2,1,1,1,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,acx_rayleigh,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,24.082027675211428,nan,1.9999664233997465,1.9371963209472596,4.9569835006259382,3.9877761404030023,11.173424921091646,2.0266467921435831,1.5810833729986892e-08,2.8839500530043211e-14,1.075348910943098e-16,1.0476433794157742e-09,1.075348910943098e-16,0,3,2,9,6,3,1.8,1,1,1,NVIDIA A100-SXM4-80GB,ok,
26000,0.02,cusolver,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,33.296979067102072,nan,nan,nan,nan,nan,nan,nan,1.5374810702739203e-08,nan,nan,nan,nan,0,0,0,0,0,0,nan,0,0,0,NVIDIA A100-SXM4-80GB,ok,
26000,0.02,ipt_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,22.104879170004278,22.104879170004278,0,nan,nan,nan,nan,nan,4.5147167644101373e-10,nan,2.2600135411239742e-13,nan,nan,10,0,0,10,0,0,1,1,0,0,NVIDIA A100-SXM4-80GB,ok,
26000,0.02,ipt_tf32,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,15.388746203668415,nan,nan,1.2846220469102263,nan,nan,14.104123654495925,nan,3.5278220138431547e-10,nan,2.058065210406561e-13,5.7098966293071144e-07,2.058065210406561e-13,10,4,6,10,4,6,0.5,1,1,1,NVIDIA A100-SXM4-80GB,ok,
26000,0.02,ipt_rayleigh,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,19.111972900573164,nan,nan,1.2860315816476942,3.7706896577030422,3.993837249930948,8.0516769862733781,2.0097374250181019,1.7171869944835297e-08,nan,8.186095312843766e-17,5.7098966293071144e-07,8.186095312843766e-17,7,4,3,7,4,3,0.5,1,1,1,NVIDIA A100-SXM4-80GB,ok,
26000,0.02,acx_fp64,20260617,5,128,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,26.397254775650801,24.367595412582158,1.9990548591129482,nan,nan,nan,nan,nan,2.3217235557328785e-11,2.9138335472569723e-10,8.1549602081515773e-14,nan,nan,4,0,0,8,0,0,2,1,0,0,NVIDIA A100-SXM4-80GB,ok,
