N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,0.21485957670956851,4.030676279973345e-10,0.07758035566657781,6.6285318933848029e-12,5.1066880767593383e-14,8,0.009104576148092746,0.061260747537016866,0.070365624781697986,6.4471041321286116e-12,9.9550949531924802e-05,4.9934977046971197e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.21485957670956851,4.030676279973345e-10,0.07758035566657781,6.6285318933848029e-12,5.1066880767593383e-14,8,0.039788170345127584,0.05006719157099724,0.089855693560093639,6.6457393099286145e-12,3.2480272577486904e-08,5.295593157808457e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,1.4491401161067188,1.5276216379040918e-09,0.56711124321445827,1.758886018181272e-11,6.5213573181514535e-14,8,0.018573738355189561,0.44418976102024316,0.46276377281174064,1.6687572695792879e-11,9.9812046794858962e-05,6.1913086392576728e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4491401161067188,1.5276216379040918e-09,0.56711124321445827,1.758886018181272e-11,6.5213573181514535e-14,8,0.24440680760890246,0.31649332977831363,0.56090049352496862,1.6892304767940885e-11,3.3705573834806427e-08,6.6105264440284743e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.8918884028680623,5.7534512230976821e-09,4.4839444817975167,4.7611928469720287e-11,8.3375732832424321e-14,8,0.083774104621261364,3.5139878486283123,3.597762324847281,4.5065450360307173e-11,9.9589031985087659e-05,7.8721174435355062e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.8918884028680623,5.7534512230976821e-09,4.4839444817975167,4.7611928469720287e-11,8.3375732832424321e-14,8,1.8861278895288707,2.5077198495157065,4.3938481259159747,4.5911903827080737e-11,3.4654543677661819e-08,8.3242923260423373e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,33.26776310456917,1.5050335745943883e-08,17.895551632530989,8.4874155878560588e-11,9.3563910139705459e-14,8,0.31058698203414681,14.001570259593427,14.312157565075903,7.7454010172289213e-11,9.9224824594025261e-05,8.4119893856388155e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.26776310456917,1.5050335745943883e-08,17.895551632530989,8.4874155878560588e-11,9.3563910139705459e-14,8,7.8176064460538326,10.024020565673709,17.841627538669854,7.736429875800314e-11,3.5376540220191408e-08,8.8941684855454849e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,6.3704792410135269e-05,nan,36.767048021126541,1.1665736739565183e-10,9.9330191618803195e-14,8,0.66118818745017049,28.90323080914095,29.564419396687299,1.053372882819182e-10,9.9187644595623932e-05,8.7759517840198296e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,6.3704792410135269e-05,nan,36.767048021126541,1.1665736739565183e-10,9.9330191618803195e-14,8,15.510062355641276,20.539862827677279,36.049925863277167,1.0237017271857891e-10,3.5480266621639177e-08,9.6132696731343034e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
