N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,time_total_sec,absolute_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.01,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.011882303934544324,nan,nan,0.055537966731935742,nan,0.067420625686645502,5.9778441178502008e-12,3.6773694241068751e-08,7.229309950391968e-14,4,5,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.011818115320056676,0.066533749364316469,0.015984150115400553,0.032790748961269857,0.0080022188834846016,0.13512898264452816,5.133143037932412e-10,3.6773694241068751e-08,9.5291203217469819e-18,4,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.04301050007343292,nan,nan,0.37821605419740079,nan,0.42122693853452803,2.065775825274506e-11,3.7512041965910192e-08,1.1241077112688495e-13,4,5,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.043392115738242865,0.24256207942962646,0.12450079852715135,0.25281862467527388,0.061396713927388193,0.72467033229768274,1.698217978998153e-09,3.7512041965910192e-08,1.2321380448827263e-17,4,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.30225652111694218,nan,nan,2.9962760386988521,nan,3.2985330681316554,3.1180321633017658e-11,3.8792827906340119e-08,9.2460917881647631e-14,4,5,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.30556823564693331,1.137015398684889,1.0521088439039885,2.0056403775699438,0.49627750637009738,4.9966103621758524,6.2240312765172069e-09,3.8792827906340119e-08,1.1546245418410683e-17,4,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.02,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.011606763489544392,nan,nan,0.0616258904337883,nan,0.073232898302376268,2.6333047569359488e-11,5.1499913012611406e-07,1.3176097265046091e-13,4,6,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.02,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.012329783663153649,0.066720615606755018,0.016024839133024216,0.032971601653844121,0.0080753534100949757,0.13612219346687199,9.3356551039250565e-10,5.1499913012611406e-07,7.5834724586587327e-17,4,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.02,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.043138186261057851,nan,nan,0.44482304202392697,nan,0.48796153543516996,8.8551439096129196e-11,5.4343123787172584e-07,2.0808290996921842e-13,4,6,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.02,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.043230570480227472,0.24313100157305598,0.12613537842407824,0.25522455321624876,0.061701564397662875,0.72942306809127333,2.4997973458771353e-09,5.4343123787172584e-07,9.347002321106379e-17,4,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.02,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.30358311142772437,nan,nan,3.5073929692618551,nan,3.8109764213673771,1.7191279810081866e-10,5.6310449292813725e-07,1.8307186177334769e-13,4,6,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.02,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.30460811946541072,1.1419068433344364,1.0530119432136416,2.0112482327967882,0.49379057856276631,5.0045657173730431,7.0969588338821177e-09,5.6310449292813725e-07,8.0946371836372811e-17,4,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.03,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.012857764214277267,nan,nan,0.069095514249056578,nan,0.081953609641641376,9.2330417283566323e-11,2.510154026409118e-07,2.2510128438545018e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,ok,
