method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,0,-40.190776252600806,1.6492391565690279e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,1,-39.587729793178873,0.000233569128607851
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,2,-39.530143912794003,0.00010573699799202041
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,3,-39.529855533087151,0.00062645958747202556
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,4,-39.522825820667485,0.0021622510163129432
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,5,-39.412575780804815,0.00010373748088162585
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,6,-39.412522461889978,0.00030630468527168372
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,7,-39.402518252010545,8.6933898701660863e-05
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,8,-39.402506176188545,0.00015079700064789351
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,9,-39.401984696469974,0.00043575510023984151
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,10,-39.376660210322981,5.640902540044149e-05
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,11,-39.376543412647166,0.00040704133220030456
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,12,-39.376183980085493,0.00028537535464463802
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,13,-39.367698933851962,5.2963463060790546e-05
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,14,-39.367623803406815,0.00023546707633442256
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,15,-39.364148415757995,0.00046181860312793178
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,16,-39.364079599985089,0.00053493463710717489
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,17,-39.343187726866951,0.0021876360849321305
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,18,-39.312189665482727,0.00080204252648019688
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,19,-39.308897464158186,0.0018776024061955146
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,20,-39.293398309353037,0.0015232632513687621
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,21,-39.290131029682087,0.00036353220062117957
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,22,-39.283005111387617,0.0038718855671989508
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,23,-39.177964686553508,0.0016181829688043825
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,24,-39.08342860466179,0.014144515793114624
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,25,-38.861921653342044,0.0036672473631910864
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,26,-38.333312366484201,0.013524720923045897
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,27,-37.851209378219124,0.021799967165322863
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,28,-37.609665945739849,0.021472901745282175
IPT_CUDA_BLOCK_CLUSTER,1,30,31,30,29,-37.265463444365153,0.024291827474089502
