method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,0,-40.190776252600777,1.0313229741661267e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,1,-39.587783846039756,7.5097769076323108e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,2,-39.530151400183087,4.3369179796227211e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,3,-39.530151400183023,5.0475379358857927e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,4,-39.530151400183001,1.6969699758802247e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,5,-39.412585414388552,6.1805857487243849e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,6,-39.412585414388531,2.8777010098438463e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,7,-39.402524307527756,2.7201765671011811e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,8,-39.402524307527742,9.437710685222536e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,9,-39.402524307527706,4.5645607507088034e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,10,-39.376663783891715,2.5657128238475776e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,11,-39.376663783891672,7.7860892905586558e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,12,-39.376663783891665,3.5137525083652874e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,13,-39.36770147029543,5.8194061924179388e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,14,-39.36770147029543,2.9299123956688216e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,15,-39.364323150450076,2.0683815546718019e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,16,-39.364323150450019,4.225576516957809e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,17,-39.364323150449998,1.1778457385987049e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,18,-39.312786707793251,1.1505747754267722e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,19,-39.312786707793236,8.6829110087670518e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,20,-39.312786707793215,3.5306292457396398e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,21,-39.29021988381318,2.297814862422564e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,22,-39.290219883813144,5.500674392537414e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,23,-39.290219883813123,3.9969244642027255e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,24,-39.17645843952608,1.8399397280830088e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,25,-39.059902131173523,5.8627316093847048e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,26,-39.059902131173516,3.1171387402967023e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,27,-39.059902131173438,6.6047430324934788e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,28,-39.02389988456715,5.6544950192863665e-09
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,29,-38.082957122876039,0.021912530226656953
