i_sorted,j_sorted,i_original,j_original,d_i,d_j,abs_gap,abs_Aij,coupling_over_gap,relation
0,1,0,1,-40.110302463968672,-39.309432876539063,0.80086958742960945,9.9886912630076097e-10,1.2472306877161248e-09,inside_requested_k
0,2,0,2,-40.110302463968672,-39.30943287653902,0.80086958742965209,9.9886915405633658e-10,1.2472307223728567e-09,inside_requested_k
0,3,0,4,-40.110302463968672,-39.309167368454695,0.80113509551397755,1.6844856984971068e-09,2.1026237746037146e-09,inside_requested_k
0,4,0,3,-40.110302463968672,-39.309167368454652,0.80113509551402018,1.6844857032675964e-09,2.1026237805582657e-09,inside_requested_k
0,5,0,6,-40.110302463968672,-39.30697565398831,0.8033268099803621,3.1012543726637032e-09,3.8605139703223846e-09,inside_requested_k
0,6,0,5,-40.110302463968672,-39.306975653988296,0.80332680998037631,3.1012543019737215e-09,3.8605138823257737e-09,inside_requested_k
0,7,0,8,-40.110302463968672,-39.306710145903949,0.80359231806472309,3.384897220154448e-09,4.2122070408863976e-09,inside_requested_k
0,8,0,7,-40.110302463968672,-39.306710145903921,0.80359231806475151,3.3848971681127438e-09,4.2122069761249219e-09,inside_requested_k
0,9,0,9,-40.110302463968672,-39.303093451198514,0.80720901277015855,4.3151653222883724e-09,5.3457843681399222e-09,inside_requested_k
0,10,0,10,-40.110302463968672,-39.303093451198471,0.80720901277020118,4.3151652650424976e-09,5.34578429722136e-09,inside_requested_k
0,11,0,11,-40.110302463968672,-39.300636228647768,0.80966623532090409,5.2192620798169331e-09,6.4461896175630002e-09,inside_requested_k
0,12,0,12,-40.110302463968672,-39.300636228647768,0.80966623532090409,5.219262086755827e-09,6.4461896261330678e-09,inside_requested_k
0,13,0,13,-40.110302463968672,-39.300179812350393,0.81012265161827912,4.6622964343379092e-09,5.7550500841133523e-09,inside_requested_k
0,14,0,14,-40.110302463968672,-39.300179812350372,0.81012265161830044,4.6622964655629318e-09,5.7550501226567751e-09,inside_requested_k
0,15,0,16,-40.110302463968672,-39.299914304266025,0.81038815970264721,4.855590304830848e-09,5.9916846596234726e-09,inside_requested_k
0,16,0,15,-40.110302463968672,-39.299914304266018,0.81038815970265432,4.8555902423808028e-09,5.9916845825615276e-09,inside_requested_k
0,17,0,17,-40.110302463968672,-39.29384038700988,0.81646207695879269,6.2737487262556901e-09,7.6840662944499862e-09,inside_requested_k
0,18,0,18,-40.110302463968672,-39.293840387009858,0.81646207695881401,6.2737486291111755e-09,7.6840661754675113e-09,inside_requested_k
0,19,0,20,-40.110302463968672,-39.258241397843484,0.85206106612518795,1.0755285551056204e-16,1.2622669875020435e-16,inside_requested_k
0,20,0,22,-40.110302463968672,-39.258241397843484,0.85206106612518795,5.5365967708011721e-16,6.4978872887353767e-16,inside_requested_k
0,21,0,19,-40.110302463968672,-39.258241397843477,0.85206106612519505,4.5081126331947274e-16,5.2908327964046906e-16,inside_requested_k
0,22,0,21,-40.110302463968672,-39.25824139784347,0.85206106612520216,4.7184478546569153e-16,5.5376874290411308e-16,inside_requested_k
