method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,0,-40.190776252600777,1.0309619220298528e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,1,-39.587783846039741,1.9256404514053224e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,2,-39.530151400183065,2.4035827470478529e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,3,-39.530151400183058,5.6882832576632975e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,4,-39.53015140018303,8.3257946492926521e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,5,-39.41258541438858,2.3816393845919974e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,6,-39.412585414388545,2.2090770649526206e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,7,-39.402524307527784,3.4545970282975358e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,8,-39.402524307527756,3.0537228021830068e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,9,-39.402524307527734,3.1177021635601475e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,10,-39.376663783891715,2.9802603173562294e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,11,-39.376663783891701,2.8273050623037776e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,12,-39.376663783891694,2.0788377823266677e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,13,-39.367701470295472,2.105486699633653e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,14,-39.367701470295373,1.8861572817601868e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,15,-39.364323150450041,1.130238420685314e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,16,-39.364323150450019,1.7491540121939644e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,17,-39.364323150450012,1.2326418143895449e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,18,-39.312786707793251,1.0564753666235253e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,19,-39.312786707793244,3.3497753603255764e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,20,-39.312786707793215,1.5262774888706066e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,21,-39.290219883813158,9.7897908804234999e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,22,-39.290219883813137,8.1974876398488274e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,23,-39.290219883813094,1.3297341258928816e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,24,-39.176458439525952,4.6890214033857186e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,25,-39.059902131173487,2.283345970237977e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,26,-39.059902131173473,6.9376226492015332e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,27,-39.059902131173459,4.2369016005930054e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,28,-39.023899884567143,4.1721996683312159e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,29,-39.007208558030136,0.0022772453032218662
