method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,0,-40.190776252600656,1.8002809533814148e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,1,-39.582754547274725,0.0020242906122130981
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,2,-39.528263635915991,0.0017239412545434461
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,3,-39.525747795657573,0.0020573664643091386
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,4,-39.50379790413762,0.0055629294899681809
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,5,-39.411660642388767,0.00094818145295654356
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,6,-39.406131453089664,0.00237363274887495
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,7,-39.400470400731955,0.0019073390817873493
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,8,-39.399821418989205,0.0017275093436425971
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,9,-39.379134624264914,0.0037421455114468442
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,10,-39.369252659736354,0.0023405563484328738
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,11,-39.367770261475876,0.0023940750683317095
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,12,-39.366186607692399,0.0020447588310099035
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,13,-39.362766691616137,0.0018023761006339476
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,14,-39.35731934863329,0.0038915135566886276
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,15,-39.345256498986451,0.0047215497964541581
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,16,-39.324234899796849,0.0068845369319474126
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,17,-39.314431747969742,0.0031133929789059094
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,18,-39.309714624776575,0.0021034317854303707
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,19,-39.305455649301379,0.0042418716984874696
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,20,-39.287367449585389,0.0023869543839577503
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,21,-39.282695131743267,0.0036195835906342958
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,22,-39.246047129244523,0.010040258867248712
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,23,-39.168384835719898,0.0064116003605064883
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,24,-39.050146364157335,0.012653384055089135
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,25,-39.004161900853866,0.00897592778114162
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,26,-38.958827324353209,0.011609327172597047
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,27,-38.907156344316007,0.010480378507828941
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,28,-38.854100700241169,0.012383000141813776
IPT_CUDA_BLOCK_CLUSTER,1,30,65,30,29,-38.834921566418942,0.015833120671631628
