davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.00080989967684978097,5.9552223364449517e-05,1,35,5.9552223364449517e-05,29,3.9208156051164069e-11,5.9552223364449517e-05,1.5765166949677223e-14,0
1,28,1.3939301197056954e-10,3.9208156051164069e-11,1,35,5.9552223364449517e-05,29,3.9208156051164069e-11,5.9552223364449517e-05,1.5765166949677223e-14,0
2,29,5.9552223364449517e-05,2.1043007330331829e-05,1,37,2.1043007330331829e-05,29,1.3867117770255013e-11,2.1043007330331829e-05,1.8873791418627661e-14,0
2,28,3.9208156051164069e-11,1.3867117770255013e-11,1,37,2.1043007330331829e-05,29,1.3867117770255013e-11,2.1043007330331829e-05,1.8873791418627661e-14,0
3,29,2.1043007330331829e-05,9.9496539966075617e-06,1,39,9.9496539966075617e-06,29,9.1491530357416028e-12,9.9496539966075617e-06,1.4876988529977098e-14,0
3,28,1.3867117770255013e-11,9.1491530357416028e-12,1,39,9.9496539966075617e-06,29,9.1491530357416028e-12,9.9496539966075617e-06,1.4876988529977098e-14,0
4,29,9.9496539966075617e-06,3.1300484016965607e-06,1,41,3.1300484016965607e-06,29,6.3334000755950099e-12,3.1300484016965607e-06,1.3988810110276972e-14,0
4,28,9.1491530357416028e-12,6.3334000755950099e-12,1,41,3.1300484016965607e-06,29,6.3334000755950099e-12,3.1300484016965607e-06,1.3988810110276972e-14,0
5,29,3.1300484016965607e-06,1.6304442689922357e-06,1,43,1.6304442689922357e-06,29,6.4605297989512505e-12,1.6304442689922357e-06,1.4543921622589551e-14,0
5,28,6.3334000755950099e-12,6.4605297989512505e-12,1,43,1.6304442689922357e-06,29,6.4605297989512505e-12,1.6304442689922357e-06,1.4543921622589551e-14,0
6,29,1.6304442689922357e-06,1.3429649932796012e-06,1,45,1.3429649932796012e-06,29,4.7699910744955157e-12,1.3429649932796012e-06,1.6875389974302379e-14,0
6,28,6.4605297989512505e-12,4.7699910744955157e-12,1,45,1.3429649932796012e-06,29,4.7699910744955157e-12,1.3429649932796012e-06,1.6875389974302379e-14,0
7,29,1.3429649932796012e-06,9.3562962717303612e-07,1,47,9.3562962717303612e-07,29,3.3900626355159565e-12,9.3562962717303612e-07,1.3766765505351941e-14,0
7,28,4.7699910744955157e-12,3.3900626355159565e-12,1,47,9.3562962717303612e-07,29,3.3900626355159565e-12,9.3562962717303612e-07,1.3766765505351941e-14,0
8,29,9.3562962717303612e-07,6.5771390580865103e-07,1,49,6.5771390580865103e-07,29,1.9107700752623931e-12,6.5771390580865103e-07,1.3766765505351941e-14,0
8,28,3.3900626355159565e-12,1.9107700752623931e-12,1,49,6.5771390580865103e-07,29,1.9107700752623931e-12,6.5771390580865103e-07,1.3766765505351941e-14,0
9,29,6.5771390580865103e-07,3.9749036014836627e-07,1,51,3.9749036014836627e-07,29,1.4630790618607361e-12,3.9749036014836627e-07,1.9095836023552692e-14,0
9,28,1.9107700752623931e-12,1.4630790618607361e-12,1,51,3.9749036014836627e-07,29,1.4630790618607361e-12,3.9749036014836627e-07,1.9095836023552692e-14,0
10,29,3.9749036014836627e-07,2.0888451186052656e-07,1,35,2.0888451186052656e-07,29,1.4441574377711071e-12,2.0888451186052656e-07,1.5765166949677223e-14,1
10,27,1.5019168925624669e-12,1.3652790222369985e-12,1,35,2.0888451186052656e-07,29,1.4441574377711071e-12,2.0888451186052656e-07,1.5765166949677223e-14,1
