davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.0095725679474882551,1,0,0,0,0,0,2.8117228588690524,1.2099664634894132
1,28,1.4064134098833565e-11,1,0,0,0,0,0,8.9467237621265568e-10,6.8453035327719014e-10
2,29,0.0085805239997494408,1,0,0,0,0,0,3.9105357523281579,0.27248296496516811
2,28,4.7370835875954488e-12,1,0,0,0,0,0,3.5220221209170325e-10,1.8052077939561795e-10
3,29,0.0018204073085429343,1,0,0,0,0,0,0.24086947855575455,0.17580418319073932
3,28,4.8519368184246531e-12,1,0,0,0,0,0,5.2422488116598128e-10,6.6930190914658441e-11
4,29,0.00076092065768362793,1,0,0,0,0,0,0.056616339871947786,0.042306555573113643
4,28,3.0143715968666579e-12,1,0,0,0,0,0,1.8632863094414386e-10,3.9801058085334496e-11
5,29,0.000351938568900155,1,0,0,0,0,0,0.014772937219699616,0.012394181877498014
5,28,1.5990449640610502e-12,1,0,0,0,0,0,8.485270286605715e-11,3.7764991796395128e-11
6,29,0.00013836089930925792,1,0,0,0,0,0,0.0075865169717770154,0.005889033555522236
6,28,1.2371042789752003e-12,1,0,0,0,0,0,5.8028703000260174e-11,3.9323317187618271e-11
7,29,8.9330782342365519e-05,1,0,0,0,0,0,0.0051566187179318693,0.0038401577652166356
7,28,8.1017196452802653e-13,1,0,0,0,0,0,4.6023770616946493e-11,2.9402558267252614e-11
8,29,5.9045714644400035e-05,1,0,0,0,0,0,0.0028767246967282708,0.002050790293460746
8,28,5.0094716648740171e-13,1,0,0,0,0,0,3.5474993438684615e-11,2.230933711448181e-11
9,29,3.6857897715429042e-05,1,0,0,0,0,0,0.0019286951353199822,0.0013672247618179102
9,28,3.9705672419711828e-13,1,0,0,0,0,0,1.866473333856588e-11,1.3605069666322499e-11
10,29,2.5872666761272641e-05,1,0,0,0,0,0,0.0015823346912062412,0.0010141804692836546
10,28,3.5244606212807975e-13,1,0,0,0,0,0,1.4125025906866633e-11,1.0400780265489654e-11
11,29,2.0078631149504364e-05,1,0,0,0,0,0,0.0012022807722331954,0.00074683737449104286
11,28,2.407488423151952e-13,1,0,0,0,0,0,8.5730417513373885e-12,7.728262612462383e-12
12,29,1.1908015642180822e-05,1,0,0,0,0,0,0.00068185461863001816,0.00039899493463071837
12,28,1.4508806151305878e-13,1,0,0,0,0,0,8.1903674510511932e-12,7.4251993393855941e-12
13,29,7.2771075279042772e-06,1,0,0,0,0,0,0.00033999419372364822,0.00026212492365375285
13,24,1.413052567654149e-13,1,0,0,0,0,0,6.3423525644059386e-12,4.8635790559663136e-12
14,29,4.4705211492904783e-06,1,0,0,0,0,0,0.00032002544691661118,0.00023924288697826641
14,28,1.1044124423859614e-13,1,0,0,0,0,0,6.2956714466053057e-12,4.8104893498522599e-12
15,29,3.4903785508588444e-06,1,0,0,0,0,0,0.00026434774416130046,0.00017316427205436586
15,26,9.9317035811093085e-14,0,0,1,0,0,0,0,0
15,28,8.8727664786367961e-14,0,0,1,0,0,0,0,0
15,27,6.6421551506337252e-14,0,0,1,0,0,0,0,0
15,24,5.1844951298692004e-14,0,0,1,0,0,0,0,0
15,1,3.0880322571904531e-14,0,0,1,0,0,0,0,0
15,2,1.9807197422666807e-14,0,0,1,0,0,0,0,0
15,13,1.9795317014327764e-14,0,0,1,0,0,0,0,0
15,16,1.6712954495999289e-14,0,0,1,0,0,0,0,0
15,4,1.6492673320351989e-14,0,0,1,0,0,0,0,0
