method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,0,-40.190776252600713,5.5614360292861134e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,1,-39.587783846039777,5.8028600163570466e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,2,-39.530151400183094,3.647589006692289e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,3,-39.530151400183065,2.2365820527249532e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,4,-39.530151400183009,3.3963336035393917e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,5,-39.412585414388587,3.7272991490872289e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,6,-39.412585414388424,4.7061182276550809e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,7,-39.402524307527806,5.1809777349931937e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,8,-39.402524307527756,7.104005936314832e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,9,-39.402524307527742,4.4725422901849067e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,10,-39.376663783891729,3.0289962841770245e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,11,-39.376663783891637,2.6305460937958608e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,12,-39.376663783891551,3.8333223096738984e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,13,-39.367701470295621,3.5992575177560539e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,14,-39.367701470295508,3.9178843423850487e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,15,-39.364323150450147,1.4694653619032677e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,16,-39.364323150450055,2.295319685803771e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,17,-39.364323150450041,2.182234584276767e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,18,-39.312786707793251,2.8785402791587597e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,19,-39.312786707793244,5.3371779900520941e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,20,-39.312786707793244,3.2712160380231338e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,21,-39.290219883813279,7.1006978288293023e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,22,-39.290219883813087,3.9751335726766395e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,23,-39.290219883813052,2.6211134902213077e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,24,-39.176458439526414,6.5516429027743759e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,25,-39.05990213117353,4.5092685615315724e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,26,-39.059902131173438,3.1727620453334223e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,27,-39.05990213117343,3.6756402856269975e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,28,-39.023899884567193,6.2407042851650445e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,52,30,29,-39.013014208760893,2.8707870270886921e-11
