davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00098256321488369427,1,0,0,0,0,0,0.051785315037646586,0.051509771228139045
1,28,2.1340639557697048e-10,1,0,0,0,0,0,1.0309088264953211e-08,9.0854637605204087e-09
2,29,3.6605357541399962e-05,1,0,0,0,0,0,0.0025127469497902336,0.0023089720032965144
2,28,1.6116238116340764e-11,1,0,0,0,0,0,1.7797798303470361e-09,1.2970445280765332e-09
3,29,2.0027787298814016e-05,1,0,0,0,0,0,0.0016812482002350674,0.0012140759467972333
3,28,9.6919498472763984e-12,1,0,0,0,0,0,7.5082867445510839e-10,6.2443089588240034e-10
4,29,1.3579172366769744e-05,1,0,0,0,0,0,0.00080067365494243656,0.00054303462943240937
4,28,9.3329577600645696e-12,1,0,0,0,0,0,6.6161667209628163e-10,3.3585354520719784e-10
5,29,9.1671719026824951e-06,1,0,0,0,0,0,0.0005492251969171605,0.00040838341838419481
5,28,1.1712940850049877e-11,1,0,0,0,0,0,5.5104650951988715e-10,3.7847920123379926e-10
6,29,5.7726143201008095e-06,1,0,0,0,0,0,0.00022945664550257948,0.00018294467986583652
6,28,9.6743308732932442e-12,1,0,0,0,0,0,4.6503771012371144e-10,3.157972863801406e-10
7,29,3.2220824477074919e-06,1,0,0,0,0,0,0.00015719969919628058,0.00011057370607131467
7,28,6.9634910885871404e-12,1,0,0,0,0,0,3.2665724885550266e-10,2.1486744673151274e-10
8,29,1.9955637727618882e-06,1,0,0,0,0,0,0.0001394139528218213,8.7288111157726749e-05
8,28,3.9185030979325102e-12,1,0,0,0,0,0,1.4230915899829118e-10,1.0948491016423987e-10
9,29,1.4383628202087399e-06,1,0,0,0,0,0,9.0479242597837773e-05,5.5860062794578169e-05
9,28,2.1046499924204886e-12,1,0,0,0,0,0,8.7160486768413794e-11,6.6031927523280942e-11
10,29,9.6273941853257637e-07,1,0,0,0,0,0,4.4868164175996167e-05,3.3166096750779969e-05
10,28,1.4102908842533092e-12,1,0,0,0,0,0,5.4080927883472813e-11,3.963253333213054e-11
11,29,7.0702575545344311e-07,1,0,0,0,0,0,2.7857420404719318e-05,2.2700680497780693e-05
11,28,8.6118215818372724e-13,1,0,0,0,0,0,3.1280958850827016e-11,2.0681538008823709e-11
12,29,3.9744519183114216e-07,1,0,0,0,0,0,1.8157420896165434e-05,1.5004587428701526e-05
12,28,4.5708698785568655e-13,1,0,0,0,0,0,2.329744056701414e-11,1.7165982633407303e-11
13,29,2.7804446847587219e-07,1,0,0,0,0,0,1.4784058048846696e-05,1.2384734480094593e-05
13,28,3.6728810972956287e-13,1,0,0,0,0,0,1.7993317851212164e-11,1.5205404841385486e-11
14,29,1.9533985375390294e-07,1,0,0,0,0,0,1.5740073786221147e-05,1.0988545294007431e-05
14,28,3.0610270705404785e-13,1,0,0,0,0,0,1.5203775456505804e-11,1.1122814442373213e-11
15,29,1.4661371110434115e-07,1,0,0,0,0,0,1.0268808543710541e-05,6.2651820740877913e-06
15,28,1.7515850566518147e-13,1,0,0,0,0,0,1.1479829688850079e-11,6.231792318777204e-12
16,29,9.4753444290558437e-08,1,0,0,0,0,0,5.243982144575025e-06,3.8100455861283572e-06
16,28,9.3874408465536503e-14,0,0,1,0,0,0,0,0
16,25,8.6723677688037725e-14,0,0,1,0,0,0,0,0
16,27,3.7640354925692096e-14,0,0,1,0,0,0,0,0
16,26,2.3330792234140382e-14,0,0,1,0,0,0,0,0
16,24,1.2823449109011739e-14,0,0,1,0,0,0,0,0
16,1,9.138883606718386e-15,0,0,1,0,0,0,0,0
16,16,6.5924656372276789e-15,0,0,1,0,0,0,0,0
16,2,5.3485255823926405e-15,0,0,1,0,0,0,0,0
16,4,5.331836044996489e-15,0,0,1,0,0,0,0,0
16,12,5.1499205225707563e-15,0,0,1,0,0,0,0,0
16,23,5.1308954332558205e-15,0,0,1,0,0,0,0,0
16,10,4.9843151171327137e-15,0,0,1,0,0,0,0,0
16,5,4.8518067235414317e-15,0,0,1,0,0,0,0,0
16,21,4.7863298557304614e-15,0,0,1,0,0,0,0,0
16,13,4.7808967735049861e-15,0,0,1,0,0,0,0,0
16,14,4.6831456487552946e-15,0,0,1,0,0,0,0,0
16,8,4.6265111121098843e-15,0,0,1,0,0,0,0,0
16,7,4.4803845506179254e-15,0,0,1,0,0,0,0,0
16,15,4.3461339109573714e-15,0,0,1,0,0,0,0,0
16,20,4.2022582694653323e-15,0,0,1,0,0,0,0,0
16,9,4.1372901756879922e-15,0,0,1,0,0,0,0,0
16,22,4.0719095401215355e-15,0,0,1,0,0,0,0,0
