davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,1.036823297859922e-09,7.9902246458824223e-10,2.2388047765760384e-11,1.1353861666010223e-11,7.6173990353319219e-14,7.5756165229437796e-14,2.2388047765760384e-11,1.1353861666010223e-11,1,none,35,36,1.4876988529977098e-14,1.4210854715202004e-14
32,29,1,1,5.7232435185373759e-10,4.7875994087143979e-10,1.1353861666010223e-11,7.1312119607449394e-12,7.5756165229437796e-14,7.5790809947916807e-14,1.1353861666010223e-11,7.1312119607449394e-12,1,none,36,37,1.4210854715202004e-14,1.7097434579227411e-14
33,29,1,1,5.0014143683065675e-10,3.5108398615888827e-10,7.1312119607449394e-12,4.7352745922628568e-12,7.5790809947916807e-14,7.6033507201267193e-14,7.1312119607449394e-12,4.7352745922628568e-12,1,none,37,38,1.7097434579227411e-14,1.4654943925052066e-14
34,29,1,1,3.7258966176846432e-10,2.2530660750703874e-10,4.7352745922628568e-12,3.2998045994636077e-12,7.6033507201267193e-14,7.6130319270061759e-14,4.7352745922628568e-12,3.2998045994636077e-12,1,none,38,39,1.4654943925052066e-14,1.5099033134902129e-14
35,29,1,1,2.2368660791590296e-10,1.4918297249786456e-10,3.2998045994636077e-12,2.6657541403702065e-12,7.6130319270061759e-14,7.583957933830858e-14,3.2998045994636077e-12,2.6657541403702065e-12,1,none,39,40,1.5099033134902129e-14,1.5099033134902129e-14
36,29,1,1,1.2642885321868567e-10,9.151642291876017e-11,2.6657541403702065e-12,1.6913856913451338e-12,7.583957933830858e-14,7.5189516078896243e-14,2.6657541403702065e-12,1.6913856913451338e-12,1,none,40,41,1.5099033134902129e-14,1.5099033134902129e-14
37,29,1,1,6.3136190685617374e-11,5.2682712400147582e-11,1.6913856913451338e-12,8.5520945975408686e-13,7.5189516078896243e-14,7.5158307477337601e-14,1.6913856913451338e-12,8.5520945975408686e-13,1,none,41,42,1.5099033134902129e-14,1.6875389974302379e-14
38,29,1,1,4.1680745929518657e-11,3.3984353352635148e-11,8.5520945975408686e-13,4.4447712528829016e-13,7.5158307477337601e-14,7.4351209505795812e-14,8.5520945975408686e-13,4.4447712528829016e-13,1,none,42,43,1.6875389974302379e-14,1.5765166949677223e-14
39,29,1,1,2.6432528236019e-11,1.850476948925877e-11,4.4447712528829016e-13,2.457654289459334e-13,7.4351209505795812e-14,7.491605351035872e-14,4.4447712528829016e-13,2.457654289459334e-13,1,none,43,44,1.5765166949677223e-14,1.5099033134902129e-14
40,29,1,1,2.2036895246031312e-11,1.396434066605889e-11,2.457654289459334e-13,1.888679289396852e-13,7.491605351035872e-14,7.4925382914265203e-14,2.457654289459334e-13,1.888679289396852e-13,1,none,44,45,1.5099033134902129e-14,1.4876988529977098e-14
41,29,1,1,1.091189778421492e-11,8.1847928037311891e-12,1.888679289396852e-13,1.8045281425185253e-13,7.4925382914265203e-14,7.4789668158088431e-14,1.888679289396852e-13,1.8045281425185253e-13,1,none,45,46,1.4876988529977098e-14,1.5765166949677223e-14
42,29,0,2,1.1989703897275596e-11,8.847254428909609e-12,1.8045281425185253e-13,1.9783453628858581e-13,7.4789668158088431e-14,7.4049483913102884e-14,1.8045281425185253e-13,1.9783453628858581e-13,0,global_not_improved,46,46,1.5765166949677223e-14,1.4876988529977098e-14
