davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.00061850426959559051,5.2630709156459679e-05,1,35,5.2630709156459679e-05,29,3.5747521065256928e-12,5.2630709156459679e-05,1.3766765505351941e-14,0
1,28,1.3339270438193858e-11,3.5747521065256928e-12,1,35,5.2630709156459679e-05,29,3.5747521065256928e-12,5.2630709156459679e-05,1.3766765505351941e-14,0
2,29,5.2630709156459679e-05,2.746522692385436e-05,1,37,2.746522692385436e-05,29,1.4821346826406551e-12,2.746522692385436e-05,1.5654144647214707e-14,0
2,28,3.5747521065256928e-12,1.4821346826406551e-12,1,37,2.746522692385436e-05,29,1.4821346826406551e-12,2.746522692385436e-05,1.5654144647214707e-14,0
3,29,2.746522692385436e-05,1.6162176317326959e-05,1,39,1.6162176317326959e-05,29,7.8663683290094533e-13,1.6162176317326959e-05,1.4432899320127035e-14,0
3,28,1.4821346826406551e-12,7.8663683290094533e-13,1,39,1.6162176317326959e-05,29,7.8663683290094533e-13,1.6162176317326959e-05,1.4432899320127035e-14,0
4,29,1.6162176317326959e-05,5.959690927949416e-06,1,41,5.959690927949416e-06,29,3.9876492139790568e-13,5.959690927949416e-06,1.532107773982716e-14,0
4,28,7.8663683290094533e-13,3.9876492139790568e-13,1,41,5.959690927949416e-06,29,3.9876492139790568e-13,5.959690927949416e-06,1.532107773982716e-14,0
5,29,5.959690927949416e-06,2.2087740092463731e-06,1,43,2.2087740092463731e-06,29,2.7981342546489146e-13,2.2087740092463731e-06,1.5765166949677223e-14,0
5,28,3.9876492139790568e-13,2.7981342546489146e-13,1,43,2.2087740092463731e-06,29,2.7981342546489146e-13,2.2087740092463731e-06,1.5765166949677223e-14,0
6,29,2.2087740092463731e-06,1.3847819820901088e-06,1,45,1.3847819820901088e-06,29,2.9149828426834347e-13,1.3847819820901088e-06,1.3988810110276972e-14,0
6,28,2.7981342546489146e-13,2.9149828426834347e-13,1,45,1.3847819820901088e-06,29,2.9149828426834347e-13,1.3847819820901088e-06,1.3988810110276972e-14,0
7,29,1.3847819820901088e-06,9.5800577005027008e-07,1,47,9.5800577005027008e-07,29,2.2088517094717669e-13,9.5800577005027008e-07,1.3766765505351941e-14,0
7,28,2.9149828426834347e-13,2.2088517094717669e-13,1,47,9.5800577005027008e-07,29,2.2088517094717669e-13,9.5800577005027008e-07,1.3766765505351941e-14,0
8,29,9.5800577005027008e-07,5.0405119736087083e-07,1,49,5.0405119736087083e-07,29,1.4788420813778822e-13,5.0405119736087083e-07,1.4654943925052066e-14,0
8,28,2.2088517094717669e-13,1.4788420813778822e-13,1,49,5.0405119736087083e-07,29,1.4788420813778822e-13,5.0405119736087083e-07,1.4654943925052066e-14,0
9,29,5.0405119736087083e-07,2.4190781668673799e-07,1,51,2.4190781668673799e-07,29,1.3003332874171293e-13,2.4190781668673799e-07,1.532107773982716e-14,0
9,28,1.4788420813778822e-13,1.3003332874171293e-13,1,51,2.4190781668673799e-07,29,1.3003332874171293e-13,2.4190781668673799e-07,1.532107773982716e-14,0
10,29,2.4190781668673799e-07,1.2522472982605362e-07,1,35,1.2522472982605362e-07,29,8.0849540659669443e-14,1.2522472982605362e-07,1.3988810110276972e-14,1
10,28,1.3003332874171293e-13,8.0849540659669443e-14,1,35,1.2522472982605362e-07,29,8.0849540659669443e-14,1.2522472982605362e-07,1.3988810110276972e-14,1
11,29,1.2522472982605362e-07,6.4953932748198078e-08,1,36,6.4953932748198078e-08,29,8.0156269411401519e-14,6.4953932748198078e-08,1.532107773982716e-14,0
12,29,6.4953932748198078e-08,4.6040826016813339e-08,1,37,4.6040826016813339e-08,29,8.0125743780365288e-14,4.6040826016813339e-08,1.4876988529977098e-14,0
13,29,4.6040826016813339e-08,3.245690078286257e-08,1,38,3.245690078286257e-08,29,8.0047814039350982e-14,3.245690078286257e-08,1.4432899320127035e-14,0
