method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,0,-40.190776252600699,7.2287368290015677e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,1,-39.587783846039798,9.2038145973089731e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,2,-39.53015140018298,3.3528941029610631e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,3,-39.530151400182973,3.0283409697374368e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,4,-39.530151400182973,2.7591724234957795e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,5,-39.412585414388595,4.7779458239046774e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,6,-39.412585414388545,4.6031393387909396e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,7,-39.402524307527706,5.2267433181373621e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,8,-39.402524307527656,7.6695401434941166e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,9,-39.402524307527649,6.6075773708354083e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,10,-39.376663783891814,2.509965322619153e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,11,-39.376663783891736,3.5239945432835679e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,12,-39.376663783891622,4.9102060362895468e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,13,-39.367701470295451,5.7753392605879584e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,14,-39.367701470295437,4.9011620001930295e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,15,-39.364323150450033,2.6022979498043271e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,16,-39.364323150450026,2.6237988179023857e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,17,-39.364323150449984,2.5002361344641855e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,18,-39.312786707793286,4.0938983527536582e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,19,-39.312786707793236,4.8301561886492353e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,20,-39.312786707793201,3.3655495563482021e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,21,-39.290219883813243,3.9165241067116523e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,22,-39.290219883813016,6.7061656110927953e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,23,-39.290219883812888,7.9012178832525702e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,24,-39.176458439525931,3.4135637499553322e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,25,-39.059902131173544,4.8980442737704026e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,26,-39.059902131173523,3.5061556770278165e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,27,-39.059902131173388,6.4588959299899796e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,28,-39.02389988456715,4.6104139288650409e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,54,30,29,-39.013014208761,5.5753723744212597e-14
