method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,0,-40.190776252600749,9.5799630328879845e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,1,-39.587783846039784,1.3246834090185927e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,2,-39.530151400183023,4.7273162237702759e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,3,-39.530151400183016,1.4046745870709392e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,4,-39.530151400183009,4.8085326655694601e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,5,-39.412585414388609,4.1642238900417608e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,6,-39.412585414388552,1.7943082748038033e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,7,-39.402524307527798,6.860710443834993e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,8,-39.402524307527749,8.4041306691013771e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,9,-39.402524307527734,4.0987699456352457e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,10,-39.376663783891708,2.1362813044964732e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,11,-39.376663783891708,1.7901244162052362e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,12,-39.376663783891651,3.8507729133291439e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,13,-39.367701470295515,4.6832630304290151e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,14,-39.367701470295472,1.1697260288317075e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,15,-39.364323150450033,9.0363710727322674e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,16,-39.364323150450026,1.6572811767813725e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,17,-39.364323150450012,1.0884253669268787e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,18,-39.312786707793251,1.5797077992647872e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,19,-39.312786707793251,8.8741846354682007e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,20,-39.312786707793229,9.749150960389603e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,21,-39.290219883813172,5.2477564803359438e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,22,-39.290219883813158,5.9202849480874601e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,23,-39.290219883813151,5.8123047113938369e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,24,-39.176458438213686,1.1959238236767355e-06
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,25,-39.05990213117348,1.5673028447550999e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,26,-39.059902131173445,1.5620682951721988e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,27,-39.059902131173416,1.1505324249122981e-10
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,28,-39.023899884567157,1.4030503724019295e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,33,30,29,-39.01184070496943,0.0010496764153332097
