method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,0,-40.19077625260077,8.836651443711265e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,1,-39.58778384603977,5.6430195269327364e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,2,-39.530151400183072,2.021632527020048e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,3,-39.530151400183051,1.5294850090657922e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,4,-39.530151400183016,1.4022148364970863e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,5,-39.412585414388559,1.7366040843787948e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,6,-39.412585414388538,2.1466312610687469e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,7,-39.402524307527756,1.5240569554153801e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,8,-39.402524307527742,1.989433662782774e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,9,-39.40252430752772,1.1979945977083188e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,10,-39.376663783891708,1.880495114592794e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,11,-39.376663783891686,8.8521275544661504e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,12,-39.376663783891622,1.9859250949557762e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,13,-39.367701470295472,2.2236545943602515e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,14,-39.367701470295458,1.9847721221423441e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,15,-39.364323150450055,1.3415836785586754e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,16,-39.364323150450055,1.1851020681638816e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,17,-39.364323150450033,1.5068459833772456e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,18,-39.312786707793279,7.860797626936087e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,19,-39.312786707793272,9.1466493868431614e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,20,-39.312786707793258,9.1271237622819443e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,21,-39.290219883813165,1.6616870397851744e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,22,-39.290219883813158,1.3983936406295773e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,23,-39.290219883813144,1.1333365612103168e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,24,-39.17645843952608,6.1587438555961398e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,25,-39.05990213117348,5.6767197928267433e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,26,-39.059902131173452,5.5421155935165465e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,27,-39.059902131173445,4.6583051552372341e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,28,-39.02389988456715,1.9261476138145937e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,34,30,29,-39.013013523433258,2.3618972498170985e-05
