davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.00058256788019535571,7.0418926818599896e-05,1,34,7.0418926818599896e-05,29,2.488679361183934e-11,7.0418926818599896e-05,1.532107773982716e-14,0
2,29,7.0418926818599896e-05,2.7972719935921787e-05,1,35,2.7972719935921787e-05,29,2.3873993959680214e-11,2.7972719935921787e-05,1.7097434579227411e-14,0
3,29,2.7972719935921787e-05,1.4299331059250827e-05,1,36,1.4299331059250827e-05,29,2.3870506274563358e-11,1.4299331059250827e-05,1.5765166949677223e-14,0
4,29,1.4299331059250827e-05,7.4793925782963928e-06,1,37,7.4793925782963928e-06,29,2.3517658329415407e-11,7.4793925782963928e-06,1.3766765505351941e-14,0
5,29,7.4793925782963928e-06,3.6789143120084965e-06,1,38,3.6789143120084965e-06,29,2.3685007999029231e-11,3.6789143120084965e-06,1.3766765505351941e-14,0
6,29,3.6789143120084965e-06,3.592562730123911e-06,1,39,3.592562730123911e-06,29,2.210366314866082e-11,3.592562730123911e-06,1.6431300764452317e-14,0
7,29,3.592562730123911e-06,3.0795171193542731e-06,1,40,3.0795171193542731e-06,29,1.9313437695550763e-11,3.0795171193542731e-06,1.5765166949677223e-14,0
8,29,3.0795171193542731e-06,2.0838370975416844e-06,1,41,2.0838370975416844e-06,29,1.7737555221329517e-11,2.0838370975416844e-06,1.5987211554602254e-14,0
9,29,2.0838370975416844e-06,1.7705505055632263e-06,1,42,1.7705505055632263e-06,29,1.6732266219283693e-11,1.7705505055632263e-06,1.5432100042289676e-14,0
10,29,1.7705505055632263e-06,1.3591289794737201e-06,1,43,1.3591289794737201e-06,29,1.6406304040537117e-11,1.3591289794737201e-06,1.532107773982716e-14,0
11,29,1.3591289794737201e-06,8.8010737435030118e-07,1,44,8.8010737435030118e-07,29,1.6045900678927429e-11,8.8010737435030118e-07,1.8429702208777599e-14,0
12,29,8.8010737435030118e-07,7.7889055658089531e-07,1,45,7.7889055658089531e-07,29,1.4649916464886496e-11,7.7889055658089531e-07,1.5099033134902129e-14,0
13,29,7.7889055658089531e-07,7.3993122550188225e-07,1,46,7.3993122550188225e-07,29,1.3856070466786997e-11,7.3993122550188225e-07,1.6875389974302379e-14,0
14,29,7.3993122550188225e-07,3.6939499845498658e-07,1,47,3.6939499845498658e-07,29,1.347240183190593e-11,3.6939499845498658e-07,1.2878587085651816e-14,0
15,29,3.6939499845498658e-07,1.9362983265331508e-07,1,48,1.9362983265331508e-07,29,1.3198015859683571e-11,1.9362983265331508e-07,1.4876988529977098e-14,0
16,29,1.9362983265331508e-07,8.6798904754951298e-08,1,49,8.6798904754951298e-08,29,1.3234407205771989e-11,8.6798904754951298e-08,1.9317880628477724e-14,0
17,29,8.6798904754951298e-08,4.1594972159930243e-08,1,50,4.1594972159930243e-08,29,1.2488799378828623e-11,4.1594972159930243e-08,1.8873791418627661e-14,0
18,29,4.1594972159930243e-08,2.2409049298949848e-08,1,51,2.2409049298949848e-08,29,1.173009174319464e-11,2.2409049298949848e-08,1.4876988529977098e-14,0
19,29,2.2409049298949848e-08,1.3220923515147471e-08,1,52,1.3220923515147471e-08,29,1.1131417237260773e-11,1.3220923515147471e-08,1.3100631690576847e-14,0
20,29,1.3220923515147471e-08,8.8107243011282761e-09,1,35,8.8107243011282761e-09,29,1.0461593036149364e-11,8.8107243011282761e-09,1.5987211554602254e-14,1
21,29,8.8107243011282761e-09,5.5611150217955933e-09,1,36,5.5611150217955933e-09,29,9.2083322365611778e-12,5.5611150217955933e-09,1.3100631690576847e-14,0
22,29,5.5611150217955933e-09,2.8444258544163464e-09,1,37,2.8444258544163464e-09,29,8.0148502489064269e-12,2.8444258544163464e-09,1.4654943925052066e-14,0
23,29,2.8444258544163464e-09,1.6284924174579295e-09,1,38,1.6284924174579295e-09,29,7.8262201955491635e-12,1.6284924174579295e-09,1.4654943925052066e-14,0
24,29,1.6284924174579295e-09,8.3508423472663668e-10,1,39,8.3508423472663668e-10,29,7.7963717286327252e-12,8.3508423472663668e-10,1.5099033134902129e-14,0
25,29,8.3508423472663668e-10,4.1668203548288899e-10,1,40,4.1668203548288899e-10,29,7.7923295155519959e-12,4.1668203548288899e-10,1.532107773982716e-14,0
26,29,4.1668203548288899e-10,1.9711229225644291e-10,1,41,1.9711229225644291e-10,29,7.7795134578277521e-12,1.9711229225644291e-10,1.3988810110276972e-14,0
