method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,0,-40.19077625260072,4.6441095958828276e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,1,-39.587783846039805,9.8775571349827666e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,2,-39.530151400183037,3.9314197502178553e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,3,-39.530151400183023,3.6040620657946654e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,4,-39.530151400182994,3.5686323317987363e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,5,-39.412585414388609,5.4884399829505738e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,6,-39.412585414388538,4.8299933084826722e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,7,-39.402524307527784,4.0053976877690623e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,8,-39.402524307527734,4.6066455122308663e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,9,-39.402524307527699,4.5154105087481855e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,10,-39.376663783891807,4.1390886664100978e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,11,-39.376663783891729,5.5325575342726842e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,12,-39.376663783891658,4.0295186057753946e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,13,-39.367701470295501,6.1797226802959393e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,14,-39.367701470295472,7.4250567451162203e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,15,-39.364323150450083,4.4274722469656589e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,16,-39.364323150450048,3.2477693946347815e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,17,-39.364323150449984,4.3281739315314145e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,18,-39.312786707793244,3.6184818415325462e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,19,-39.312786707793194,3.6860612621026768e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,20,-39.31278670779313,5.294011183310226e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,21,-39.290219883813279,7.1544416108527792e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,22,-39.290219883813144,6.1872541305664445e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,23,-39.290219883812981,8.1602851611390213e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,24,-39.176458439526122,3.2522524497437338e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,25,-39.059902131173502,5.226586499989772e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,26,-39.05990213117348,3.1574133978236835e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,27,-39.059902131173381,2.517609005239434e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,28,-39.0238998845672,7.7795134578277521e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,29,-39.013014208760936,1.9711229225644291e-10
