steps,denom_clip,active_max,exit_code,status,basis_cols,accepted_entries,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,max_pair_0_28_residual,result_dir
1,1e-6,1,3,failed,34,1,0.00037349496187725356,29,3.0143001878998164e-10,0.00037349496187725356,3.0143001878998164e-10,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-6_active_1
1,1e-6,2,3,failed,34,1,4.3525548079883894e-05,29,5.2284187490368776e-12,4.3525548079883894e-05,5.2284187490368776e-12,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-6_active_2
1,1e-8,1,3,failed,34,1,2.1967761167446999e-05,29,1.6170110258087114e-10,2.1967761167446999e-05,1.6170110258087114e-10,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-8_active_1
1,1e-8,2,3,failed,34,1,3.139122886923373e-05,29,2.9385122157072541e-11,3.139122886923373e-05,2.9385122157072541e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-8_active_2
1,1e-10,1,3,failed,34,1,6.5539620125882011e-05,29,2.4150584690295349e-11,6.5539620125882011e-05,2.4150584690295349e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-10_active_1
1,1e-10,2,3,failed,34,1,3.7622793456621153e-05,29,3.3903324811379757e-11,3.7622793456621153e-05,3.3903324811379757e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-10_active_2
1,1e-12,1,3,failed,34,1,0.00013814829334369568,29,5.1936822007569741e-11,0.00013814829334369568,5.1936822007569741e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-12_active_1
1,1e-12,2,3,failed,33,0,0.00070151162164003951,29,1.0795271324518241e-09,0.00070151162164003951,1.0795271324518241e-09,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_1_clip_1e-12_active_2
2,1e-6,1,3,failed,35,2,1.2687859998442974e-05,29,5.37628152766194e-13,1.2687859998442974e-05,5.37628152766194e-13,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_2_clip_1e-6_active_1
2,1e-6,2,3,failed,35,2,2.7998750048188277e-05,29,6.986776368085436e-11,2.7998750048188277e-05,6.986776368085436e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_2_clip_1e-6_active_2
2,1e-8,1,3,failed,35,2,3.1378410577385977e-05,29,4.0461910595419926e-11,3.1378410577385977e-05,4.0461910595419926e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_2_clip_1e-8_active_1
2,1e-8,2,3,failed,35,2,8.217064395018241e-05,29,4.9927970446965299e-11,8.217064395018241e-05,4.9927970446965299e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_2_clip_1e-8_active_2
2,1e-10,1,3,failed,35,2,4.0250218831615855e-05,29,3.4203340013976733e-11,4.0250218831615855e-05,3.4203340013976733e-11,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_sweep_v1/steps_2_clip_1e-10_active_1
