method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,0,-40.190776252600713,5.5927046919753344e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,1,-39.587783846039798,9.2535717889515162e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,2,-39.530151400183065,5.0400067790642392e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,3,-39.530151400183016,5.3359776481485135e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,4,-39.530151400183001,5.9027895076301789e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,5,-39.412585414388587,4.7136266627900131e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,6,-39.41258541438858,4.4361634884408575e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,7,-39.40252430752777,3.9031032393054372e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,8,-39.402524307527756,4.064981788841574e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,9,-39.402524307527692,3.6073002446825206e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,10,-39.376663783891715,4.3095323111671323e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,11,-39.376663783891701,3.4171261813407104e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,12,-39.376663783891686,3.5985640314332308e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,13,-39.367701470295486,4.484863409490191e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,14,-39.367701470295486,5.3569204796983816e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,15,-39.364323150450048,4.4264005993043811e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,16,-39.364323150449984,5.8004907340300162e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,17,-39.36432315044997,5.7241972656425035e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,18,-39.312786707793244,3.2264341877311381e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,19,-39.312786707793229,3.875617115070481e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,20,-39.31278670779318,3.5197779826332451e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,21,-39.290219883813194,3.7074005614150202e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,22,-39.290219883813137,3.9409535288079851e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,23,-39.29021988381313,3.5557750699593031e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,24,-39.176458439526087,1.215595018155216e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,25,-39.059902131173544,2.6448289484490192e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,26,-39.059902131173509,2.8147886670129233e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,27,-39.059902131173502,3.0816798117964907e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,28,-39.023899884567243,1.1011048488171017e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,43,30,29,-39.013014208040154,4.701688758312347e-07
