davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00098119715159659623,9.1619310469050322e-05,1,34,9.1619310469050322e-05,29,4.7805137416601785e-11,9.1619310469050322e-05,1.9317880628477724e-14
2,29,9.1619310469050322e-05,3.6903790261756582e-05,1,35,3.6903790261756582e-05,29,4.7777006667878408e-11,3.6903790261756582e-05,1.5099033134902129e-14
3,29,3.6903790261756582e-05,3.0442603500732052e-05,1,36,3.0442603500732052e-05,29,4.7396291060212917e-11,3.0442603500732052e-05,1.7763568394002505e-14
4,29,3.0442603500732052e-05,1.4608840378674974e-05,1,37,1.4608840378674974e-05,29,4.6288824701630728e-11,1.4608840378674974e-05,1.532107773982716e-14
5,29,1.4608840378674974e-05,6.6069538371878361e-06,1,38,6.6069538371878361e-06,29,4.4166198076312947e-11,6.6069538371878361e-06,1.5099033134902129e-14
6,29,6.6069538371878361e-06,3.8272834206627764e-06,1,39,3.8272834206627764e-06,29,4.2517936047347175e-11,3.8272834206627764e-06,1.5987211554602254e-14
7,29,3.8272834206627764e-06,2.322992888912357e-06,1,40,2.322992888912357e-06,29,4.2205962566022772e-11,2.322992888912357e-06,1.7319479184152442e-14
8,29,2.322992888912357e-06,1.6050647133839381e-06,1,41,1.6050647133839381e-06,29,3.9513285831469115e-11,1.6050647133839381e-06,2.1316282072803006e-14
9,29,1.6050647133839381e-06,1.0091234661800364e-06,1,42,1.0091234661800364e-06,29,3.8460006077045669e-11,1.0091234661800364e-06,1.4654943925052066e-14
10,29,1.0091234661800364e-06,6.8508741840081314e-07,1,43,6.8508741840081314e-07,29,3.845977851272229e-11,6.8508741840081314e-07,1.5765166949677223e-14
