davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.0017730420517231939,1,0,0,0,0,0,0.097154282390937388,0.094010220312711543
1,28,3.7387308706738513e-10,1,0,0,0,0,0,2.0094855293717071e-08,1.1132237003379201e-08
2,29,0.00014540735873043141,1,0,0,0,0,0,0.02029230661627307,0.012716861798294028
2,28,7.9476913673281503e-11,1,0,0,0,0,0,4.2672425962963028e-09,3.0624417027045681e-09
3,29,5.8486708213535013e-05,1,0,0,0,0,0,0.0041952460111213995,0.0032009934777077736
3,28,4.4094555315269446e-11,1,0,0,0,0,0,5.3513348469933733e-09,3.5722486467896028e-09
4,29,4.9677231777310539e-05,1,0,0,0,0,0,0.0025635858806339132,0.0020547715493212859
4,28,6.6243775016709885e-11,1,0,0,0,0,0,4.127228714791549e-09,2.7497233408655633e-09
31,28,6.6243775016709885e-11,0,1,0,0,0,0,4.127228714791549e-09,2.823299592388874e-09
31,29,4.9677231777310539e-05,0,1,0,0,0,0,0.0025635858806339132,0.0020012234282705062
