davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.00062210733923170121,1.8270880989066702e-05,1,35,1.8270880989066702e-05,29,8.3254315014816833e-13,1.8270880989066702e-05,1.5765166949677223e-14,0
1,28,3.9361660015568806e-12,8.3254315014816833e-13,1,35,1.8270880989066702e-05,29,8.3254315014816833e-13,1.8270880989066702e-05,1.5765166949677223e-14,0
2,29,1.8270880989066702e-05,6.8966721023411241e-06,1,37,6.8966721023411241e-06,29,9.6838643988440006e-13,6.8966721023411241e-06,1.4988010832439613e-14,0
2,28,8.3254315014816833e-13,9.6838643988440006e-13,1,37,6.8966721023411241e-06,29,9.6838643988440006e-13,6.8966721023411241e-06,1.4988010832439613e-14,0
3,29,6.8966721023411241e-06,2.9553732032630258e-06,1,39,2.9553732032630258e-06,29,5.4331367944267371e-13,2.9553732032630258e-06,1.5765166949677223e-14,0
3,28,9.6838643988440006e-13,5.4331367944267371e-13,1,39,2.9553732032630258e-06,29,5.4331367944267371e-13,2.9553732032630258e-06,1.5765166949677223e-14,0
4,29,2.9553732032630258e-06,1.3709094268813676e-06,1,41,1.3709094268813676e-06,29,2.7950701055846052e-13,1.3709094268813676e-06,1.4210854715202004e-14,0
4,28,5.4331367944267371e-13,2.7950701055846052e-13,1,41,1.3709094268813676e-06,29,2.7950701055846052e-13,1.3709094268813676e-06,1.4210854715202004e-14,0
5,29,1.3709094268813676e-06,7.0414560498692468e-07,1,43,7.0414560498692468e-07,29,2.4526720178189146e-13,7.0414560498692468e-07,1.4876988529977098e-14,0
5,28,2.7950701055846052e-13,2.4526720178189146e-13,1,43,7.0414560498692468e-07,29,2.4526720178189146e-13,7.0414560498692468e-07,1.4876988529977098e-14,0
6,29,7.0414560498692468e-07,3.6647784415648886e-07,1,45,3.6647784415648886e-07,29,2.5797899343409082e-13,3.6647784415648886e-07,1.4654943925052066e-14,0
6,28,2.4526720178189146e-13,2.5797899343409082e-13,1,45,3.6647784415648886e-07,29,2.5797899343409082e-13,3.6647784415648886e-07,1.4654943925052066e-14,0
7,29,3.6647784415648886e-07,1.9365208652842041e-07,1,47,1.9365208652842041e-07,29,1.6457436008231237e-13,1.9365208652842041e-07,1.532107773982716e-14,0
7,28,2.5797899343409082e-13,1.6457436008231237e-13,1,47,1.9365208652842041e-07,29,1.6457436008231237e-13,1.9365208652842041e-07,1.532107773982716e-14,0
8,29,1.9365208652842041e-07,1.1691592018209193e-07,1,49,1.1691592018209193e-07,29,9.8668525606737842e-14,1.1691592018209193e-07,1.5543122344752192e-14,0
8,28,1.6457436008231237e-13,9.8668525606737842e-14,1,49,1.1691592018209193e-07,29,9.8668525606737842e-14,1.1691592018209193e-07,1.5543122344752192e-14,0
9,29,1.1691592018209193e-07,6.9516852441128769e-08,1,50,6.9516852441128769e-08,29,8.9522916309233221e-14,6.9516852441128769e-08,1.5543122344752192e-14,0
10,29,6.9516852441128769e-08,3.9875815511565446e-08,1,51,3.9875815511565446e-08,29,8.7644810225270122e-14,3.9875815511565446e-08,1.5765166949677223e-14,0
11,29,3.9875815511565446e-08,2.3396148691140495e-08,1,52,2.3396148691140495e-08,29,8.7073981233697504e-14,2.3396148691140495e-08,1.532107773982716e-14,0
12,29,2.3396148691140495e-08,1.8283486910988357e-08,1,35,1.8283486910988357e-08,29,8.7197924391157354e-14,1.8283486910988357e-08,1.6209256159527285e-14,1
13,29,1.8283486910988357e-08,1.1613995686356964e-08,1,36,1.1613995686356964e-08,29,8.691469795229924e-14,1.1613995686356964e-08,1.3322676295501878e-14,0
14,29,1.1613995686356964e-08,5.6299700192293297e-09,1,37,5.6299700192293297e-09,29,8.659962422528615e-14,5.6299700192293297e-09,1.3988810110276972e-14,0
15,29,5.6299700192293297e-09,2.8554533937670365e-09,1,38,2.8554533937670365e-09,29,8.7046255231507834e-14,2.8554533937670365e-09,1.6764367671839864e-14,0
16,29,2.8554533937670365e-09,1.7854966162827855e-09,1,39,1.7854966162827855e-09,29,8.642634972113905e-14,1.7854966162827855e-09,1.2434497875801753e-14,0
17,29,1.7854966162827855e-09,1.2483238791925419e-09,1,40,1.2483238791925419e-09,29,8.6826605999057115e-14,1.2483238791925419e-09,1.3766765505351941e-14,0
18,29,1.2483238791925419e-09,8.5662914397460384e-10,1,41,8.5662914397460384e-10,29,8.5404337025983756e-14,8.5662914397460384e-10,1.3100631690576847e-14,0
19,29,8.5662914397460384e-10,5.5793507990051803e-10,1,42,5.5793507990051803e-10,29,8.5224090528173234e-14,5.5793507990051803e-10,1.4654943925052066e-14,0
20,29,5.5793507990051803e-10,3.9551339542164414e-10,1,43,3.9551339542164414e-10,29,8.5415400761412306e-14,3.9551339542164414e-10,1.532107773982716e-14,0
21,29,3.9551339542164414e-10,2.5499492238554268e-10,1,44,2.5499492238554268e-10,29,8.5002972351202931e-14,2.5499492238554268e-10,1.4432899320127035e-14,0
22,29,2.5499492238554268e-10,1.7558056723500897e-10,1,45,1.7558056723500897e-10,29,8.5580658967571684e-14,1.7558056723500897e-10,1.5099033134902129e-14,0
23,29,1.7558056723500897e-10,1.3016378250759234e-10,1,46,1.3016378250759234e-10,29,8.619438796806666e-14,1.3016378250759234e-10,1.7985612998927536e-14,0
24,29,1.3016378250759234e-10,1.1049980129707247e-10,1,47,1.1049980129707247e-10,29,8.4519710919423006e-14,1.1049980129707247e-10,1.5987211554602254e-14,0
25,29,1.1049980129707247e-10,1.1214382315842114e-10,0,47,1.1049980129707247e-10,29,8.4519710919423006e-14,1.1049980129707247e-10,1.5987211554602254e-14,0
31,29,1.1049980129707247e-10,1.1214388404488125e-10,0,47,1.1049980129707247e-10,29,8.4519710919423006e-14,1.1049980129707247e-10,1.5987211554602254e-14,0
