davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual
1,29,0.00048460997744114868,6.04247528917814e-05,1,35,6.04247528917814e-05,29,2.5522793621269057e-12,6.04247528917814e-05,1.4432899320127035e-14,0,1,1,6.04247528917814e-05,2.5522793621269057e-12,6.04247528917814e-05
1,28,2.1038300408134759e-11,2.5522793621269057e-12,1,35,6.04247528917814e-05,29,2.5522793621269057e-12,6.04247528917814e-05,1.4432899320127035e-14,0,1,1,6.04247528917814e-05,2.5522793621269057e-12,6.04247528917814e-05
2,29,6.04247528917814e-05,3.5661943013686564e-05,1,37,3.5661943013686564e-05,29,1.7406047476383628e-12,3.5661943013686564e-05,1.532107773982716e-14,0,1,2,3.5661943013686564e-05,1.7406047476383628e-12,3.5661943013686564e-05
2,28,2.5522793621269057e-12,1.7406047476383628e-12,1,37,3.5661943013686564e-05,29,1.7406047476383628e-12,3.5661943013686564e-05,1.532107773982716e-14,0,1,2,3.5661943013686564e-05,1.7406047476383628e-12,3.5661943013686564e-05
3,29,3.5661943013686564e-05,3.428106503453433e-05,1,39,3.428106503453433e-05,29,2.1735697317650395e-12,3.428106503453433e-05,1.6431300764452317e-14,0,1,3,3.428106503453433e-05,1.7406047476383628e-12,3.428106503453433e-05
3,28,1.7406047476383628e-12,2.1735697317650395e-12,1,39,3.428106503453433e-05,29,2.1735697317650395e-12,3.428106503453433e-05,1.6431300764452317e-14,0,1,3,3.428106503453433e-05,1.7406047476383628e-12,3.428106503453433e-05
4,29,3.428106503453433e-05,2.3947499654178566e-05,1,41,2.3947499654178566e-05,29,1.3589678515688759e-12,2.3947499654178566e-05,1.5765166949677223e-14,0,1,4,2.3947499654178566e-05,1.3589678515688759e-12,2.3947499654178566e-05
4,28,2.1735697317650395e-12,1.3589678515688759e-12,1,41,2.3947499654178566e-05,29,1.3589678515688759e-12,2.3947499654178566e-05,1.5765166949677223e-14,0,1,4,2.3947499654178566e-05,1.3589678515688759e-12,2.3947499654178566e-05
5,29,2.3947499654178566e-05,1.6237373030796144e-05,1,43,1.6237373030796144e-05,29,8.5646689193523633e-13,1.6237373030796144e-05,1.5987211554602254e-14,0,1,5,1.6237373030796144e-05,8.5646689193523633e-13,1.6237373030796144e-05
5,28,1.3589678515688759e-12,8.5646689193523633e-13,1,43,1.6237373030796144e-05,29,8.5646689193523633e-13,1.6237373030796144e-05,1.5987211554602254e-14,0,1,5,1.6237373030796144e-05,8.5646689193523633e-13,1.6237373030796144e-05
6,29,1.6237373030796144e-05,1.3690233488427951e-05,1,45,1.3690233488427951e-05,29,6.5766628236361971e-13,1.3690233488427951e-05,1.5543122344752192e-14,0,1,6,1.3690233488427951e-05,6.5766628236361971e-13,1.3690233488427951e-05
6,28,8.5646689193523633e-13,6.5766628236361971e-13,1,45,1.3690233488427951e-05,29,6.5766628236361971e-13,1.3690233488427951e-05,1.5543122344752192e-14,0,1,6,1.3690233488427951e-05,6.5766628236361971e-13,1.3690233488427951e-05
7,29,1.3690233488427951e-05,1.0219013052526496e-05,1,47,1.0219013052526496e-05,29,4.6296412986282674e-13,1.0219013052526496e-05,1.5765166949677223e-14,0,1,7,1.0219013052526496e-05,4.6296412986282674e-13,1.0219013052526496e-05
7,28,6.5766628236361971e-13,4.6296412986282674e-13,1,47,1.0219013052526496e-05,29,4.6296412986282674e-13,1.0219013052526496e-05,1.5765166949677223e-14,0,1,7,1.0219013052526496e-05,4.6296412986282674e-13,1.0219013052526496e-05
8,29,1.0219013052526496e-05,6.6872148389218606e-06,1,49,6.6872148389218606e-06,29,3.5033409743121552e-13,6.6872148389218606e-06,1.3988810110276972e-14,0,1,8,6.6872148389218606e-06,3.5033409743121552e-13,6.6872148389218606e-06
8,27,4.6792791743935728e-13,9.094973934695141e-14,1,49,6.6872148389218606e-06,29,3.5033409743121552e-13,6.6872148389218606e-06,1.3988810110276972e-14,0,1,8,6.6872148389218606e-06,3.5033409743121552e-13,6.6872148389218606e-06
9,29,6.6872148389218606e-06,6.1563711536727092e-06,1,51,6.1563711536727092e-06,29,2.8383742331695196e-13,6.1563711536727092e-06,1.7319479184152442e-14,0,1,9,6.1563711536727092e-06,2.8383742331695196e-13,6.1563711536727092e-06
9,28,3.5033409743121552e-13,2.8383742331695196e-13,1,51,6.1563711536727092e-06,29,2.8383742331695196e-13,6.1563711536727092e-06,1.7319479184152442e-14,0,1,9,6.1563711536727092e-06,2.8383742331695196e-13,6.1563711536727092e-06
10,29,6.1563711536727092e-06,4.0951389069401213e-06,1,35,4.0951389069401213e-06,29,1.9949203044468258e-13,4.0951389069401213e-06,1.5099033134902129e-14,1,1,10,4.0951389069401213e-06,1.9949203044468258e-13,4.0951389069401213e-06
10,25,3.5074737240016214e-13,9.164594511181082e-14,1,35,4.0951389069401213e-06,29,1.9949203044468258e-13,4.0951389069401213e-06,1.5099033134902129e-14,1,1,10,4.0951389069401213e-06,1.9949203044468258e-13,4.0951389069401213e-06
11,29,4.0951389069401213e-06,2.1139741771000187e-06,1,37,2.1139741771000187e-06,29,1.4137555919684185e-13,2.1139741771000187e-06,1.4210854715202004e-14,0,1,11,2.1139741771000187e-06,1.4137555919684185e-13,2.1139741771000187e-06
11,24,2.1371543302623583e-13,3.505979137746084e-14,1,37,2.1139741771000187e-06,29,1.4137555919684185e-13,2.1139741771000187e-06,1.4210854715202004e-14,0,1,11,2.1139741771000187e-06,1.4137555919684185e-13,2.1139741771000187e-06
12,29,2.1139741771000187e-06,1.2982246447269361e-06,1,39,1.2982246447269361e-06,29,8.9667895739242455e-14,1.2982246447269361e-06,1.4876988529977098e-14,0,1,12,1.2982246447269361e-06,8.9667895739242455e-14,1.2982246447269361e-06
12,28,1.4137555919684185e-13,8.9667895739242455e-14,1,39,1.2982246447269361e-06,29,8.9667895739242455e-14,1.2982246447269361e-06,1.4876988529977098e-14,0,1,12,1.2982246447269361e-06,8.9667895739242455e-14,1.2982246447269361e-06
13,29,1.2982246447269361e-06,8.3423352977815092e-07,1,41,8.3423352977815092e-07,29,7.8534411978679408e-14,8.3423352977815092e-07,1.354472090042691e-14,0,1,13,8.3423352977815092e-07,7.8534411978679408e-14,8.3423352977815092e-07
13,25,1.5675488826256607e-13,4.2557268419137119e-14,1,41,8.3423352977815092e-07,29,7.8534411978679408e-14,8.3423352977815092e-07,1.354472090042691e-14,0,1,13,8.3423352977815092e-07,7.8534411978679408e-14,8.3423352977815092e-07
14,29,8.3423352977815092e-07,5.9750199236963991e-07,1,42,5.9750199236963991e-07,29,7.4377528685657702e-14,5.9750199236963991e-07,1.9317880628477724e-14,0,1,14,5.9750199236963991e-07,7.4377528685657702e-14,5.9750199236963991e-07
15,29,5.9750199236963991e-07,4.4828295603070793e-07,1,43,4.4828295603070793e-07,29,7.3970281433499735e-14,4.4828295603070793e-07,1.3100631690576847e-14,0,1,15,4.4828295603070793e-07,7.3970281433499735e-14,4.4828295603070793e-07
16,29,4.4828295603070793e-07,3.5592073417005069e-07,1,44,3.5592073417005069e-07,29,7.3800781957518865e-14,3.5592073417005069e-07,1.4210854715202004e-14,0,1,16,3.5592073417005069e-07,7.3800781957518865e-14,3.5592073417005069e-07
17,29,3.5592073417005069e-07,2.2499859007495253e-07,1,45,2.2499859007495253e-07,29,7.4444198388119942e-14,2.2499859007495253e-07,1.354472090042691e-14,0,1,17,2.2499859007495253e-07,7.3800781957518865e-14,2.2499859007495253e-07
18,29,2.2499859007495253e-07,1.7044877633422041e-07,1,46,1.7044877633422041e-07,29,7.5557582627082436e-14,1.7044877633422041e-07,1.2878587085651816e-14,0,1,18,1.7044877633422041e-07,7.3800781957518865e-14,1.7044877633422041e-07
19,29,1.7044877633422041e-07,1.7769624513555579e-07,0,46,1.7044877633422041e-07,29,7.5557582627082436e-14,1.7044877633422041e-07,1.2878587085651816e-14,0,0,18,1.7044877633422041e-07,7.3800781957518865e-14,1.7044877633422041e-07
31,29,1.7044877633422041e-07,1.7769624520181441e-07,0,46,1.7044877633422041e-07,29,7.5557582627082436e-14,1.7044877633422041e-07,1.2878587085651816e-14,0,0,18,1.7044877633422041e-07,7.3800781957518865e-14,1.7044877633422041e-07
