davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00048460997744114868,1,0,0,0,0,0,0.025951311742916181,0.025571080745423268
1,28,2.1038300408134759e-11,1,0,0,0,0,0,1.1613151394258357e-09,9.7856194764187328e-10
2,29,6.04247528917814e-05,1,0,0,0,0,0,0.0054148757479967691,0.0047575442118359219
2,28,2.5522793621269057e-12,1,0,0,0,0,0,2.3708781719332894e-10,1.006832014440402e-10
3,29,3.5661943013686564e-05,1,0,0,0,0,0,0.0037054423150413699,0.0025574882224931924
3,28,1.7406047476383628e-12,1,0,0,0,0,0,1.6546555694814305e-10,4.1773296369383026e-11
4,29,3.428106503453433e-05,1,0,0,0,0,0,0.0017793927222171412,0.0014130002698998093
4,28,2.1735697317650395e-12,1,0,0,0,0,0,9.6646035638695143e-11,3.8569905039994854e-11
5,29,2.3947499654178566e-05,1,0,0,0,0,0,0.0011933314043282143,0.0010291804651114045
5,28,1.3589678515688759e-12,1,0,0,0,0,0,6.3582375976472583e-11,2.4190835149730137e-11
6,29,1.6237373030796144e-05,1,0,0,0,0,0,0.00091308823993923574,0.00073320014477655342
6,28,8.5646689193523633e-13,1,0,0,0,0,0,4.9501956146865254e-11,2.0323775646837092e-11
7,29,1.3690233488427951e-05,1,0,0,0,0,0,0.0011736170952261937,0.00077086249890312344
7,28,6.5766628236361971e-13,1,0,0,0,0,0,5.2833446567558447e-11,9.3909390137112103e-12
8,29,1.0219013052526496e-05,1,0,0,0,0,0,0.00065326689832560716,0.00039472545129983362
8,27,4.6792791743935728e-13,1,0,0,0,0,0,2.2794001498505526e-11,2.2234676957298726e-11
9,29,6.6872148389218606e-06,1,0,0,0,0,0,0.00034616203017691306,0.00026908901813547508
9,28,3.5033409743121552e-13,1,0,0,0,0,0,1.5348335260800117e-11,6.01604674642651e-12
10,29,6.1563711536727092e-06,1,0,0,0,0,0,0.00025704751173989709,0.00019695179188502455
10,25,3.5074737240016214e-13,1,0,0,0,0,0,1.6901502753874673e-11,1.6553124395330696e-11
11,29,4.0951389069401213e-06,1,0,0,0,0,0,0.00015248145207900199,0.00012836155111380613
11,24,2.1371543302623583e-13,1,0,0,0,0,0,7.8544150709837335e-12,7.589456012499506e-12
12,29,2.1139741771000187e-06,1,0,0,0,0,0,9.666512969113569e-05,7.7498414879944306e-05
12,28,1.4137555919684185e-13,1,0,0,0,0,0,7.3169597721615514e-12,4.3402912845231517e-12
13,29,1.2982246447269361e-06,1,0,0,0,0,0,7.6139207030569985e-05,5.755694497391266e-05
13,25,1.5675488826256607e-13,1,0,0,0,0,0,7.6593025427814991e-12,7.2465117931536048e-12
14,29,8.3423352977815092e-07,1,0,0,0,0,0,6.8185780908410498e-05,4.6407603194381553e-05
14,28,7.8534411978679408e-14,0,0,1,0,0,0,0,0
14,26,6.9513342502444055e-14,0,0,1,0,0,0,0,0
14,27,5.7652813722087418e-14,0,0,1,0,0,0,0,0
14,25,4.2557268419137119e-14,0,0,1,0,0,0,0,0
14,14,3.6559867983798466e-14,0,0,1,0,0,0,0,0
14,24,3.5116830862442256e-14,0,0,1,0,0,0,0,0
14,13,3.2775383109769886e-14,0,0,1,0,0,0,0,0
14,1,3.2243486963069325e-14,0,0,1,0,0,0,0,0
14,21,2.7709591339936068e-14,0,0,1,0,0,0,0,0
14,22,2.5683523403233056e-14,0,0,1,0,0,0,0,0
14,23,2.4462123407013049e-14,0,0,1,0,0,0,0,0
14,20,2.0744673396349801e-14,0,0,1,0,0,0,0,0
14,11,1.9973646227333423e-14,0,0,1,0,0,0,0,0
14,7,1.9740180099516648e-14,0,0,1,0,0,0,0,0
14,5,1.9130642317053968e-14,0,0,1,0,0,0,0,0
14,10,1.8829267778509015e-14,0,0,1,0,0,0,0,0
14,19,1.7995491445159693e-14,0,0,1,0,0,0,0,0
14,9,1.7622931292207276e-14,0,0,1,0,0,0,0,0
14,6,1.5409045947372624e-14,0,0,1,0,0,0,0,0
14,18,1.5026862508886215e-14,0,0,1,0,0,0,0,0
14,8,1.3857706605888809e-14,0,0,1,0,0,0,0,0
14,2,1.3410858782960156e-14,0,0,1,0,0,0,0,0
14,17,1.2718474701241408e-14,0,0,1,0,0,0,0,0
14,12,1.1774692145900797e-14,0,0,1,0,0,0,0,0
14,4,1.1397850488006972e-14,0,0,1,0,0,0,0,0
14,15,1.0236342513787313e-14,0,0,1,0,0,0,0,0
14,3,9.3427026949258704e-15,0,0,1,0,0,0,0,0
14,16,8.2105170737319484e-15,0,0,1,0,0,0,0,0
14,0,8.3320104351436973e-16,0,0,1,0,0,0,0,0
15,29,5.9750199236963991e-07,1,0,0,0,0,0,4.1986263498591789e-05,2.7564677119371592e-05
15,28,7.4377528685657702e-14,0,0,1,0,0,0,0,0
15,27,7.1529070371206453e-14,0,0,1,0,0,0,0,0
15,25,5.5416482370278404e-14,0,0,1,0,0,0,0,0
15,26,4.1813234039475766e-14,0,0,1,0,0,0,0,0
15,24,3.4696198016010162e-14,0,0,1,0,0,0,0,0
15,14,3.4658343993276787e-14,0,0,1,0,0,0,0,0
15,13,3.4609974128165009e-14,0,0,1,0,0,0,0,0
15,1,3.2232116315533971e-14,0,0,1,0,0,0,0,0
15,22,2.67182688888379e-14,0,0,1,0,0,0,0,0
15,21,2.5817207244060553e-14,0,0,1,0,0,0,0,0
15,23,2.5465535353280533e-14,0,0,1,0,0,0,0,0
15,10,2.0666536202926974e-14,0,0,1,0,0,0,0,0
15,7,2.0312581705333217e-14,0,0,1,0,0,0,0,0
15,18,2.0038176369607625e-14,0,0,1,0,0,0,0,0
15,12,1.9036929169839441e-14,0,0,1,0,0,0,0,0
15,5,1.7962386868304038e-14,0,0,1,0,0,0,0,0
15,19,1.7461791469141751e-14,0,0,1,0,0,0,0,0
15,6,1.6876801977215799e-14,0,0,1,0,0,0,0,0
15,9,1.6728719644151789e-14,0,0,1,0,0,0,0,0
15,20,1.6722869155956565e-14,0,0,1,0,0,0,0,0
15,8,1.4358816203920165e-14,0,0,1,0,0,0,0,0
15,2,1.3476493398651034e-14,0,0,1,0,0,0,0,0
15,17,1.2806368735251296e-14,0,0,1,0,0,0,0,0
15,3,1.1268662466235971e-14,0,0,1,0,0,0,0,0
15,11,1.0547166332832779e-14,0,0,1,0,0,0,0,0
15,15,9.7602283717232958e-15,0,0,1,0,0,0,0,0
15,4,9.3188106112633461e-15,0,0,1,0,0,0,0,0
15,16,8.9451669963677546e-15,0,0,1,0,0,0,0,0
15,0,8.3320104351436973e-16,0,0,1,0,0,0,0,0
16,29,4.4828295603070793e-07,1,0,0,0,0,0,3.169000091633745e-05,2.1639140944646281e-05
16,28,7.3970281433499735e-14,0,0,1,0,0,0,0,0
16,27,7.19570284834921e-14,0,0,1,0,0,0,0,0
16,26,5.4836787721363329e-14,0,0,1,0,0,0,0,0
16,25,4.2936791233665978e-14,0,0,1,0,0,0,0,0
16,14,3.6010388304122252e-14,0,0,1,0,0,0,0,0
16,24,3.4699930504851826e-14,0,0,1,0,0,0,0,0
16,13,3.2932067003653232e-14,0,0,1,0,0,0,0,0
16,1,3.2179567071247138e-14,0,0,1,0,0,0,0,0
16,21,2.8020008275397421e-14,0,0,1,0,0,0,0,0
16,22,2.5714923631803649e-14,0,0,1,0,0,0,0,0
