method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,0,-40.190776252600699,8.3320104351436973e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,1,-39.587783846039699,3.2143711598414273e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,2,-39.530151400182994,1.313757521094632e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,3,-39.530151400182966,1.1389273702238851e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,4,-39.530151400182945,9.0303320025874628e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,5,-39.412585414388566,1.9380128582711729e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,6,-39.412585414388559,1.5030206696332754e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,7,-39.402524307527784,1.3910289536171424e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,8,-39.402524307527763,1.9775211320798835e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,9,-39.402524307527742,1.6444782694463374e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,10,-39.376663783891722,2.0425032531870923e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,11,-39.376663783891608,8.2327390921390128e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,12,-39.376663783891544,1.9237008871228104e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,13,-39.36770147029538,3.2448814179005725e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,14,-39.367701470295344,3.6461768889238142e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,15,-39.364323150450041,8.7890837269038035e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,16,-39.364323150450041,1.2479706080424092e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,17,-39.364323150450033,9.6825360547503157e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,18,-39.312786707793329,1.7362267319234073e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,19,-39.312786707793286,1.769150768517881e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,20,-39.312786707793165,1.855818334611396e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,21,-39.290219883813357,2.6076936778791569e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,22,-39.290219883813165,2.6253647900943403e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,23,-39.290219883813009,2.4736488467661274e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,24,-39.176458439525923,3.432001247644402e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,25,-39.059902131173544,4.1443791725607195e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,26,-39.059902131173516,5.6404262790043465e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,27,-39.059902131173423,7.1823491975698622e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,28,-39.02389988456715,7.5557582627082436e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,46,30,29,-39.013014208562637,1.7044877633422041e-07
