repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600706,4.0537365279245482e-13,1.0000000000000007
1,1,-39.587783846039805,1.8084219241228726e-13,1.0000000000000002
1,2,-39.530151400183193,2.5270660719136849e-13,1.0000000000000071
1,3,-39.530151400183129,3.9218064305479051e-13,0.999999999999999
1,4,-39.530151400182966,2.3788846960061368e-13,0.99999999999999922
1,5,-39.412585414388595,4.1332371647398677e-13,1.0000000000000022
1,6,-39.412585414388438,4.2003826430067521e-13,1.0000000000000004
1,7,-39.40252430752782,9.0123783388110471e-14,1.0000000000000022
1,8,-39.40252430752777,4.6020151243197143e-13,0.999999999999997
1,9,-39.402524307527649,3.037622443094518e-14,0.99999999999999833
1,10,-39.376663783891736,2.7133745909298476e-13,0.99999999999999745
1,11,-39.376663783891679,3.8256442317732198e-13,1.0000000000000036
1,12,-39.376663783891573,4.1644625339210958e-13,0.99999999999999734
1,13,-39.367701470295486,3.9114030820843064e-13,1.0000000000000033
1,14,-39.36770147029543,2.3915666551454337e-13,0.99999999999999933
1,15,-39.364323150450183,2.3363849110722695e-13,0.99999999999999722
1,16,-39.36432315045009,3.7344743958676037e-13,1.000000000000006
1,17,-39.364323150449984,2.3661759993942021e-13,0.99999999999999345
1,18,-39.312786707793279,2.2727638538206566e-13,1.0000000000000016
1,19,-39.312786707793258,3.9118979423892832e-13,0.99999999999999978
1,20,-39.312786707793201,2.1341113990510947e-13,0.99999999999999689
1,21,-39.290219883813229,4.4387056129058225e-14,1.0000000000000011
1,22,-39.29021988381313,2.9104505447633582e-13,0.99999999999999856
1,23,-39.290219883813123,1.0995590996224259e-13,0.99999999999999745
1,24,-39.176458439525987,3.1029025864120631e-13,1.0000000000000073
1,25,-39.05990213117353,4.4954731673424002e-13,1.0000000000000036
1,26,-39.059902131173494,4.9343466012323536e-13,1.0000000000000049
1,27,-39.059902131173423,1.634424290392623e-13,0.99999999999999778
1,28,-39.02389988456715,3.1112420067749267e-13,1.000000000000004
1,29,-39.013014208760957,2.8769572106895776e-13,1.0000000000000007
