davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual
31,29,1,1,6.60833166699107e-08,5.5260215218925769e-08,1.3737604470015674e-09,7.864129298139432e-10,4.0207826451196801e-14,4.0188464918424691e-14,1.3737604470015674e-09,7.864129298139432e-10,1,none,38,39,1.7541523789077473e-14,1.4876988529977098e-14,1,31,7.864129298139432e-10,4.0188464918424691e-14,7.864129298139432e-10
32,29,1,1,4.6197094910500785e-08,3.5869551184113327e-08,7.864129298139432e-10,5.7807828295849255e-10,4.0188464918424691e-14,4.0188328629434074e-14,7.864129298139432e-10,5.7807828295849255e-10,1,none,39,40,1.4876988529977098e-14,1.5765166949677223e-14,1,32,5.7807828295849255e-10,4.0188328629434074e-14,5.7807828295849255e-10
33,29,1,1,3.4616822854326756e-08,2.8198198853795707e-08,5.7807828295849255e-10,3.9846331673389766e-10,4.0188328629434074e-14,4.0137870761169633e-14,5.7807828295849255e-10,3.9846331673389766e-10,1,none,40,41,1.5765166949677223e-14,1.4876988529977098e-14,1,33,3.9846331673389766e-10,4.0137870761169633e-14,3.9846331673389766e-10
34,29,1,1,2.6604661786843289e-08,2.1329531275931106e-08,3.9846331673389766e-10,2.6834375473373268e-10,4.0137870761169633e-14,4.0093162039515313e-14,3.9846331673389766e-10,2.6834375473373268e-10,1,none,41,42,1.4876988529977098e-14,1.532107773982716e-14,1,34,2.6834375473373268e-10,4.0093162039515313e-14,2.6834375473373268e-10
35,29,1,1,2.0721000638551935e-08,1.362339590684362e-08,2.6834375473373268e-10,1.7614511299251541e-10,4.0093162039515313e-14,4.0178996494392745e-14,2.6834375473373268e-10,1.7614511299251541e-10,1,none,42,43,1.532107773982716e-14,1.354472090042691e-14,1,35,1.7614511299251541e-10,4.0093162039515313e-14,1.7614511299251541e-10
36,29,1,1,1.0870745800461096e-08,7.5651604009177173e-09,1.7614511299251541e-10,1.1234288993574721e-10,4.0178996494392745e-14,3.9919286261750931e-14,1.7614511299251541e-10,1.1234288993574721e-10,1,none,43,44,1.354472090042691e-14,1.5099033134902129e-14,1,36,1.1234288993574721e-10,3.9919286261750931e-14,1.1234288993574721e-10
37,29,1,1,6.3656495524598959e-09,5.0318321104408071e-09,1.1234288993574721e-10,1.0010441894089326e-10,3.9919286261750931e-14,3.9928066864731466e-14,1.1234288993574721e-10,1.0010441894089326e-10,1,none,44,45,1.5099033134902129e-14,1.4210854715202004e-14,1,37,1.0010441894089326e-10,3.9919286261750931e-14,1.0010441894089326e-10
38,29,1,1,5.1209193994033728e-09,4.5997852900053967e-09,1.0010441894089326e-10,8.7547872374233037e-11,3.9928066864731466e-14,3.9820462699263434e-14,1.0010441894089326e-10,8.7547872374233037e-11,1,none,45,46,1.4210854715202004e-14,1.5543122344752192e-14,1,38,8.7547872374233037e-11,3.9820462699263434e-14,8.7547872374233037e-11
39,29,1,1,5.7469377308254638e-09,4.5063593507992851e-09,8.7547872374233037e-11,6.515010343882909e-11,3.9820462699263434e-14,3.9813321764629381e-14,8.7547872374233037e-11,6.515010343882909e-11,1,none,46,47,1.5543122344752192e-14,1.9317880628477724e-14,1,39,6.515010343882909e-11,3.9813321764629381e-14,6.515010343882909e-11
40,29,1,1,5.4172804153425996e-09,3.5010488125639856e-09,6.515010343882909e-11,5.4760669224020193e-11,3.9813321764629381e-14,3.944170812777694e-14,6.515010343882909e-11,5.4760669224020193e-11,1,none,47,48,1.9317880628477724e-14,1.4876988529977098e-14,1,40,5.4760669224020193e-11,3.944170812777694e-14,5.4760669224020193e-11
