davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual
1,29,0.00083537436560102976,0.00021558958213590114,1,35,0.00021558958213590114,29,1.1394992483638933e-11,0.00021558958213590114,1.6209256159527285e-14,0,1,1,0.00021558958213590114,1.1394992483638933e-11,0.00021558958213590114
1,28,4.2450583109722413e-11,1.1394992483638933e-11,1,35,0.00021558958213590114,29,1.1394992483638933e-11,0.00021558958213590114,1.6209256159527285e-14,0,1,1,0.00021558958213590114,1.1394992483638933e-11,0.00021558958213590114
2,29,0.00021558958213590114,0.00012794169840544685,1,37,0.00012794169840544685,29,8.1458351878702368e-12,0.00012794169840544685,1.4543921622589551e-14,0,1,2,0.00012794169840544685,8.1458351878702368e-12,0.00012794169840544685
2,28,1.1394992483638933e-11,8.1458351878702368e-12,1,37,0.00012794169840544685,29,8.1458351878702368e-12,0.00012794169840544685,1.4543921622589551e-14,0,1,2,0.00012794169840544685,8.1458351878702368e-12,0.00012794169840544685
3,29,0.00012794169840544685,0.00010322596306315594,1,39,0.00010322596306315594,29,6.3771177069512996e-12,0.00010322596306315594,1.5765166949677223e-14,0,1,3,0.00010322596306315594,6.3771177069512996e-12,0.00010322596306315594
3,28,8.1458351878702368e-12,6.3771177069512996e-12,1,39,0.00010322596306315594,29,6.3771177069512996e-12,0.00010322596306315594,1.5765166949677223e-14,0,1,3,0.00010322596306315594,6.3771177069512996e-12,0.00010322596306315594
4,29,0.00010322596306315594,7.7120330313843518e-05,1,41,7.7120330313843518e-05,29,4.4313639605632831e-12,7.7120330313843518e-05,1.354472090042691e-14,0,1,4,7.7120330313843518e-05,4.4313639605632831e-12,7.7120330313843518e-05
4,28,6.3771177069512996e-12,4.4313639605632831e-12,1,41,7.7120330313843518e-05,29,4.4313639605632831e-12,7.7120330313843518e-05,1.354472090042691e-14,0,1,4,7.7120330313843518e-05,4.4313639605632831e-12,7.7120330313843518e-05
5,29,7.7120330313843518e-05,3.882296258537209e-05,1,43,3.882296258537209e-05,29,2.9200837106741829e-12,3.882296258537209e-05,1.4432899320127035e-14,0,1,5,3.882296258537209e-05,2.9200837106741829e-12,3.882296258537209e-05
5,28,4.4313639605632831e-12,2.9200837106741829e-12,1,43,3.882296258537209e-05,29,2.9200837106741829e-12,3.882296258537209e-05,1.4432899320127035e-14,0,1,5,3.882296258537209e-05,2.9200837106741829e-12,3.882296258537209e-05
