davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00083537436560102976,1,0,0,0,0,0,0.045327255649132293,0.044364857133098894
1,28,4.2450583109722413e-11,1,0,0,0,0,0,2.2570664265904463e-09,1.2693865891057212e-09
2,29,0.00021558958213590114,1,0,0,0,0,0,0.013057539092859571,0.011237533725301067
2,28,1.1394992483638933e-11,1,0,0,0,0,0,6.7793027077028239e-10,2.2397874157564802e-10
3,29,0.00012794169840544685,1,0,0,0,0,0,0.012976529919219035,0.0090240837955448822
3,28,8.1458351878702368e-12,1,0,0,0,0,0,7.8247891926764594e-10,1.5268809969878961e-10
4,29,0.00010322596306315594,1,0,0,0,0,0,0.0085914340554309535,0.0053501365074771203
4,28,6.3771177069512996e-12,1,0,0,0,0,0,4.7439110792256643e-10,3.7215065974348428e-11
5,29,7.7120330313843518e-05,1,0,0,0,0,0,0.0031329671047766257,0.0026450480492265674
5,28,4.4313639605632831e-12,1,0,0,0,0,0,2.1790119577187464e-10,1.1189414714368065e-10
6,29,3.882296258537209e-05,1,0,0,0,0,0,0.0021498846103776312,0.001858939635477814
6,28,2.9200837106741829e-12,1,0,0,0,0,0,1.8311964544737805e-10,9.4248582763687049e-11
7,29,3.3029223146782219e-05,1,0,0,0,0,0,0.0029802363840713279,0.0020863637305810617
7,28,2.0371828703734985e-12,1,0,0,0,0,0,1.5960614418538664e-10,2.1538773805556363e-11
8,29,3.2889348955684759e-05,1,0,0,0,0,0,0.0024931564522576344,0.0012889859203196591
8,28,1.7464432434691799e-12,1,0,0,0,0,0,1.2318267231192539e-10,1.0438320391539624e-11
9,29,2.1963500581386855e-05,1,0,0,0,0,0,0.0011496232043863512,0.00066609269956333106
9,26,1.5204991792512642e-12,1,0,0,0,0,0,6.7951356037721765e-11,5.9565446952960859e-11
10,29,1.092504213739976e-05,1,0,0,0,0,0,0.00051281104500208404,0.00037788380774422819
10,28,6.210423793367047e-13,1,0,0,0,0,0,2.8784750397629079e-11,7.2149123219148301e-12
11,29,6.4953454290033651e-06,1,0,0,0,0,0,0.00026327925606323046,0.0002351958098099452
11,28,3.5561574051218973e-13,1,0,0,0,0,0,1.4461342764978453e-11,4.8585552367451362e-12
12,29,3.1553835644794977e-06,1,0,0,0,0,0,0.00020430926471628672,0.00016665235380934225
12,28,1.6614269246892195e-13,1,0,0,0,0,0,1.120778283313952e-11,3.2287530594448202e-12
13,29,1.8145613275243341e-06,1,0,0,0,0,0,8.8129747140286172e-05,6.9044433714608036e-05
