method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,0,-40.190776252600699,7.4674978947684677e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,1,-39.587783846039819,8.9247817276365289e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,2,-39.530151400183044,1.3193997196235912e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,3,-39.530151400183037,2.0409238751987912e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,4,-39.530151400183009,7.0381153355569675e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,5,-39.412585414388616,9.842239031989944e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,6,-39.412585414388552,6.4126196123913937e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,7,-39.402524307527798,4.8175271228530304e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,8,-39.402524307527734,5.182678894084946e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,9,-39.402524307527663,1.01632084630883e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,10,-39.376663783891757,4.9809374300464155e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,11,-39.376663783891672,5.0998788461683375e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,12,-39.376663783891516,6.0545627542123577e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,13,-39.367701470295458,1.0512840309158739e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,14,-39.367701470295458,6.593777856446356e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,15,-39.364323150450097,6.4964527636340104e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,16,-39.364323150450026,8.3745491469097113e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,17,-39.364323150449962,1.7881742261872046e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,18,-39.312786707793343,8.1208027704966511e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,19,-39.3127867077933,5.7187762518281647e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,20,-39.312786707793173,7.9668589344638156e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,21,-39.290219883813265,1.1744881870324574e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,22,-39.290219883813187,7.2619400675151684e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,23,-39.290219883812988,6.986039070691209e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,24,-39.176458439526122,5.4202699088144186e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,25,-39.059902131173565,6.1287423654327784e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,26,-39.059902131173459,4.9855873145822983e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,27,-39.059902131173395,4.1548185617754194e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,28,-39.023899884567136,3.8966428423614207e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,29,-39.013014208760936,5.5081989336521346e-14
