repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600685,4.0532311035342563e-13,1.0000000000000018
1,1,-39.587783846039734,1.848799065718281e-13,0.99999999999999978
1,2,-39.530151400183129,1.9413869576875132e-13,1.000000000000004
1,3,-39.530151400183023,2.652808245812403e-13,0.99999999999999978
1,4,-39.530151400182959,2.7412397918345658e-13,0.99999999999999822
1,5,-39.412585414388609,1.3155775302333306e-13,0.99999999999999822
1,6,-39.412585414388474,4.1879264213026281e-13,1.0000000000000027
1,7,-39.402524307527706,2.7657518086819694e-13,0.99999999999999489
1,8,-39.402524307527663,3.2013404203851541e-14,0.99999999999999512
1,9,-39.402524307527564,7.8286125920112486e-15,0.99999999999999978
1,10,-39.376663783891757,2.8872866183384986e-13,1.0000000000000007
1,11,-39.376663783891679,3.2066893359721574e-13,1.0000000000000031
1,12,-39.376663783891637,4.1635111968480111e-13,1.0000000000000004
1,13,-39.367701470295486,2.5379760378147335e-13,1.0000000000000009
1,14,-39.367701470295451,2.0901417689498803e-13,0.99999999999999933
1,15,-39.364323150450097,3.7454631847422801e-13,0.99999999999999822
1,16,-39.364323150450083,1.8600765882578998e-13,1.0000000000000024
1,17,-39.364323150450048,2.1231517101875794e-13,0.99999999999999989
1,18,-39.3127867077933,1.5822396929958079e-13,1.0000000000000044
1,19,-39.312786707793222,1.6931878118403919e-13,1.0000000000000011
1,20,-39.31278670779313,3.2533994615863213e-13,1.0000000000000036
1,21,-39.290219883813158,4.1557842810415323e-14,1.0000000000000002
1,22,-39.290219883813087,2.486256813620902e-13,0.99999999999999467
1,23,-39.29021988381308,3.0241502911176578e-13,0.99999999999999978
1,24,-39.17645843952598,2.6224977778877324e-13,1.0000000000000089
1,25,-39.059902131173494,3.0378875757321791e-13,0.99999999999999922
1,26,-39.059902131173409,2.587091845637808e-13,1.0000000000000044
1,27,-39.059902131173388,2.4568822354377471e-13,1.0000000000000013
1,28,-39.023899884567136,4.4691365249696453e-13,1.0000000000000064
1,29,-39.0130142087609,3.0439982712325196e-13,0.99999999999999933
