davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00061183523002194705,0,0,1,0,0,0,0.032238381898449152,0.03199624097888721
1,28,7.1975982420530856e-11,0,0,1,0,0,0,3.7059146736576582e-09,1.8771779394293689e-09
2,29,2.2520212705121546e-05,0,0,1,0,0,0,0.0031622535841841323,0.0019375149435334215
2,28,3.2482242533041965e-12,0,0,1,0,0,0,4.4059903954450273e-10,2.8170705753642379e-10
3,29,1.0248116645514735e-05,0,0,1,0,0,0,0.0007105315966478825,0.00047853558306205706
3,28,2.016706681459158e-12,0,0,1,0,0,0,1.1324809362654836e-10,6.3989290232512037e-11
4,29,8.7029098652515186e-06,0,0,1,0,0,0,0.00040671600101535284,0.00029062118151450478
4,28,2.1885956148380079e-12,0,0,1,0,0,0,1.1392072479054656e-10,6.1465093873165431e-11
5,29,6.6986728221383169e-06,0,0,1,0,0,0,0.00030219982612450958,0.00025188983666548292
5,28,2.2730347224384187e-12,0,0,1,0,0,0,9.7262454281807358e-11,6.5235414842016473e-11
6,29,5.2760661971974199e-06,0,0,1,0,0,0,0.00024675433059740125,0.00022811487180648179
6,28,1.4630002456850786e-12,0,0,1,0,0,0,6.3628165244918678e-11,4.4942126240367068e-11
7,28,8.5051282110273238e-13,0,0,1,1,0,0,0,0
7,29,3.0318840198401837e-06,0,0,1,0,0,0,0.00019058200507182581,0.00014337751991183053
8,28,7.6076450481244538e-13,0,0,1,1,0,0,0,0
8,29,1.8441053717173748e-06,0,0,1,0,0,0,0.00011624214468493146,8.4072005794690537e-05
9,28,7.0050408358502568e-13,0,0,1,1,0,0,0,0
9,29,1.3626842439563714e-06,0,0,1,0,0,0,0.00010383781474650719,6.4080603849600771e-05
10,28,6.5610854366373056e-13,0,0,1,1,0,0,0,0
10,29,9.372792351610708e-07,0,0,1,0,0,0,5.4453190917279749e-05,3.4070849268959923e-05
11,28,6.149787535096453e-13,0,0,1,1,0,0,0,0
11,29,4.8477120768621745e-07,0,0,1,0,0,0,2.2016498958647796e-05,1.6664932898851612e-05
12,28,5.9464326131182467e-13,0,0,1,1,0,0,0,0
12,29,2.4862897149782064e-07,0,0,1,0,0,0,1.2260598774565867e-05,8.4709279467222633e-06
13,28,5.8052061119442776e-13,0,0,1,1,0,0,0,0
13,29,1.5318429035747347e-07,0,0,1,0,0,0,6.2918137780297243e-06,5.3015720256849996e-06
14,28,5.6780276374443723e-13,0,0,1,1,0,0,0,0
14,29,9.3321102126481215e-08,0,0,1,0,0,0,3.2390346703265833e-06,2.7976279950775824e-06
15,28,5.6778586721390549e-13,0,0,1,1,0,0,0,0
15,29,4.5019457676400467e-08,0,0,1,0,0,0,1.8296278462933061e-06,1.4699709508368266e-06
16,28,5.6787901084309214e-13,0,0,1,1,0,0,0,0
16,29,2.7200384364743228e-08,0,0,1,0,0,0,1.5586935727839993e-06,1.078778600962851e-06
17,28,5.6779754262965975e-13,0,0,1,1,0,0,0,0
17,29,2.0808758212732034e-08,0,0,1,0,0,0,1.3561415880177287e-06,7.9680014990182375e-07
18,28,5.6983928413892457e-13,0,0,1,1,0,0,0,0
18,29,1.3790435135144907e-08,0,0,1,0,0,0,9.3126368349672136e-07,5.4314116956987285e-07
19,28,5.726177788758864e-13,0,0,1,1,0,0,0,0
19,29,7.9812222496711537e-09,0,0,1,0,0,0,3.7210115058521611e-07,2.5712949741076132e-07
20,28,5.6786528327531617e-13,0,0,1,1,0,0,0,0
20,29,4.0407216609572986e-09,0,0,1,0,0,0,1.5752546883240464e-07,1.2313322342916614e-07
21,28,5.618165609825038e-13,0,0,1,1,0,0,0,0
21,29,1.7994843421897385e-09,0,0,1,0,0,0,6.0928839897659035e-08,5.1656719037062486e-08
22,28,5.5946785163438601e-13,0,0,1,1,0,0,0,0
22,29,7.5201117294753446e-10,0,0,1,0,0,0,3.1989890957569882e-08,2.4017406842219616e-08
23,28,5.5955243534686519e-13,0,0,1,1,0,0,0,0
23,29,3.6748234974431959e-10,0,0,1,0,0,0,2.141699352588607e-08,1.4014868727659442e-08
24,28,5.5955181698253446e-13,0,0,1,1,0,0,0,0
24,29,1.9548448013021369e-10,0,0,1,0,0,0,1.2173802991086693e-08,7.1064627145084116e-09
25,28,5.5841620854581898e-13,0,0,1,1,0,0,0,0
25,29,9.0173661507606308e-11,0,0,1,0,0,0,5.0916402205579823e-09,3.2774462024035839e-09
26,28,5.5938212011266848e-13,0,0,1,1,0,0,0,0
26,29,4.3307313213124025e-11,0,0,1,0,0,0,2.2044426591412328e-09,1.6328718879909819e-09
27,28,5.5943922491404677e-13,0,0,1,1,0,0,0,0
27,29,3.0246650667064041e-11,0,0,1,0,0,0,1.3077016448455399e-09,1.0263085986536361e-09
28,28,5.5950380564235543e-13,0,0,1,1,0,0,0,0
28,29,1.9599849132814916e-11,0,0,1,0,0,0,7.2417954395438778e-10,6.2747990727124738e-10
29,28,5.6003059829042864e-13,0,0,1,1,0,0,0,0
29,29,9.9806702010744218e-12,0,0,1,0,0,0,3.5132534867303969e-10,3.189200382462768e-10
30,28,5.5918302640863191e-13,0,0,1,1,0,0,0,0
30,29,5.0643150502057098e-12,0,0,1,0,0,0,1.8861055547934403e-10,1.7104804823319905e-10
31,28,5.594410963298477e-13,0,0,1,1,0,0,0,0
