repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600685,4.0535201164728845e-13,1.0000000000000018
1,1,-39.587783846039812,1.9567798668919375e-13,0.99999999999999689
1,2,-39.530151400183087,1.905999648384493e-13,0.99999999999999778
1,3,-39.530151400183072,2.8046986253721807e-13,0.99999999999999512
1,4,-39.530151400183051,2.8922815810216394e-13,1.0000000000000036
1,5,-39.412585414388623,4.4905638958377054e-13,0.9999999999999919
1,6,-39.412585414388545,1.3312615918082623e-13,0.99999999999999378
1,7,-39.402524307527742,3.5599025660092319e-14,0.99999999999999933
1,8,-39.402524307527692,3.0576120775003266e-13,0.99999999999999922
1,9,-39.402524307527663,3.5512724178100893e-14,0.99999999999999756
1,10,-39.376663783891765,2.8947935479091043e-13,0.99999999999999967
1,11,-39.376663783891715,3.8050325605677573e-13,0.99999999999999589
1,12,-39.376663783891672,3.4890056067347932e-13,0.99999999999999889
1,13,-39.367701470295536,3.1966650636807175e-13,0.99999999999999756
1,14,-39.367701470295437,2.9978307278017169e-13,1.0000000000000029
1,15,-39.364323150450083,2.7455722907259346e-13,0.99999999999999889
1,16,-39.364323150450048,2.3694418152069959e-13,0.999999999999997
1,17,-39.364323150449991,2.9640603812143426e-13,1.0000000000000007
1,18,-39.312786707793244,3.6705252215011245e-13,1.0000000000000027
1,19,-39.312786707793236,1.2099418927462711e-13,1.0000000000000033
1,20,-39.312786707793173,2.5085022914714029e-13,1.0000000000000053
1,21,-39.290219883813272,8.3762383327998539e-14,0.99999999999999412
1,22,-39.290219883813137,1.4932413221057134e-13,0.99999999999999833
1,23,-39.290219883813094,2.6545196668731768e-13,1.0000000000000049
1,24,-39.17645843952603,3.3730152585503597e-13,1.000000000000008
1,25,-39.05990213117353,3.1926963987802754e-13,1.0000000000000022
1,26,-39.059902131173438,2.2705462171820451e-13,1.0000000000000011
1,27,-39.059902131173367,4.0447369085663067e-13,0.99999999999999856
1,28,-39.023899884567186,2.4895107356440707e-13,1.0000000000000053
1,29,-39.013014208761021,3.7711146032663154e-13,1.0000000000000044
