davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.00053233269254900073,7.0403444048444184e-05,1,35,7.0403444048444184e-05,29,5.3107112481836156e-12,7.0403444048444184e-05,1.3988810110276972e-14,0,1,1,7.0403444048444184e-05,5.3107112481836156e-12,7.0403444048444184e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011203194043702069,0.00028708545473007978,0.00053233269254900181,7.0403444048444387e-05,0.00053233269254900073,7.0403444048444184e-05,1.000000000000012,3.2955394390066721e-10,3.2490459670311911e-10,0.99985667822405344,0,active,active,0,0
1,28,3.3519289815522091e-11,5.3107112481836156e-12,1,35,7.0403444048444184e-05,29,5.3107112481836156e-12,7.0403444048444184e-05,1.3988810110276972e-14,0,1,1,7.0403444048444184e-05,5.3107112481836156e-12,7.0403444048444184e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011203194043702069,0.00028708545473007978,0.00053233269254900181,7.0403444048444387e-05,0.00053233269254900073,7.0403444048444184e-05,1.000000000000012,3.2955394390066721e-10,3.2490459670311911e-10,0.99985667822405344,0,active,active,0,0
2,29,7.0403444048444184e-05,5.5499709492587035e-05,1,37,5.5499709492587035e-05,29,5.1973586087908094e-12,5.5499709492587035e-05,1.3988810110276972e-14,0,1,2,5.5499709492587035e-05,5.1973586087908094e-12,5.5499709492587035e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.01090362295512648,0.00027940884912526552,7.0403444048444387e-05,5.5499709492587278e-05,7.0403444048444184e-05,5.5499709492587035e-05,1.0000000000000127,2.5895615431542724e-11,2.6021806690993655e-11,0.99996930496447267,0,active,active,0,0
2,28,5.3107112481836156e-12,5.1973586087908094e-12,1,37,5.5499709492587035e-05,29,5.1973586087908094e-12,5.5499709492587035e-05,1.3988810110276972e-14,0,1,2,5.5499709492587035e-05,5.1973586087908094e-12,5.5499709492587035e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.01090362295512648,0.00027940884912526552,7.0403444048444387e-05,5.5499709492587278e-05,7.0403444048444184e-05,5.5499709492587035e-05,1.0000000000000127,2.5895615431542724e-11,2.6021806690993655e-11,0.99996930496447267,0,active,active,0,0
3,29,5.5499709492587035e-05,3.1949462004470246e-05,1,39,3.1949462004470246e-05,29,4.6389213552987661e-12,3.1949462004470246e-05,1.7541523789077473e-14,0,1,3,3.1949462004470246e-05,4.6389213552987661e-12,3.1949462004470246e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010892724984778113,0.00027912958512600866,5.5499709492587278e-05,3.1949462004470585e-05,5.5499709492587035e-05,3.1949462004470246e-05,1.0000000000000118,9.2355001939416101e-12,2.4217910668190634e-11,0.9999544492422171,0,active,active,0,0
3,28,5.1973586087908094e-12,4.6389213552987661e-12,1,39,3.1949462004470246e-05,29,4.6389213552987661e-12,3.1949462004470246e-05,1.7541523789077473e-14,0,1,3,3.1949462004470246e-05,4.6389213552987661e-12,3.1949462004470246e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010892724984778113,0.00027912958512600866,5.5499709492587278e-05,3.1949462004470585e-05,5.5499709492587035e-05,3.1949462004470246e-05,1.0000000000000118,9.2355001939416101e-12,2.4217910668190634e-11,0.9999544492422171,0,active,active,0,0
4,29,3.1949462004470246e-05,2.2184794991290957e-05,1,41,2.2184794991290957e-05,29,3.1121012751853749e-12,2.2184794991290957e-05,1.4210854715202004e-14,0,1,4,2.2184794991290957e-05,3.1121012751853749e-12,2.2184794991290957e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010888102000855326,0.0002790111196744146,3.1949462004470585e-05,2.2184794991291178e-05,3.1949462004470246e-05,2.2184794991290957e-05,1.0000000000000118,5.1737302948555511e-12,1.5705677442464067e-12,0.99991500588645943,0,active,active,0,0
4,28,4.6389213552987661e-12,3.1121012751853749e-12,1,41,2.2184794991290957e-05,29,3.1121012751853749e-12,2.2184794991290957e-05,1.4210854715202004e-14,0,1,4,2.2184794991290957e-05,3.1121012751853749e-12,2.2184794991290957e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010888102000855326,0.0002790111196744146,3.1949462004470585e-05,2.2184794991291178e-05,3.1949462004470246e-05,2.2184794991290957e-05,1.0000000000000118,5.1737302948555511e-12,1.5705677442464067e-12,0.99991500588645943,0,active,active,0,0
5,29,2.2184794991290957e-05,9.6460610485410042e-06,1,43,9.6460610485410042e-06,29,2.8997460215518077e-12,9.6460610485410042e-06,1.4876988529977098e-14,0,1,5,9.6460610485410042e-06,2.8997460215518077e-12,9.6460610485410042e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886338656277417,0.00027896593340181937,2.2184794991291178e-05,9.6460610485414413e-06,2.2184794991290957e-05,9.6460610485410042e-06,1.0000000000000144,1.9107742961409302e-12,3.5810732320345043e-12,0.99998557799636767,0,active,active,0,0
5,28,3.1121012751853749e-12,2.8997460215518077e-12,1,43,9.6460610485410042e-06,29,2.8997460215518077e-12,9.6460610485410042e-06,1.4876988529977098e-14,0,1,5,9.6460610485410042e-06,2.8997460215518077e-12,9.6460610485410042e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886338656277417,0.00027896593340181937,2.2184794991291178e-05,9.6460610485414413e-06,2.2184794991290957e-05,9.6460610485410042e-06,1.0000000000000144,1.9107742961409302e-12,3.5810732320345043e-12,0.99998557799636767,0,active,active,0,0
