method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,0,-40.190776252600713,5.8127354839749655e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,1,-39.587783846039727,6.7134710214566273e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,2,-39.530151400183058,6.7803677356303754e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,3,-39.530151400183023,5.0624283037781625e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,4,-39.530151400183016,6.0721295508639104e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,5,-39.412585414388523,3.7992942035709054e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,6,-39.412585414388523,4.3261383601231341e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,7,-39.402524307527784,3.8679251781237478e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,8,-39.402524307527756,3.452076895389553e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,9,-39.402524307527727,2.8124089967591177e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,10,-39.376663783891715,2.8134817962182491e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,11,-39.376663783891686,4.0462043520421275e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,12,-39.376663783891679,3.2619011880088877e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,13,-39.367701470295451,3.9467928127990614e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,14,-39.367701470295401,3.8560438858944826e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,15,-39.364323150450062,7.4188413865757128e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,16,-39.364323150450026,4.0976484546036803e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,17,-39.364323150449977,6.2678854510564577e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,18,-39.312786707793251,4.7209792522754154e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,19,-39.312786707793194,4.500298378528939e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,20,-39.312786707793144,3.5911457716328079e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,21,-39.290219883813158,4.4960654539553499e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,22,-39.290219883813144,4.5277990810589985e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,23,-39.290219883813123,3.5853523886947824e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,24,-39.176458439526037,3.0543454227867999e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,25,-39.059902131173558,2.4396373915682203e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,26,-39.059902131173473,3.5655595137017232e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,27,-39.059902131173402,5.3562150097053651e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,28,-39.023899884567093,5.803783912721497e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,29,-39.013013352780803,1.037749644449149e-05
