davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.0012740204341498797,7.0148597333324778e-05,1,38,7.0148597333324778e-05,29,2.7229997630103236e-11,7.0148597333324778e-05,1.2656542480726785e-14,0,1,1,7.0148597333324778e-05,2.7229997630103236e-11,7.0148597333324778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.012561951754562983,0.00032190405858259394,0.0012740204341499439,7.0148597333330063e-05,0.0012740204341498797,7.0148597333324778e-05,1.0000000000000113,3.7569116842529823e-08,3.7283689382751546e-08,0.99945342909859214,0,active,active,0,0
1,28,4.044771835252914e-10,2.7229997630103236e-11,1,38,7.0148597333324778e-05,29,2.7229997630103236e-11,7.0148597333324778e-05,1.2656542480726785e-14,0,1,1,7.0148597333324778e-05,2.7229997630103236e-11,7.0148597333324778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.012561951754562983,0.00032190405858259394,0.0012740204341499439,7.0148597333330063e-05,0.0012740204341498797,7.0148597333324778e-05,1.0000000000000113,3.7569116842529823e-08,3.7283689382751546e-08,0.99945342909859214,0,active,active,0,0
1,25,4.5866120787208607e-12,2.6384719569031487e-13,1,38,7.0148597333324778e-05,29,2.7229997630103236e-11,7.0148597333324778e-05,1.2656542480726785e-14,0,1,1,7.0148597333324778e-05,2.7229997630103236e-11,7.0148597333324778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.012561951754562983,0.00032190405858259394,0.0012740204341499439,7.0148597333330063e-05,0.0012740204341498797,7.0148597333324778e-05,1.0000000000000113,3.7569116842529823e-08,3.7283689382751546e-08,0.99945342909859214,0,active,active,0,0
1,26,2.0868511823921432e-12,1.4473077610276784e-13,1,38,7.0148597333324778e-05,29,2.7229997630103236e-11,7.0148597333324778e-05,1.2656542480726785e-14,0,1,1,7.0148597333324778e-05,2.7229997630103236e-11,7.0148597333324778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.012561951754562983,0.00032190405858259394,0.0012740204341499439,7.0148597333330063e-05,0.0012740204341498797,7.0148597333324778e-05,1.0000000000000113,3.7569116842529823e-08,3.7283689382751546e-08,0.99945342909859214,0,active,active,0,0
1,27,1.2777030866417242e-12,1.1873033259692563e-13,1,38,7.0148597333324778e-05,29,2.7229997630103236e-11,7.0148597333324778e-05,1.2656542480726785e-14,0,1,1,7.0148597333324778e-05,2.7229997630103236e-11,7.0148597333324778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.012561951754562983,0.00032190405858259394,0.0012740204341499439,7.0148597333330063e-05,0.0012740204341498797,7.0148597333324778e-05,1.0000000000000113,3.7569116842529823e-08,3.7283689382751546e-08,0.99945342909859214,0,active,active,0,0
2,29,7.0148597333324778e-05,2.7100135701959968e-05,1,40,2.7100135701959968e-05,29,9.3000234565439052e-12,2.7100135701959968e-05,1.2212453270876722e-14,0,1,2,2.7100135701959968e-05,9.3000234565439052e-12,2.7100135701959968e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.01089541132454741,0.00027919842344758199,7.0148597333330063e-05,2.7100135701961564e-05,7.0148597333324778e-05,2.7100135701959968e-05,1.0000000000000133,1.8175390405262474e-10,1.7836577460739943e-10,0.99999361235436779,0,active,active,0,0
2,28,2.7229997630103236e-11,9.3000234565439052e-12,1,40,2.7100135701959968e-05,29,9.3000234565439052e-12,2.7100135701959968e-05,1.2212453270876722e-14,0,1,2,2.7100135701959968e-05,9.3000234565439052e-12,2.7100135701959968e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.01089541132454741,0.00027919842344758199,7.0148597333330063e-05,2.7100135701961564e-05,7.0148597333324778e-05,2.7100135701959968e-05,1.0000000000000133,1.8175390405262474e-10,1.7836577460739943e-10,0.99999361235436779,0,active,active,0,0
3,29,2.7100135701959968e-05,2.0778597828531399e-05,1,42,2.0778597828531399e-05,29,8.6968447159100087e-12,2.0778597828531399e-05,1.4432899320127035e-14,0,1,3,2.0778597828531399e-05,8.6968447159100087e-12,2.0778597828531399e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.01088941362775131,0.00027904473053596001,2.7100135701961564e-05,2.0778597828533219e-05,2.7100135701959968e-05,2.0778597828531399e-05,1.0000000000000138,3.4633898403805557e-11,3.3564109250212479e-11,0.9999983975379183,0,active,active,0,0
3,28,9.3000234565439052e-12,8.6968447159100087e-12,1,42,2.0778597828531399e-05,29,8.6968447159100087e-12,2.0778597828531399e-05,1.4432899320127035e-14,0,1,3,2.0778597828531399e-05,8.6968447159100087e-12,2.0778597828531399e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.01088941362775131,0.00027904473053596001,2.7100135701961564e-05,2.0778597828533219e-05,2.7100135701959968e-05,2.0778597828531399e-05,1.0000000000000138,3.4633898403805557e-11,3.3564109250212479e-11,0.9999983975379183,0,active,active,0,0
4,29,2.0778597828531399e-05,1.6493106689868511e-05,1,44,1.6493106689868511e-05,29,7.8106788382630738e-12,1.6493106689868511e-05,1.6320278461989801e-14,0,1,4,1.6493106689868511e-05,7.8106788382630738e-12,1.6493106689868511e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.01088794830553752,0.00027900718118240681,2.0778597828533219e-05,1.6493106689870361e-05,2.0778597828531399e-05,1.6493106689868511e-05,1.0000000000000155,2.521401850490613e-11,2.4538918846296875e-11,0.99999829416198049,0,active,active,0,0
4,28,8.6968447159100087e-12,7.8106788382630738e-12,1,44,1.6493106689868511e-05,29,7.8106788382630738e-12,1.6493106689868511e-05,1.6320278461989801e-14,0,1,4,1.6493106689868511e-05,7.8106788382630738e-12,1.6493106689868511e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.01088794830553752,0.00027900718118240681,2.0778597828533219e-05,1.6493106689870361e-05,2.0778597828531399e-05,1.6493106689868511e-05,1.0000000000000155,2.521401850490613e-11,2.4538918846296875e-11,0.99999829416198049,0,active,active,0,0
5,29,1.6493106689868511e-05,1.3482688418456778e-05,1,46,1.3482688418456778e-05,29,7.1580776904215777e-12,1.3482688418456778e-05,1.5876189252139739e-14,0,1,5,1.3482688418456778e-05,7.1580776904215777e-12,1.3482688418456778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886890670825267,0.00027898007895235368,1.6493106689870361e-05,1.3482688418458678e-05,1.6493106689868511e-05,1.3482688418456778e-05,1.0000000000000135,1.8427633676732083e-11,1.6360386915694669e-11,0.99999822795629167,0,active,active,0,0
5,28,7.8106788382630738e-12,7.1580776904215777e-12,1,46,1.3482688418456778e-05,29,7.1580776904215777e-12,1.3482688418456778e-05,1.5876189252139739e-14,0,1,5,1.3482688418456778e-05,7.1580776904215777e-12,1.3482688418456778e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886890670825267,0.00027898007895235368,1.6493106689870361e-05,1.3482688418458678e-05,1.6493106689868511e-05,1.3482688418456778e-05,1.0000000000000135,1.8427633676732083e-11,1.6360386915694669e-11,0.99999822795629167,0,active,active,0,0
6,29,1.3482688418456778e-05,9.6812020268028603e-06,1,48,9.6812020268028603e-06,29,5.0623402250645364e-12,9.6812020268028603e-06,1.7097434579227411e-14,0,1,6,9.6812020268028603e-06,5.0623402250645364e-12,9.6812020268028603e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,6,0,12,0,0.010886288847707704,0.00027896465704118267,1.3482688418458678e-05,9.6812020268041833e-06,1.3482688418456778e-05,9.6812020268028603e-06,1.000000000000014,1.3232862391504381e-11,1.1704689344863674e-11,0.99999873184339205,0,active,active,0,0
6,28,7.1580776904215777e-12,5.0623402250645364e-12,1,48,9.6812020268028603e-06,29,5.0623402250645364e-12,9.6812020268028603e-06,1.7097434579227411e-14,0,1,6,9.6812020268028603e-06,5.0623402250645364e-12,9.6812020268028603e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,6,0,12,0,0.010886288847707704,0.00027896465704118267,1.3482688418458678e-05,9.6812020268041833e-06,1.3482688418456778e-05,9.6812020268028603e-06,1.000000000000014,1.3232862391504381e-11,1.1704689344863674e-11,0.99999873184339205,0,active,active,0,0
7,29,9.6812020268028603e-06,6.2654844250109252e-06,1,50,6.2654844250109252e-06,29,3.6604544607595146e-12,6.2654844250109252e-06,1.0880185641326534e-14,0,1,7,6.2654844250109252e-06,3.6604544607595146e-12,6.2654844250109252e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,7,0,12,0,0.01088596736923364,0.00027895641905177024,9.6812020268041833e-06,6.2654844250119941e-06,9.6812020268028603e-06,6.2654844250109252e-06,1.0000000000000151,3.8462417011614676e-12,2.7195067995767309e-12,0.99999884554047747,0,active,active,0,0
7,28,5.0623402250645364e-12,3.6604544607595146e-12,1,50,6.2654844250109252e-06,29,3.6604544607595146e-12,6.2654844250109252e-06,1.0880185641326534e-14,0,1,7,6.2654844250109252e-06,3.6604544607595146e-12,6.2654844250109252e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,7,0,12,0,0.01088596736923364,0.00027895641905177024,9.6812020268041833e-06,6.2654844250119941e-06,9.6812020268028603e-06,6.2654844250109252e-06,1.0000000000000151,3.8462417011614676e-12,2.7195067995767309e-12,0.99999884554047747,0,active,active,0,0
8,29,6.2654844250109252e-06,4.2139283622520988e-06,1,52,4.2139283622520988e-06,29,2.6153504094099582e-12,4.2139283622520988e-06,1.3988810110276972e-14,0,1,8,4.2139283622520988e-06,2.6153504094099582e-12,4.2139283622520988e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,8,0,12,0,0.010885800097014453,0.00027895213264729328,6.2654844250119941e-06,4.2139283622529102e-06,6.2654844250109252e-06,4.2139283622520988e-06,1.0000000000000133,3.5319590786271616e-12,3.2885147144784036e-12,0.99999971347476946,0,active,active,0,0
8,28,3.6604544607595146e-12,2.6153504094099582e-12,1,52,4.2139283622520988e-06,29,2.6153504094099582e-12,4.2139283622520988e-06,1.3988810110276972e-14,0,1,8,4.2139283622520988e-06,2.6153504094099582e-12,4.2139283622520988e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,8,0,12,0,0.010885800097014453,0.00027895213264729328,6.2654844250119941e-06,4.2139283622529102e-06,6.2654844250109252e-06,4.2139283622520988e-06,1.0000000000000133,3.5319590786271616e-12,3.2885147144784036e-12,0.99999971347476946,0,active,active,0,0
9,29,4.2139283622520988e-06,2.9050616382515784e-06,1,54,2.9050616382515784e-06,29,1.8439806559754554e-12,2.9050616382515784e-06,1.5099033134902129e-14,0,1,9,2.9050616382515784e-06,1.8439806559754554e-12,2.9050616382515784e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,9,0,12,0,0.010885734466810959,0.00027895045085219632,4.2139283622529102e-06,2.9050616382521637e-06,4.2139283622520988e-06,2.9050616382515784e-06,1.0000000000000133,9.4533480451647432e-13,6.0666097364730577e-13,0.99999951977341284,0,active,active,0,0
9,28,2.6153504094099582e-12,1.8439806559754554e-12,1,54,2.9050616382515784e-06,29,1.8439806559754554e-12,2.9050616382515784e-06,1.5099033134902129e-14,0,1,9,2.9050616382515784e-06,1.8439806559754554e-12,2.9050616382515784e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,9,0,12,0,0.010885734466810959,0.00027895045085219632,4.2139283622529102e-06,2.9050616382521637e-06,4.2139283622520988e-06,2.9050616382515784e-06,1.0000000000000133,9.4533480451647432e-13,6.0666097364730577e-13,0.99999951977341284,0,active,active,0,0
10,29,2.9050616382515784e-06,2.0323322144598429e-06,1,56,2.0323322144598429e-06,29,1.3430137810719321e-12,2.0323322144598429e-06,1.5765166949677223e-14,0,1,10,2.0323322144598429e-06,1.3430137810719321e-12,2.0323322144598429e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,10,0,12,0,0.010885701835604777,0.00027894961466703078,2.9050616382521637e-06,2.0323322144602868e-06,2.9050616382515784e-06,2.0323322144598429e-06,1.0000000000000191,1.2831795173410153e-12,1.172030128029212e-12,0.99999982096229467,0,active,active,0,0
10,28,1.8439806559754554e-12,1.3430137810719321e-12,1,56,2.0323322144598429e-06,29,1.3430137810719321e-12,2.0323322144598429e-06,1.5765166949677223e-14,0,1,10,2.0323322144598429e-06,1.3430137810719321e-12,2.0323322144598429e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,10,0,12,0,0.010885701835604777,0.00027894961466703078,2.9050616382521637e-06,2.0323322144602868e-06,2.9050616382515784e-06,2.0323322144598429e-06,1.0000000000000191,1.2831795173410153e-12,1.172030128029212e-12,0.99999982096229467,0,active,active,0,0
