davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.0012740204341498797,0,0,1,0,0,0,0.065945919879571158,0.065438814463965295
1,28,4.044771835252914e-10,0,0,1,0,0,0,2.0830198645360572e-08,1.2882792723918714e-08
1,25,4.5866120787208607e-12,0,0,1,0,0,0,2.2630026125888445e-10,2.4688486541017207e-11
1,26,2.0868511823921432e-12,0,0,1,0,0,0,1.0317792881705215e-10,1.6625789323922174e-11
1,27,1.2777030866417242e-12,0,0,1,0,0,0,5.8415657246413056e-11,1.5803770498769041e-11
2,29,7.0148597333324778e-05,0,0,1,0,0,0,0.0076008679674632517,0.006630254130078882
2,28,2.7229997630103236e-11,0,0,1,0,0,0,3.1731302028474926e-09,1.050095529178179e-09
3,29,2.7100135701959968e-05,0,0,1,0,0,0,0.0022197788785139959,0.0015883339177541929
3,28,9.3000234565439052e-12,0,0,1,0,0,0,7.2320566690515644e-10,3.4843282911544686e-10
4,29,2.0778597828531399e-05,0,0,1,0,0,0,0.0016213906583903001,0.0012489325539796036
4,28,8.6968447159100087e-12,0,0,1,0,0,0,3.9837160996106262e-10,2.7997394366863084e-10
5,29,1.6493106689868511e-05,0,0,1,0,0,0,0.0012198082974654823,0.00096546776125104919
5,28,7.8106788382630738e-12,0,0,1,0,0,0,5.0218547356336781e-10,2.4653195154377113e-10
6,29,1.3482688418456778e-05,0,0,1,0,0,0,0.00079551697520927858,0.00060716255175292868
6,28,7.1580776904215777e-12,0,0,1,0,0,0,3.1301537966615116e-10,1.9841187079744618e-10
7,29,9.6812020268028603e-06,0,0,1,0,0,0,0.00037853943495002543,0.0003328421894976723
7,28,5.0623402250645364e-12,0,0,1,0,0,0,3.2987871606497588e-10,2.2609541415171576e-10
8,29,6.2654844250109252e-06,0,0,1,0,0,0,0.00027655264239368491,0.00022133616364104503
8,28,3.6604544607595146e-12,0,0,1,0,0,0,2.3115585010318569e-10,1.0962952032304488e-10
9,29,4.2139283622520988e-06,0,0,1,0,0,0,0.00017218913365492057,0.00014227766561373156
9,28,2.6153504094099582e-12,0,0,1,0,0,0,1.5132072868331171e-10,7.3237860719744652e-11
10,29,2.9050616382515784e-06,0,0,1,0,0,0,0.00011528633233215017,9.1652007694033652e-05
10,28,1.8439806559754554e-12,0,0,1,0,0,0,7.4159021449132205e-11,4.5568614331820949e-11
11,29,2.0323322144598429e-06,0,0,1,0,0,0,8.2645129648562928e-05,6.5497885772284201e-05
11,28,1.3430137810719321e-12,0,0,1,0,0,0,5.2327275094111497e-11,3.3358310496453087e-11
12,28,7.4356071962485621e-13,0,0,1,1,0,0,0,0
12,29,1.4405154861800909e-06,0,0,1,0,0,0,6.0618126638185847e-05,4.7006461894668825e-05
13,28,5.8868296509603059e-13,0,0,1,1,0,0,0,0
13,29,7.3208512627928856e-07,0,0,1,0,0,0,3.9595011146610418e-05,2.600698537418315e-05
14,28,5.4108917052855564e-13,0,0,1,1,0,0,0,0
14,29,3.8300367540445894e-07,0,0,1,0,0,0,2.5835564904977199e-05,1.5086174975127255e-05
15,28,5.3580074449917393e-13,0,0,1,1,0,0,0,0
15,29,2.1266306981889143e-07,0,0,1,0,0,0,1.166091863878986e-05,7.6622188271992898e-06
16,28,5.3667249201654518e-13,0,0,1,1,0,0,0,0
16,29,1.367967017769063e-07,0,0,1,0,0,0,6.4702101418807022e-06,4.7673101223358716e-06
17,28,5.3607107018638153e-13,0,0,1,1,0,0,0,0
17,29,9.4306455270531584e-08,0,0,1,0,0,0,3.9731371270510225e-06,3.0915128320368069e-06
18,28,5.3583457124515474e-13,0,0,1,1,0,0,0,0
18,29,5.3783924311285445e-08,0,0,1,0,0,0,2.2677904949580152e-06,1.7700496444812347e-06
19,28,5.3550542461616931e-13,0,0,1,1,0,0,0,0
19,29,2.6502701504374722e-08,0,0,1,0,0,0,1.4988647728295846e-06,1.0227516938123514e-06
20,28,5.3534965639607608e-13,0,0,1,1,0,0,0,0
20,29,1.4159892277477559e-08,0,0,1,0,0,0,1.0219670554592087e-06,6.2101348042404084e-07
21,28,5.3574590578419874e-13,0,0,1,1,0,0,0,0
21,29,9.263906086044885e-09,0,0,1,0,0,0,5.562640020775872e-07,3.4848639867981358e-07
22,28,5.3531444163175151e-13,0,0,1,1,0,0,0,0
22,29,5.2063569253219739e-09,0,0,1,0,0,0,2.041203908296348e-07,1.6372608753677681e-07
23,28,5.3319678129581386e-13,0,0,1,1,0,0,0,0
23,29,2.7567984636842426e-09,0,0,1,0,0,0,1.0746650577101892e-07,9.3898320079402755e-08
24,28,5.268231755088543e-13,0,0,1,1,0,0,0,0
24,29,1.6914038122009278e-09,0,0,1,0,0,0,6.2603483650936892e-08,5.582758831919891e-08
25,28,5.227710975434173e-13,0,0,1,1,0,0,0,0
25,29,9.7084801239084008e-10,0,0,1,0,0,0,3.5147054181038894e-08,3.0981732109339089e-08
26,28,5.2013692176637063e-13,0,0,1,1,0,0,0,0
26,29,5.2738526260500294e-10,0,0,1,0,0,0,2.1386086127076483e-08,1.7123538681630438e-08
27,28,5.1981011397182184e-13,0,0,1,1,0,0,0,0
27,29,2.5780989221811473e-10,0,0,1,0,0,0,1.358044167752995e-08,9.3959341554111839e-09
28,28,5.1999506191943319e-13,0,0,1,1,0,0,0,0
28,29,1.5716814519246274e-10,0,0,1,0,0,0,1.1436910541799656e-08,6.5706248382596197e-09
29,28,5.1723200350622147e-13,0,0,1,1,0,0,0,0
29,29,1.0741415253285683e-10,0,0,1,0,0,0,6.6218629639847876e-09,3.8486411560173378e-09
30,28,5.1609536545946981e-13,0,0,1,1,0,0,0,0
30,29,7.3089436097558625e-11,0,0,1,0,0,0,3.484839064774913e-09,2.4003424941559148e-09
31,28,5.1606999347594012e-13,0,0,1,1,0,0,0,0
31,29,4.5495192460408588e-11,0,0,1,0,0,0,1.6339867284504837e-09,1.346864377362731e-09
32,28,5.0862320651498046e-13,0,0,1,1,0,0,0,0
32,29,1.9669559097959051e-11,0,0,1,0,0,0,6.8370008323334445e-10,6.1341500853602932e-10
33,28,5.0369244031245956e-13,0,0,1,1,0,0,0,0
33,29,9.4309101502411655e-12,0,0,1,0,0,0,3.2737753902373157e-10,2.9065976161980164e-10
34,28,5.0224996864189509e-13,0,0,1,1,0,0,0,0
34,29,4.4429892004482299e-12,0,0,1,0,0,0,1.5636950649456566e-10,1.4039442922399633e-10
35,28,5.0257820268903658e-13,0,0,1,1,0,0,0,0
35,29,2.0649068427376952e-12,0,0,1,0,0,0,7.4072532547987559e-11,6.5353888558748879e-11
36,28,5.0260260774047525e-13,0,0,1,1,0,0,0,0
36,29,1.030107615578393e-12,0,0,1,0,0,0,3.9306080422357694e-11,3.4481961175831632e-11
37,29,6.7492669123796561e-13,1,0,0,1,0,0,0,0
37,28,5.0200973438986618e-13,1,0,0,1,0,0,0,0
37,24,4.1686322795131959e-13,1,0,0,1,0,0,0,0
37,25,6.6194553491622585e-14,1,0,0,1,0,0,0,0
37,1,6.4166747152955174e-14,1,0,0,1,0,0,0,0
37,27,5.8209530269232921e-14,1,0,0,1,0,0,0,0
37,20,5.7540370533518138e-14,1,0,0,1,0,0,0,0
37,22,5.5318979671612413e-14,1,0,0,1,0,0,0,0
37,7,5.3656302423180998e-14,1,0,0,1,0,0,0,0
37,5,5.0778119057530026e-14,1,0,0,1,0,0,0,0
37,23,4.8128677556783912e-14,1,0,0,1,0,0,0,0
37,9,4.6973156157331271e-14,1,0,0,1,0,0,0,0
37,17,4.014700769013827e-14,1,0,0,1,0,0,0,0
37,18,3.987173101168478e-14,1,0,0,1,0,0,0,0
37,21,3.7985480198365743e-14,1,0,0,1,0,0,0,0
37,8,3.7932743365165607e-14,1,0,0,1,0,0,0,0
37,26,3.752003857823043e-14,1,0,0,1,0,0,0,0
37,14,3.3101958877780581e-14,1,0,0,1,0,0,0,0
37,6,3.2785385622763316e-14,1,0,0,1,0,0,0,0
37,15,3.1207572296649965e-14,1,0,0,1,0,0,0,0
37,11,2.9583403086349458e-14,1,0,0,1,0,0,0,0
37,13,2.8419773440653511e-14,1,0,0,1,0,0,0,0
37,2,2.755381858514875e-14,1,0,0,1,0,0,0,0
37,4,2.4913626208183765e-14,1,0,0,1,0,0,0,0
