method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,0,-40.190776252600649,1.9317312597943665e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,1,-39.587783846039741,6.4166747152955174e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,2,-39.530151400183044,2.755381858514875e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,3,-39.530151400183023,1.0966992674458583e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,4,-39.530151400182973,2.4913626208183765e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,5,-39.41258541438858,5.0778119057530026e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,6,-39.412585414388531,3.2785385622763316e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,7,-39.402524307527727,5.3656302423180998e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,8,-39.40252430752772,3.7932743365165607e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,9,-39.402524307527678,4.6973156157331271e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,10,-39.376663783891743,2.0155248615317899e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,11,-39.376663783891708,2.9583403086349458e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,12,-39.376663783891615,2.2078634281917941e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,13,-39.367701470295472,2.8419773440653511e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,14,-39.367701470295444,3.3101958877780581e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,15,-39.364323150450083,3.1207572296649965e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,16,-39.364323150450062,1.9829753450535366e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,17,-39.364323150449977,4.014700769013827e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,18,-39.312786707793371,3.987173101168478e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,19,-39.312786707793215,1.4804395972073896e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,20,-39.312786707793173,5.7540370533518138e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,21,-39.290219883813151,3.7985480198365743e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,22,-39.290219883813151,5.5318979671612413e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,23,-39.290219883813144,4.8128677556783912e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,24,-39.176458439526073,4.1686322795131959e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,25,-39.059902131173629,6.6194553491622585e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,26,-39.059902131173558,3.752003857823043e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,27,-39.059902131173487,5.8209530269232921e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,28,-39.023899884567136,5.0200973438986618e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,83,30,29,-39.013014208761042,6.7492669123796561e-13
