davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00095211006702717715,0,0,1,0,0,0,0.051904983859202836,0.051599115235928979
1,28,9.476759579764516e-11,0,0,1,0,0,0,4.9859776963671124e-09,3.4592278758086799e-09
2,29,3.884849637544581e-05,0,0,1,0,0,0,0.0061696342451809322,0.0053370393963192786
2,28,9.5899506090916131e-12,0,0,1,0,0,0,8.2751878683839828e-10,5.2937766322284715e-10
3,29,1.4960024960990031e-05,0,0,1,0,0,0,0.00089759986996258375,0.00058775304600109171
3,28,1.0098252898696269e-11,0,0,1,0,0,0,8.4392611482312166e-10,6.1881748307517481e-10
4,29,7.4986845570179923e-06,0,0,1,0,0,0,0.00030265569623872339,0.00027524373508814156
4,28,1.2352540289161623e-11,0,0,1,0,0,0,7.9715145687577695e-10,5.7846679295876181e-10
5,29,4.3614863002464412e-06,0,0,1,0,0,0,0.00019942264827118553,0.00018082788856849843
5,28,1.374390078993329e-11,0,0,1,0,0,0,7.5150375008400525e-10,5.7443792154663757e-10
6,29,3.2231153447721123e-06,0,0,1,0,0,0,0.00021592192586369921,0.00016078475107555128
6,28,9.2020537300319902e-12,0,0,1,0,0,0,6.9501122281574216e-10,4.0742655870854063e-10
7,29,2.5420571831902017e-06,0,0,1,0,0,0,0.0002047559224870251,0.00012317494470301556
7,28,5.5684512808761482e-12,0,0,1,0,0,0,4.5629628400371964e-10,2.5850219544518317e-10
8,29,2.4261769193748963e-06,0,0,1,0,0,0,0.00017340399645371065,0.00010399690112468824
8,28,4.0962034203398105e-12,0,0,1,0,0,0,2.1447477806208008e-10,1.2207913568189335e-10
9,29,2.317437677182712e-06,0,0,1,0,0,0,0.00011254517810085346,7.8893458405659221e-05
9,28,2.943986455077213e-12,0,0,1,0,0,0,1.2918356253844822e-10,9.2814150651369556e-11
10,29,1.697574870335489e-06,0,0,1,0,0,0,5.9584724321018058e-05,4.85997069992448e-05
10,28,1.7189093378938028e-12,0,0,1,0,0,0,6.395348747985294e-11,5.4974902764323873e-11
11,28,8.8683682399445076e-13,0,0,1,1,0,0,0,0
11,29,9.8347937353255885e-07,0,0,1,0,0,0,3.5948255694793344e-05,3.1417383989033212e-05
12,28,8.8461203610119989e-13,0,0,1,1,0,0,0,0
12,29,5.9946055881078026e-07,0,0,1,0,0,0,2.4251956277052995e-05,2.1629262646585967e-05
13,28,8.7088294255749879e-13,0,0,1,1,0,0,0,0
13,29,4.7408500585649512e-07,0,0,1,0,0,0,1.7798450544013177e-05,1.5572441616366688e-05
14,28,8.411365973297024e-13,0,0,1,1,0,0,0,0
14,29,3.2604165531364142e-07,0,0,1,0,0,0,1.1133220428618028e-05,9.3358384259035025e-06
15,28,8.3016467401450633e-13,0,0,1,1,0,0,0,0
15,29,1.493573208895567e-07,0,0,1,0,0,0,5.5158949560864481e-06,4.5500533316012935e-06
16,28,8.2792367272539829e-13,0,0,1,1,0,0,0,0
16,29,6.6426052899755566e-08,0,0,1,0,0,0,2.5555712908833977e-06,2.1893007811129037e-06
17,28,8.263916588360343e-13,0,0,1,1,0,0,0,0
17,29,3.0495544802468331e-08,0,0,1,0,0,0,1.2279897420399041e-06,9.45926232575543e-07
18,28,8.2713683252280199e-13,0,0,1,1,0,0,0,0
18,29,1.338019913878521e-08,0,0,1,0,0,0,7.8991653076409644e-07,5.2159512920875511e-07
19,28,8.2887653313343302e-13,0,0,1,1,0,0,0,0
19,29,7.1090826989843546e-09,0,0,1,0,0,0,5.1408127738716397e-07,3.0035101517833272e-07
20,28,8.3092114200230773e-13,0,0,1,1,0,0,0,0
20,29,4.65703758583127e-09,0,0,1,0,0,0,2.5117829333173183e-07,1.697551030274948e-07
21,28,8.2569107073104728e-13,0,0,1,1,0,0,0,0
21,29,3.0926548901901417e-09,0,0,1,0,0,0,1.3168930024553591e-07,1.0602467563527239e-07
22,28,8.2894302145933985e-13,0,0,1,1,0,0,0,0
22,29,2.1052354826664363e-09,0,0,1,0,0,0,8.2943967533328e-08,6.8915567008032477e-08
23,28,8.3376742401362228e-13,0,0,1,1,0,0,0,0
23,29,1.2959066082293408e-09,0,0,1,0,0,0,4.8582453945691732e-08,3.9303005661943202e-08
24,28,8.2324062399237576e-13,0,0,1,1,0,0,0,0
24,29,6.3198798256834566e-10,0,0,1,0,0,0,2.6415953330075056e-08,2.0198024702180355e-08
25,28,8.1465346913806398e-13,0,0,1,1,0,0,0,0
25,29,2.9782251470002739e-10,0,0,1,0,0,0,1.5849564300277927e-08,1.0640986392976563e-08
26,28,8.1478794042519542e-13,0,0,1,1,0,0,0,0
26,29,1.5907964304933446e-10,0,0,1,0,0,0,1.1853612993775882e-08,7.2067274943187734e-09
27,28,8.1929874863041715e-13,0,0,1,1,0,0,0,0
27,29,1.1992918863745047e-10,0,0,1,0,0,0,6.6083260848467337e-09,4.2017280579760778e-09
28,28,8.1571774186682609e-13,0,0,1,1,0,0,0,0
28,29,7.9536010497318408e-11,0,0,1,0,0,0,3.224336635902768e-09,2.5149710049166432e-09
29,28,8.1560203862449615e-13,0,0,1,1,0,0,0,0
29,29,4.6093509641942286e-11,0,0,1,0,0,0,1.5960681965763529e-09,1.3972495601551233e-09
30,28,8.1432064609583774e-13,0,0,1,1,0,0,0,0
30,29,2.4295030831222045e-11,0,0,1,0,0,0,8.620315474664819e-10,7.5511168077328228e-10
31,28,8.1354447369747028e-13,0,0,1,1,0,0,0,0
31,29,1.2392204201316395e-11,0,0,1,0,0,0,4.5616792778857768e-10,4.0613629250151496e-10
32,28,8.1370100935783341e-13,0,0,1,1,0,0,0,0
32,29,6.7640925346264622e-12,0,0,1,0,0,0,2.4841933717104961e-10,2.077812835328666e-10
33,28,8.1236950844620261e-13,0,0,1,1,0,0,0,0
33,29,3.1972870756191394e-12,0,0,1,0,0,0,1.2325851283320227e-10,1.0030442051284842e-10
34,28,8.1292025724490701e-13,0,0,1,1,0,0,0,0
34,29,1.5090881498313678e-12,0,0,1,0,0,0,9.3235216158517322e-11,5.9300917340459447e-11
35,29,8.873196138788309e-13,1,0,0,1,0,0,0,0
35,28,8.0801110649137229e-13,1,0,0,1,0,0,0,0
35,24,4.9589557621884034e-14,1,0,0,1,0,0,0,0
35,26,2.1156796030358568e-14,1,0,0,1,0,0,0,0
35,14,1.8051064561983777e-14,1,0,0,1,0,0,0,0
35,21,1.5846682275684556e-14,1,0,0,1,0,0,0,0
35,8,1.4481962062171963e-14,1,0,0,1,0,0,0,0
35,1,1.0920085601553932e-14,1,0,0,1,0,0,0,0
35,25,1.0472631045207036e-14,1,0,0,1,0,0,0,0
35,13,9.5072985915962071e-15,1,0,0,1,0,0,0,0
35,5,9.3583226899063177e-15,1,0,0,1,0,0,0,0
35,9,8.9429256872873546e-15,1,0,0,1,0,0,0,0
35,11,8.6409615489824187e-15,1,0,0,1,0,0,0,0
35,7,8.2969733280449256e-15,1,0,0,1,0,0,0,0
35,18,7.5077313587409362e-15,1,0,0,1,0,0,0,0
35,27,7.2806578927846299e-15,1,0,0,1,0,0,0,0
35,6,6.6085030800631257e-15,1,0,0,1,0,0,0,0
35,22,6.468375410578286e-15,1,0,0,1,0,0,0,0
35,23,6.1998468982704214e-15,1,0,0,1,0,0,0,0
35,12,5.6080100808566692e-15,1,0,0,1,0,0,0,0
35,10,4.2173640169952789e-15,1,0,0,1,0,0,0,0
35,4,4.0920632954892601e-15,1,0,0,1,0,0,0,0
35,16,3.9901030049743598e-15,1,0,0,1,0,0,0,0
35,20,3.8098206321142544e-15,1,0,0,1,0,0,0,0
35,15,3.6789860643514185e-15,1,0,0,1,0,0,0,0
35,3,3.5736386061849185e-15,1,0,0,1,0,0,0,0
35,2,3.4932215655579831e-15,1,0,0,1,0,0,0,0
35,17,3.291665260811215e-15,1,0,0,1,0,0,0,0
35,19,3.1814008837376331e-15,1,0,0,1,0,0,0,0
35,0,1.7667141547558421e-15,1,0,0,1,0,0,0,0
