davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.00099130391627628642,7.9796920334809765e-05,1,35,7.9796920334809765e-05,29,4.7071169849172014e-12,7.9796920334809765e-05,1.865174681370263e-14,0,1,1,7.9796920334809765e-05,4.7071169849172014e-12,7.9796920334809765e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011961766736916957,0.00030652412424949559,0.00099130391627628663,7.9796920334809901e-05,0.00099130391627628642,7.9796920334809765e-05,1.0000000000000169,2.8281299295739921e-10,2.8104809771297117e-10,0.99962672624642468,0,active,active,0,0
1,28,2.0995570548435691e-11,4.7071169849172014e-12,1,35,7.9796920334809765e-05,29,4.7071169849172014e-12,7.9796920334809765e-05,1.865174681370263e-14,0,1,1,7.9796920334809765e-05,4.7071169849172014e-12,7.9796920334809765e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011961766736916957,0.00030652412424949559,0.00099130391627628663,7.9796920334809901e-05,0.00099130391627628642,7.9796920334809765e-05,1.0000000000000169,2.8281299295739921e-10,2.8104809771297117e-10,0.99962672624642468,0,active,active,0,0
2,29,7.9796920334809765e-05,3.2584972366166106e-05,1,37,3.2584972366166106e-05,29,2.0832322962122623e-12,3.2584972366166106e-05,1.6653345369377348e-14,0,1,2,3.2584972366166106e-05,2.0832322962122623e-12,3.2584972366166106e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010897356433801519,0.0002792482674985306,7.9796920334809901e-05,3.2584972366166174e-05,7.9796920334809765e-05,3.2584972366166106e-05,1.0000000000000178,3.2918691272518264e-12,3.0250008799003515e-12,0.99998708745071574,0,active,active,0,0
2,28,4.7071169849172014e-12,2.0832322962122623e-12,1,37,3.2584972366166106e-05,29,2.0832322962122623e-12,3.2584972366166106e-05,1.6653345369377348e-14,0,1,2,3.2584972366166106e-05,2.0832322962122623e-12,3.2584972366166106e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010897356433801519,0.0002792482674985306,7.9796920334809901e-05,3.2584972366166174e-05,7.9796920334809765e-05,3.2584972366166106e-05,1.0000000000000178,3.2918691272518264e-12,3.0250008799003515e-12,0.99998708745071574,0,active,active,0,0
3,29,3.2584972366166106e-05,1.5065645127515814e-05,1,39,1.5065645127515814e-05,29,3.7998682590563706e-12,1.5065645127515814e-05,1.7985612998927536e-14,0,1,3,1.5065645127515814e-05,2.0832322962122623e-12,1.5065645127515814e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010887384373411635,0.00027899273024009733,3.2584972366166174e-05,1.5065645127516294e-05,3.2584972366166106e-05,1.5065645127515814e-05,1.0000000000000158,2.1136530339997199e-12,1.9357992415501621e-12,0.99999887972831358,0,active,active,0,0
3,28,2.0832322962122623e-12,3.7998682590563706e-12,1,39,1.5065645127515814e-05,29,3.7998682590563706e-12,1.5065645127515814e-05,1.7985612998927536e-14,0,1,3,1.5065645127515814e-05,2.0832322962122623e-12,1.5065645127515814e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010887384373411635,0.00027899273024009733,3.2584972366166174e-05,1.5065645127516294e-05,3.2584972366166106e-05,1.5065645127515814e-05,1.0000000000000158,2.1136530339997199e-12,1.9357992415501621e-12,0.99999887972831358,0,active,active,0,0
4,29,1.5065645127515814e-05,8.9074269417058332e-06,1,41,8.9074269417058332e-06,29,3.7675621467687896e-12,8.9074269417058332e-06,1.6431300764452317e-14,0,1,4,8.9074269417058332e-06,2.0832322962122623e-12,8.9074269417058332e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010886196098560674,0.00027896228031442429,1.5065645127516294e-05,8.9074269417066295e-06,1.5065645127515814e-05,8.9074269417058332e-06,1.0000000000000153,2.1105987292812449e-12,1.6978213395503991e-12,0.99999955984558397,0,active,active,0,0
4,28,3.7998682590563706e-12,3.7675621467687896e-12,1,41,8.9074269417058332e-06,29,3.7675621467687896e-12,8.9074269417058332e-06,1.6431300764452317e-14,0,1,4,8.9074269417058332e-06,2.0832322962122623e-12,8.9074269417058332e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010886196098560674,0.00027896228031442429,1.5065645127516294e-05,8.9074269417066295e-06,1.5065645127515814e-05,8.9074269417058332e-06,1.0000000000000153,2.1105987292812449e-12,1.6978213395503991e-12,0.99999955984558397,0,active,active,0,0
5,29,8.9074269417058332e-06,6.5327986372304899e-06,1,43,6.5327986372304899e-06,29,2.7217036807073246e-12,6.5327986372304899e-06,1.7097434579227411e-14,0,1,5,6.5327986372304899e-06,2.0832322962122623e-12,6.5327986372304899e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010885930625221363,0.00027895547747462359,8.9074269417066295e-06,6.5327986372310566e-06,8.9074269417058332e-06,6.5327986372304899e-06,1.0000000000000155,3.685133124266529e-12,2.7747304268905884e-12,0.99999911850837897,0,active,active,0,0
5,28,3.7675621467687896e-12,2.7217036807073246e-12,1,43,6.5327986372304899e-06,29,2.7217036807073246e-12,6.5327986372304899e-06,1.7097434579227411e-14,0,1,5,6.5327986372304899e-06,2.0832322962122623e-12,6.5327986372304899e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010885930625221363,0.00027895547747462359,8.9074269417066295e-06,6.5327986372310566e-06,8.9074269417058332e-06,6.5327986372304899e-06,1.0000000000000155,3.685133124266529e-12,2.7747304268905884e-12,0.99999911850837897,0,active,active,0,0
