method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,0,-40.190776252600656,1.6563209507112416e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,1,-39.587783846039748,4.9214331867997004e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,2,-39.530151400183016,1.695370780831156e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,3,-39.53015140018298,1.8489628696666851e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,4,-39.530151400182973,2.2882432806651581e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,5,-39.412585414388587,4.7580617015134303e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,6,-39.412585414388495,2.7733688953071748e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,7,-39.402524307527734,1.6340294557279077e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,8,-39.402524307527727,2.5975453721101179e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,9,-39.402524307527699,2.497495844855686e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,10,-39.376663783891644,2.1784856914146115e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,11,-39.376663783891622,4.9244906352115998e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,12,-39.376663783891622,2.0492924105694784e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,13,-39.367701470295486,3.2172188928488687e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,14,-39.367701470295422,4.5832557142030606e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,15,-39.364323150450119,1.648830603359822e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,16,-39.364323150450083,2.1801605924991429e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,17,-39.364323150449948,1.7109093786176369e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,18,-39.312786707793336,2.1659837785774494e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,19,-39.312786707793308,1.7311150086085477e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,20,-39.312786707793187,2.1191420363413757e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,21,-39.290219883813165,3.5997290926604514e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,22,-39.290219883813151,2.3294183339410593e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,23,-39.29021988381313,5.2380418442324117e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,24,-39.176458439526044,2.191950726900814e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,25,-39.05990213117348,8.2288653649864805e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,26,-39.059902131173459,6.6625509961224018e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,27,-39.059902131173395,9.1984061861284821e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,28,-39.023899884567157,5.536975356609449e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,29,-39.013014208760865,5.1326829791611476e-13
