repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600671,4.0535893898990747e-13,1.0000000000000016
1,1,-39.58778384603977,1.7693152637955226e-13,0.99999999999999722
1,2,-39.530151400183094,2.1039717338729384e-13,1.0000000000000049
1,3,-39.530151400183016,3.9677280415701403e-13,0.99999999999999811
1,4,-39.530151400183001,2.6179109473220686e-13,1.0000000000000007
1,5,-39.412585414388587,3.2233462018300866e-13,1.0000000000000009
1,6,-39.412585414388545,4.7226561785015751e-13,0.99999999999999711
1,7,-39.402524307527827,1.6570080584698333e-13,1.0000000000000013
1,8,-39.402524307527813,3.8245757455047165e-13,0.99999999999999545
1,9,-39.40252430752772,5.1911021372497515e-14,0.99999999999999634
1,10,-39.376663783891715,3.7987710334847073e-13,0.99999999999999856
1,11,-39.376663783891701,3.2198590172194601e-13,0.99999999999999745
1,12,-39.376663783891644,2.0643886133733076e-13,1.000000000000002
1,13,-39.367701470295501,2.7226940414465886e-13,0.99999999999999301
1,14,-39.367701470295408,2.2782211347261606e-13,1.0000000000000018
1,15,-39.36432315045009,3.5509797140140584e-13,1.0000000000000047
1,16,-39.364323150450019,1.6234754855033903e-13,1.0000000000000013
1,17,-39.364323150449962,2.1092775655314032e-13,1.0000000000000033
1,18,-39.312786707793371,1.58804792095861e-13,1.0000000000000009
1,19,-39.312786707793236,1.5983648723780045e-13,0.99999999999999956
1,20,-39.312786707793187,1.3038506981330846e-13,1.0000000000000011
1,21,-39.290219883813116,1.7474237033211689e-13,1.0000000000000007
1,22,-39.290219883813101,2.3959267138514138e-13,1.0000000000000016
1,23,-39.290219883813094,2.5795670112095908e-13,1.0000000000000004
1,24,-39.176458439525987,3.5886178092422025e-13,1.0000000000000042
1,25,-39.059902131173473,1.0104718894375208e-13,0.99999999999999944
1,26,-39.059902131173423,2.2624985026902672e-13,0.99999999999999578
1,27,-39.059902131173359,1.9618852212681818e-13,1.0000000000000022
1,28,-39.023899884567179,4.5915211922579983e-13,1.0000000000000073
1,29,-39.013014208761021,2.9676356826313154e-13,1.000000000000002
