method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,0,-40.19077625260072,4.3849005524718014e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,1,-39.587783846039756,6.453475119850653e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,2,-39.530151400183051,2.7756753117661896e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,3,-39.530151400183044,2.906062279660377e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,4,-39.530151400183001,2.5875208297842419e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,5,-39.412585414388602,3.5731262903920714e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,6,-39.412585414388502,4.348470229745647e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,7,-39.40252430752777,2.6659981029589272e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,8,-39.402524307527734,2.6404564116996495e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,9,-39.402524307527727,3.4342603277313546e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,10,-39.376663783891736,3.0721718344587251e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,11,-39.376663783891694,2.8138843468435197e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,12,-39.376663783891694,3.9678429244642235e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,13,-39.367701470295472,3.5058823314528763e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,14,-39.36770147029543,3.7194420895384808e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,15,-39.364323150450055,2.5188996468613394e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,16,-39.364323150450048,2.450964458202832e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,17,-39.364323150449984,2.4903199228413636e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,18,-39.312786707793251,2.6302428922269735e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,19,-39.312786707793251,2.3054931772167107e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,20,-39.312786707793236,1.873570825616853e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,21,-39.290219883813151,3.8515424854638524e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,22,-39.290219883813144,4.2734557587095109e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,23,-39.29021988381313,3.6178030078894255e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,24,-39.176458439526044,9.8857970307246906e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,25,-39.05990213117353,1.1662538249937694e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,26,-39.059902131173509,1.513251850258064e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,27,-39.05990213117343,3.6325501921822834e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,28,-39.023899884567157,3.6492002397880591e-12
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,29,-39.012985682275804,5.6984796047172538e-05
