davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
31,29,1,0,4.1516330350018335e-09,3.4611380410374138e-09,1.0405637735367609e-10,5.6267639451972893e-11,8.6077954225477737e-13,8.6226119791182716e-13,1.0405637735367609e-10,5.6267639451972893e-11,1,none,72,73,1.5099033134902129e-14,1.4654943925052066e-14,1,31,5.6267639451972893e-11,8.596883052452625e-13,5.6267639451972893e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0,0.0108856758059801,0.00027894894764951761,1.0405993758114118e-10,5.6274245831202757e-11,1.0405637735367609e-10,5.6267639451972893e-11,1.0000000000000129,2.8878783171205084e-13,2.8920277025190529e-13,0.99999999999999833,0,soft,active,0,1
32,29,1,0,3.23338822561495e-09,2.1864001790461584e-09,5.6267639451972893e-11,3.4549407589540288e-11,8.6226119791182716e-13,8.6306462353168798e-13,5.6267639451972893e-11,3.4549407589540288e-11,1,none,73,74,1.4654943925052066e-14,1.6209256159527285e-14,1,32,3.4549407589540288e-11,8.596883052452625e-13,3.4549407589540288e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0,0.010885675806001416,0.00027894894765006394,5.6274245831202757e-11,3.4560185840538763e-11,5.6267639451972893e-11,3.4549407589540288e-11,1.0000000000000131,1.5750669150323444e-13,1.5780246848396594e-13,1.0000000000000022,0,soft,active,0,1
33,29,1,0,2.1930807357694046e-09,1.3494647719204046e-09,3.4549407589540288e-11,1.912288775241115e-11,8.6306462353168798e-13,8.6048321471773819e-13,3.4549407589540288e-11,1.912288775241115e-11,1,none,74,75,1.6209256159527285e-14,1.5099033134902129e-14,1,33,1.912288775241115e-11,8.596883052452625e-13,1.912288775241115e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0,0.010885675806036943,0.00027894894765097424,3.4560185840538763e-11,1.9142237783345168e-11,3.4549407589540288e-11,1.912288775241115e-11,1.0000000000000169,5.0511993021554898e-13,5.0504366825485731e-13,1.0000000000000044,0,soft,active,0,1
34,29,1,0,1.1923914285305751e-09,7.0791712932388615e-10,1.912288775241115e-11,1.0556646056978666e-11,8.6048321471773819e-13,8.5717620230399287e-13,1.912288775241115e-11,1.0556646056978666e-11,1,none,75,76,1.5099033134902129e-14,1.3322676295501878e-14,1,34,1.0556646056978666e-11,8.5717620230399287e-13,1.0556646056978666e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0,0.01088567580599431,0.00027894894764988169,1.9142237783345168e-11,1.0591389286307983e-11,1.912288775241115e-11,1.0556646056978666e-11,1.000000000000014,2.8686050525707528e-13,2.8698602637838724e-13,1.000000000000004,0,soft,active,0,1
35,29,1,0,4.3371259402703886e-10,3.4081880357885782e-10,1.0556646056978666e-11,5.8383306866328391e-12,8.5717620230399287e-13,8.5726820705692591e-13,1.0556646056978666e-11,5.8383306866328391e-12,1,none,76,77,1.3322676295501878e-14,1.2878587085651816e-14,1,35,5.8383306866328391e-12,8.5717620230399287e-13,5.8383306866328391e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,35,0,12,0,0.010885675806008521,0.00027894894765024609,1.0591389286307983e-11,5.9009333147654933e-12,1.0556646056978666e-11,5.8383306866328391e-12,1.000000000000012,6.7954008993028067e-14,6.8206949531763179e-14,1,0,soft,active,0,1
36,29,1,0,2.376335188936191e-10,2.0210233523915215e-10,5.8383306866328391e-12,3.6228622282262587e-12,8.5726820705692591e-13,8.5691967273658814e-13,5.8383306866328391e-12,3.6228622282262587e-12,1,none,77,78,1.2878587085651816e-14,1.5099033134902129e-14,1,36,3.6228622282262587e-12,8.5691967273658814e-13,3.6228622282262587e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,36,0,12,0,0.01088567580599431,0.00027894894764988196,5.9009333147654933e-12,3.7228271582537259e-12,5.8383306866328391e-12,3.6228622282262587e-12,1.0000000000000133,2.0828647217304977e-13,2.0845080639677884e-13,0.99999999999999734,0,soft,active,0,1
37,29,1,0,1.2879303210849706e-10,1.1722560580010436e-10,3.6228622282262587e-12,1.9876493199571285e-12,8.5691967273658814e-13,8.5681815852065342e-13,3.6228622282262587e-12,1.9876493199571285e-12,1,none,78,79,1.5099033134902129e-14,1.4654943925052066e-14,1,37,1.9876493199571285e-12,8.5681815852065342e-13,1.9876493199571285e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,37,0,12,0,0.010885675806029838,0.00027894894765079209,3.7228271582537259e-12,2.1644600194729305e-12,3.6228622282262587e-12,1.9876493199571285e-12,1.0000000000000133,1.3817740928144321e-13,1.3841537694838413e-13,0.99999999999999944,0,soft,active,0,1
38,29,1,0,7.0874441541392407e-11,6.4994869767539378e-11,1.9876493199571285e-12,1.1187949258207649e-12,8.5681815852065342e-13,8.5803848794326368e-13,1.9876493199571285e-12,1.1187949258207649e-12,1,none,79,80,1.4654943925052066e-14,1.4876988529977098e-14,1,38,1.1187949258207649e-12,8.5681815852065342e-13,1.1187949258207649e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,38,0,12,0,0.010885675806029838,0.0002789489476507922,2.1644600194729305e-12,1.4099404713796439e-12,1.9876493199571285e-12,1.1187949258207649e-12,1.0000000000000151,1.0675651062602433e-12,1.0672721985018424e-12,0.99999999999999767,0,soft,active,0,1
39,29,1,0,4.2164133800559641e-11,3.7877039972261849e-11,1.1187949258207649e-12,8.5717143208238703e-13,8.5803848794326368e-13,8.5717143208238703e-13,1.1187949258207649e-12,8.2423171962556663e-13,1,none,80,81,1.4876988529977098e-14,1.6875389974302379e-14,1,39,8.5717143208238703e-13,8.5681815852065342e-13,8.2423171962556663e-13,1,1,1,1,global_ok+active_ok,0,1,3e-09,39,0,12,0,0.010885675805987205,0.00027894894764969976,1.4099404713796439e-12,1.1891596997943923e-12,1.1187949258207649e-12,8.5717143208238703e-13,1.0000000000000138,9.7852026081197812e-13,9.7858508114720197e-13,0.99999999999999623,0,converged,converged,0,0
40,none,0,2,,,8.5717143208238703e-13,8.5717143208238703e-13,8.5717143208238703e-13,8.5717143208238703e-13,8.2423171962556663e-13,8.2423171962556663e-13,0,no_valid_correction,81,81,1.6875389974302379e-14,1.6875389974302379e-14,0,39,8.5717143208238703e-13,8.5681815852065342e-13,8.2423171962556663e-13,1,0,0,1,no_valid_correction,0,1,3e-09,39,1,12,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,inactive,inactive,0,0
