davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.0025845568283656101,0.0005447900460429974,1,35,0.0005447900460429974,29,2.1690494591555894e-11,0.0005447900460429974,1.2656542480726785e-14,0,1,1,0.0005447900460429974,2.1690494591555894e-11,0.0005447900460429974,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.018393948886355815,0.00047135086295232466,0.0025845568283656118,0.00054479004604299783,0.0025845568283656101,0.0005447900460429974,1.0000000000000115,1.4506374583095558e-08,1.4345604525292185e-08,0.99735406006313621,0,active,active,0,0
1,28,8.945262844282463e-11,2.1690494591555894e-11,1,35,0.0005447900460429974,29,2.1690494591555894e-11,0.0005447900460429974,1.2656542480726785e-14,0,1,1,0.0005447900460429974,2.1690494591555894e-11,0.0005447900460429974,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.018393948886355815,0.00047135086295232466,0.0025845568283656118,0.00054479004604299783,0.0025845568283656101,0.0005447900460429974,1.0000000000000115,1.4506374583095558e-08,1.4345604525292185e-08,0.99735406006313621,0,active,active,0,0
2,29,0.0005447900460429974,0.000248830164652392,1,37,0.000248830164652392,29,1.0069590028958512e-11,0.000248830164652392,1.3766765505351941e-14,0,1,2,0.000248830164652392,1.0069590028958512e-11,0.000248830164652392,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.011504875149896066,0.00029481613021577972,0.00054479004604299783,0.00024883016465239221,0.0005447900460429974,0.000248830164652392,1.000000000000008,1.404614230589451e-09,1.3830019229660039e-09,0.99971020422279211,0,active,active,0,0
2,28,2.1690494591555894e-11,1.0069590028958512e-11,1,37,0.000248830164652392,29,1.0069590028958512e-11,0.000248830164652392,1.3766765505351941e-14,0,1,2,0.000248830164652392,1.0069590028958512e-11,0.000248830164652392,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.011504875149896066,0.00029481613021577972,0.00054479004604299783,0.00024883016465239221,0.0005447900460429974,0.000248830164652392,1.000000000000008,1.404614230589451e-09,1.3830019229660039e-09,0.99971020422279211,0,active,active,0,0
3,29,0.000248830164652392,0.00015238919086873082,1,39,0.00015238919086873082,29,1.2500561312549525e-11,0.00015238919086873082,1.1768364061026659e-14,0,1,3,0.00015238919086873082,1.0069590028958512e-11,0.00015238919086873082,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.011094922198275015,0.00028431095382813786,0.00024883016465239221,0.00015238919086873134,0.000248830164652392,0.00015238919086873082,1.0000000000000102,3.3951584888317233e-10,4.3072293701008604e-10,0.9993808411697036,0,active,active,0,0
3,28,1.0069590028958512e-11,1.2500561312549525e-11,1,39,0.00015238919086873082,29,1.2500561312549525e-11,0.00015238919086873082,1.1768364061026659e-14,0,1,3,0.00015238919086873082,1.0069590028958512e-11,0.00015238919086873082,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.011094922198275015,0.00028431095382813786,0.00024883016465239221,0.00015238919086873134,0.000248830164652392,0.00015238919086873082,1.0000000000000102,3.3951584888317233e-10,4.3072293701008604e-10,0.9993808411697036,0,active,active,0,0
4,29,0.00015238919086873082,9.3114245092425904e-05,1,41,9.3114245092425904e-05,29,8.908565912614951e-12,9.3114245092425904e-05,1.5765166949677223e-14,0,1,4,9.3114245092425904e-05,8.908565912614951e-12,9.3114245092425904e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010951777473742652,0.00028064282417026724,0.00015238919086873134,9.3114245092426324e-05,0.00015238919086873082,9.3114245092425904e-05,1.0000000000000182,5.8135547073168727e-11,1.1802492244654237e-10,0.99952538530965607,0,active,active,0,0
4,28,1.2500561312549525e-11,8.908565912614951e-12,1,41,9.3114245092425904e-05,29,8.908565912614951e-12,9.3114245092425904e-05,1.5765166949677223e-14,0,1,4,9.3114245092425904e-05,8.908565912614951e-12,9.3114245092425904e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010951777473742652,0.00028064282417026724,0.00015238919086873134,9.3114245092426324e-05,0.00015238919086873082,9.3114245092425904e-05,1.0000000000000182,5.8135547073168727e-11,1.1802492244654237e-10,0.99952538530965607,0,active,active,0,0
5,29,9.3114245092425904e-05,6.57272450143901e-05,1,43,6.57272450143901e-05,29,6.3963518934444993e-12,6.57272450143901e-05,1.8429702208777599e-14,0,1,5,6.57272450143901e-05,6.3963518934444993e-12,6.57272450143901e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010912633884849754,0.00027963975710088972,9.3114245092426324e-05,6.5727245014390412e-05,9.3114245092425904e-05,6.57272450143901e-05,1.0000000000000118,2.5370467983264302e-11,4.2452952585206066e-11,0.99975564570816755,0,active,active,0,0
5,28,8.908565912614951e-12,6.3963518934444993e-12,1,43,6.57272450143901e-05,29,6.3963518934444993e-12,6.57272450143901e-05,1.8429702208777599e-14,0,1,5,6.57272450143901e-05,6.3963518934444993e-12,6.57272450143901e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010912633884849754,0.00027963975710088972,9.3114245092426324e-05,6.5727245014390412e-05,9.3114245092425904e-05,6.57272450143901e-05,1.0000000000000118,2.5370467983264302e-11,4.2452952585206066e-11,0.99975564570816755,0,active,active,0,0
6,29,6.57272450143901e-05,3.9083833917873515e-05,1,45,3.9083833917873515e-05,29,3.3789192280028804e-12,3.9083833917873515e-05,1.6209256159527285e-14,0,1,6,3.9083833917873515e-05,3.3789192280028804e-12,3.9083833917873515e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,6,0,12,0,0.010897714450813112,0.00027925744179973372,6.5727245014390412e-05,3.9083833917873657e-05,6.57272450143901e-05,3.9083833917873515e-05,1.0000000000000129,4.0968697725695583e-12,1.4129440241406198e-11,0.9995589931496095,0,active,active,0,0
6,28,6.3963518934444993e-12,3.3789192280028804e-12,1,45,3.9083833917873515e-05,29,3.3789192280028804e-12,3.9083833917873515e-05,1.6209256159527285e-14,0,1,6,3.9083833917873515e-05,3.3789192280028804e-12,3.9083833917873515e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,6,0,12,0,0.010897714450813112,0.00027925744179973372,6.5727245014390412e-05,3.9083833917873657e-05,6.57272450143901e-05,3.9083833917873515e-05,1.0000000000000129,4.0968697725695583e-12,1.4129440241406198e-11,0.9995589931496095,0,active,active,0,0
7,29,3.9083833917873515e-05,2.5240848513203214e-05,1,47,2.5240848513203214e-05,29,2.1015656907637815e-12,2.5240848513203214e-05,1.5543122344752192e-14,0,1,7,2.5240848513203214e-05,2.1015656907637815e-12,2.5240848513203214e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,7,0,12,0,0.010890965337338798,0.000279084493593781,3.9083833917873657e-05,2.5240848513203302e-05,3.9083833917873515e-05,2.5240848513203214e-05,1.0000000000000182,3.5374710643730326e-12,6.8116486842324322e-12,0.99923272024933929,0,active,active,0,0
7,28,3.3789192280028804e-12,2.1015656907637815e-12,1,47,2.5240848513203214e-05,29,2.1015656907637815e-12,2.5240848513203214e-05,1.5543122344752192e-14,0,1,7,2.5240848513203214e-05,2.1015656907637815e-12,2.5240848513203214e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,7,0,12,0,0.010890965337338798,0.000279084493593781,3.9083833917873657e-05,2.5240848513203302e-05,3.9083833917873515e-05,2.5240848513203214e-05,1.0000000000000182,3.5374710643730326e-12,6.8116486842324322e-12,0.99923272024933929,0,active,active,0,0
