davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.0025845568283656101,0,0,1,0,0,0,0.17478582716887933,0.14873481519319109
1,28,8.945262844282463e-11,0,0,1,0,0,0,5.3928307709260223e-09,3.6554834337858266e-09
2,29,0.0005447900460429974,0,0,1,0,0,0,0.078593378935066988,0.047933801740572719
2,28,2.1690494591555894e-11,0,0,1,0,0,0,2.5173198466715887e-09,3.6778331471552378e-10
3,29,0.000248830164652392,0,0,1,0,0,0,0.016789243269699147,0.013495719733393816
3,28,1.0069590028958512e-11,0,0,1,0,0,0,1.1674920568671363e-09,4.8323115212452329e-10
4,29,0.00015238919086873082,0,0,1,0,0,0,0.0076123990597998514,0.00723268123652176
4,28,1.2500561312549525e-11,0,0,1,0,0,0,6.3911554140271204e-10,4.9835362191879043e-10
5,29,9.3114245092425904e-05,0,0,1,0,0,0,0.00541613223208665,0.0037068346051186835
5,28,8.908565912614951e-12,0,0,1,0,0,0,5.9416412837874506e-10,4.1522697448659824e-10
6,29,6.57272450143901e-05,0,0,1,0,0,0,0.0030256119140500432,0.0022462964799532139
6,28,6.3963518934444993e-12,0,0,1,0,0,0,3.7285663336688733e-10,2.1696111094862399e-10
7,29,3.9083833917873515e-05,0,0,1,0,0,0,0.0018805587718596889,0.0014752275288987225
7,28,3.3789192280028804e-12,0,0,1,0,0,0,2.0896214283324711e-10,1.3346294179139487e-10
8,29,2.5240848513203214e-05,0,0,1,0,0,0,0.0010610293626655556,0.00094816604607329857
8,28,2.1015656907637815e-12,0,0,1,0,0,0,9.524833542120817e-11,6.8824394469742588e-11
9,29,1.9138173448943883e-05,0,0,1,0,0,0,0.00079559942979159361,0.00062660968037004674
9,28,1.3434614580516638e-12,0,0,1,0,0,0,5.6835501902390254e-11,3.8957298252281807e-11
10,28,8.8194178073666808e-13,0,0,1,1,0,0,0,0
10,29,1.5782498393166126e-05,0,0,1,0,0,0,0.00070253241853896441,0.00043804145785713449
11,28,9.0037775377501983e-13,0,0,1,1,0,0,0,0
