method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,0,-40.190776252600656,1.6539404042928483e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,1,-39.58778384603972,6.6328340021504376e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,2,-39.530151400183051,1.2401187750584409e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,3,-39.530151400183016,2.4413254150699205e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,4,-39.530151400182987,1.4388767812289128e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,5,-39.412585414388573,2.5754590847491217e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,6,-39.412585414388573,2.8383919637140265e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,7,-39.402524307527841,1.7737886034622102e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,8,-39.402524307527749,2.0750156609191217e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,9,-39.402524307527692,2.4122085272732426e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,10,-39.376663783891757,2.3194776367603336e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,11,-39.376663783891672,1.826212111544895e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,12,-39.376663783891573,2.1966014390365201e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,13,-39.367701470295458,2.9010685852435897e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,14,-39.367701470295444,2.1558659274919281e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,15,-39.364323150450019,1.6237133213045163e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,16,-39.364323150449998,1.1742514654810938e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,17,-39.364323150449998,1.141785862871786e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,18,-39.312786707793208,7.5654563178780213e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,19,-39.312786707793201,1.0024604742033693e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,20,-39.312786707793187,9.5959852668995668e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,21,-39.29021988381313,1.792586095899927e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,22,-39.29021988381308,1.4227959987529243e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,23,-39.290219883813073,1.9432679681172284e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,24,-39.176458439526087,1.235333753089168e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,25,-39.059902131173523,1.0041336965259507e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,26,-39.059902131173466,8.414939886869038e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,27,-39.05990213117343,4.2822405544330884e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,28,-39.023899884566994,8.5717143208238703e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,81,30,29,-39.013014208761014,8.2423171962556663e-13
