repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600678,4.0540153464287964e-13,1.0000000000000004
1,1,-39.587783846039819,1.8955652486354253e-13,0.99999999999999978
1,2,-39.530151400183087,2.3414064994143302e-13,1.0000000000000031
1,3,-39.530151400183072,2.6323532762195279e-13,0.99999999999999567
1,4,-39.53015140018298,2.0447479031936138e-13,1.0000000000000024
1,5,-39.412585414388509,2.7736210671539461e-13,1.0000000000000024
1,6,-39.412585414388481,3.6487180779979141e-13,1.0000000000000016
1,7,-39.402524307527777,2.7304006654932199e-14,0.99999999999999656
1,8,-39.40252430752772,3.058151627342212e-13,0.99999999999999933
1,9,-39.402524307527699,1.4327600303100041e-13,1.0000000000000011
1,10,-39.376663783891722,2.6306088671968141e-13,1.0000000000000058
1,11,-39.376663783891715,3.7756642164913413e-13,0.99999999999999767
1,12,-39.376663783891644,3.6147018762461885e-13,1.0000000000000031
1,13,-39.367701470295522,1.2865819253958836e-13,0.99999999999999889
1,14,-39.367701470295401,1.6937247228951761e-13,1.0000000000000075
1,15,-39.364323150450119,3.1433178155289235e-13,1.0000000000000013
1,16,-39.364323150450055,1.3807087991406117e-14,0.99999999999999656
1,17,-39.364323150449998,3.3972689313006694e-13,1.0000000000000051
1,18,-39.312786707793265,2.7825486625145853e-13,0.99999999999999456
1,19,-39.312786707793251,9.5759632264547222e-14,0.99999999999999534
1,20,-39.312786707793215,1.7336286172851776e-13,1.0000000000000031
1,21,-39.290219883813208,6.1151256979839887e-14,1.0000000000000016
1,22,-39.290219883813172,3.491788079746174e-13,1.0000000000000009
1,23,-39.290219883813123,5.1973702852988362e-14,0.99999999999999667
1,24,-39.176458439525945,3.3978122763425495e-13,1.0000000000000047
1,25,-39.059902131173587,3.6942909112566223e-13,0.99999999999999956
1,26,-39.059902131173459,4.369475085574552e-13,0.99999999999999867
1,27,-39.059902131173445,2.1261572777022592e-13,1.0000000000000049
1,28,-39.023899884567207,3.118661304978833e-13,1.0000000000000051
1,29,-39.013014208761035,1.5289028523556064e-13,0.99999999999999545
