davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.00044631598728248919,7.2758259986810831e-05,1,36,7.2758259986810831e-05,29,2.1669811819012952e-11,7.2758259986810831e-05,1.3988810110276972e-14,0,1,1,7.2758259986810831e-05,2.1669811819012952e-11,7.2758259986810831e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011093367557322154,0.00028427111565313486,0.00044631598728249808,7.2758259986814057e-05,0.00044631598728248919,7.2758259986810831e-05,1.0000000000000102,2.5234284193792004e-09,2.5006028986149307e-09,0.9999249201602769,0,active,active,0,0
1,28,8.9216610003669268e-11,2.1669811819012952e-11,1,36,7.2758259986810831e-05,29,2.1669811819012952e-11,7.2758259986810831e-05,1.3988810110276972e-14,0,1,1,7.2758259986810831e-05,2.1669811819012952e-11,7.2758259986810831e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011093367557322154,0.00028427111565313486,0.00044631598728249808,7.2758259986814057e-05,0.00044631598728248919,7.2758259986810831e-05,1.0000000000000102,2.5234284193792004e-09,2.5006028986149307e-09,0.9999249201602769,0,active,active,0,0
1,25,1.2035766301835324e-12,8.829872880642629e-14,1,36,7.2758259986810831e-05,29,2.1669811819012952e-11,7.2758259986810831e-05,1.3988810110276972e-14,0,1,1,7.2758259986810831e-05,2.1669811819012952e-11,7.2758259986810831e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011093367557322154,0.00028427111565313486,0.00044631598728249808,7.2758259986814057e-05,0.00044631598728248919,7.2758259986810831e-05,1.0000000000000102,2.5234284193792004e-09,2.5006028986149307e-09,0.9999249201602769,0,active,active,0,0
2,29,7.2758259986810831e-05,2.3654144644965697e-05,1,38,2.3654144644965697e-05,29,7.1795802893070917e-12,2.3654144644965697e-05,1.6209256159527285e-14,0,1,2,2.3654144644965697e-05,7.1795802893070917e-12,2.3654144644965697e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010890752695623007,0.0002790790445813435,7.2758259986814057e-05,2.3654144644966788e-05,7.2758259986810831e-05,2.3654144644965697e-05,1.0000000000000155,1.1706082160220014e-10,1.1597891169367244e-10,0.99999794028491473,0,active,active,0,0
2,28,2.1669811819012952e-11,7.1795802893070917e-12,1,38,2.3654144644965697e-05,29,7.1795802893070917e-12,2.3654144644965697e-05,1.6209256159527285e-14,0,1,2,2.3654144644965697e-05,7.1795802893070917e-12,2.3654144644965697e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010890752695623007,0.0002790790445813435,7.2758259986814057e-05,2.3654144644966788e-05,7.2758259986810831e-05,2.3654144644965697e-05,1.0000000000000155,1.1706082160220014e-10,1.1597891169367244e-10,0.99999794028491473,0,active,active,0,0
3,29,2.3654144644965697e-05,8.3517429174860764e-06,1,40,8.3517429174860764e-06,29,3.9532044400294491e-12,8.3517429174860764e-06,1.532107773982716e-14,0,1,3,8.3517429174860764e-06,3.9532044400294491e-12,8.3517429174860764e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010886312750329807,0.00027896526955356984,2.3654144644966788e-05,8.3517429174870115e-06,2.3654144644965697e-05,8.3517429174860764e-06,1.0000000000000124,1.2917184870928685e-11,1.2887569966729151e-11,0.99999973644230156,0,active,active,0,0
3,28,7.1795802893070917e-12,3.9532044400294491e-12,1,40,8.3517429174860764e-06,29,3.9532044400294491e-12,8.3517429174860764e-06,1.532107773982716e-14,0,1,3,8.3517429174860764e-06,3.9532044400294491e-12,8.3517429174860764e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010886312750329807,0.00027896526955356984,2.3654144644966788e-05,8.3517429174870115e-06,2.3654144644965697e-05,8.3517429174860764e-06,1.0000000000000124,1.2917184870928685e-11,1.2887569966729151e-11,0.99999973644230156,0,active,active,0,0
4,29,8.3517429174860764e-06,4.7238909567443408e-06,1,42,4.7238909567443408e-06,29,3.6343384239516564e-12,4.7238909567443408e-06,1.6653345369377348e-14,0,1,4,4.7238909567443408e-06,3.6343384239516564e-12,4.7238909567443408e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010885812223804692,0.00027895244340019743,8.3517429174870115e-06,4.7238909567457393e-06,8.3517429174860764e-06,4.7238909567443408e-06,1.0000000000000142,2.5031065842457599e-12,2.3104695288711032e-12,0.99999991598653259,0,active,active,0,0
4,28,3.9532044400294491e-12,3.6343384239516564e-12,1,42,4.7238909567443408e-06,29,3.6343384239516564e-12,4.7238909567443408e-06,1.6653345369377348e-14,0,1,4,4.7238909567443408e-06,3.6343384239516564e-12,4.7238909567443408e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010885812223804692,0.00027895244340019743,8.3517429174870115e-06,4.7238909567457393e-06,8.3517429174860764e-06,4.7238909567443408e-06,1.0000000000000142,2.5031065842457599e-12,2.3104695288711032e-12,0.99999991598653259,0,active,active,0,0
5,29,4.7238909567443408e-06,2.4446602541775899e-06,1,44,2.4446602541775899e-06,29,2.1167430974344596e-12,2.4446602541775899e-06,1.5765166949677223e-14,0,1,5,2.4446602541775899e-06,2.1167430974344596e-12,2.4446602541775899e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010885727835592718,0.00027895028092509301,4.7238909567457393e-06,2.4446602541785064e-06,4.7238909567443408e-06,2.4446602541775899e-06,1.0000000000000122,9.7903394058158137e-13,5.9256814667376571e-13,0.99999984741490078,0,active,active,0,0
