davidson_step,pair_index,residual,selected_by_residual,selected_forced,selected_auto_cluster,skipped_converged_in_cluster,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,26,2.9141723634403565e-13,0,0,1,1,0,0,0,0
1,27,1.4517391306265764e-13,0,0,1,1,0,0,0,0
1,29,0.00044631598728248919,0,0,1,0,0,0,0.019863329552856284,0.018196008852259533
1,28,8.9216610003669268e-11,0,0,1,0,0,0,3.5403820416608109e-09,2.7015514950683828e-09
1,25,1.2035766301835324e-12,0,0,1,0,0,0,4.4019107870327841e-11,8.2949877527830264e-12
2,29,7.2758259986810831e-05,0,0,1,0,0,0,0.0028907396783840827,0.0027198826171037538
2,28,2.1669811819012952e-11,0,0,1,0,0,0,8.1874006928379457e-10,4.5353015062031487e-10
3,29,2.3654144644965697e-05,0,0,1,0,0,0,0.00085896668640082188,0.00072943806528890536
3,28,7.1795802893070917e-12,0,0,1,0,0,0,3.0563149632274581e-10,1.371119729635858e-10
4,29,8.3517429174860764e-06,0,0,1,0,0,0,0.00044871041118644595,0.00038188479410844001
4,28,3.9532044400294491e-12,0,0,1,0,0,0,1.7057130543419867e-10,1.3730425431397074e-10
5,29,4.7238909567443408e-06,0,0,1,0,0,0,0.00030387237656325519,0.00019795932741889895
5,28,3.6343384239516564e-12,0,0,1,0,0,0,1.8637316567040206e-10,1.1379449918160217e-10
6,29,2.4446602541775899e-06,0,0,1,0,0,0,0.00021261487050014069,0.00013469139517097755
6,28,2.1167430974344596e-12,0,0,1,0,0,0,1.5020324911958764e-10,6.6730245537001535e-11
7,29,2.141675617230042e-06,0,0,1,0,0,0,0.00014434152832462684,8.3715652666791903e-05
7,28,1.3504572384175407e-12,0,0,1,0,0,0,9.1218314784117634e-11,4.9067240797349062e-11
8,28,9.1710430163490679e-13,0,0,1,1,0,0,0,0
8,29,1.8219137088414885e-06,0,0,1,0,0,0,7.9228073300800387e-05,5.8654157168138101e-05
9,28,7.8847701952860736e-13,0,0,1,1,0,0,0,0
9,29,8.7466982591257443e-07,0,0,1,0,0,0,3.3205909178844967e-05,2.4655051213408219e-05
10,28,7.3663237785620005e-13,0,0,1,1,0,0,0,0
10,29,3.708204610576721e-07,0,0,1,0,0,0,1.5069100777575205e-05,1.2576023483413584e-05
11,28,7.4366140000601754e-13,0,0,1,1,0,0,0,0
11,29,2.453983497407002e-07,0,0,1,0,0,0,1.3219031821893592e-05,9.8236905495316504e-06
12,28,7.5515935631189144e-13,0,0,1,1,0,0,0,0
12,29,1.583474408797711e-07,0,0,1,0,0,0,8.5190265562583818e-06,5.7439625733880775e-06
13,28,7.5740211493017727e-13,0,0,1,1,0,0,0,0
13,29,9.9525965234957125e-08,0,0,1,0,0,0,7.4896188384144407e-06,4.73107675734708e-06
14,28,7.6135998929645837e-13,0,0,1,1,0,0,0,0
