method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,0,-40.190776252600656,1.6380423615996686e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,1,-39.587783846039777,1.621448660298613e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,2,-39.530151400183023,3.0646654885956358e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,3,-39.530151400183023,3.8715188718774842e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,4,-39.530151400183001,3.6382025050464404e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,5,-39.412585414388538,4.541323260758386e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,6,-39.412585414388516,6.9301892203268849e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,7,-39.402524307527798,3.1533793296547403e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,8,-39.402524307527749,3.9543631612021524e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,9,-39.402524307527713,4.1014858349521835e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,10,-39.376663783891672,4.7965580912236886e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,11,-39.376663783891658,3.4470076615761614e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,12,-39.376663783891608,2.3746903150850664e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,13,-39.367701470295451,6.038935028897829e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,14,-39.367701470295437,7.992138432927446e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,15,-39.364323150450055,2.5410482226123357e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,16,-39.364323150450033,2.3597799746777e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,17,-39.364323150450012,2.8520147961565542e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,18,-39.312786707793272,1.6974377931038928e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,19,-39.312786707793244,1.6748965898969159e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,20,-39.312786707793187,2.4293179022868032e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,21,-39.290219883813172,3.2594596885764846e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,22,-39.290219883813172,4.2925135817539696e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,23,-39.290219883813137,3.780600336459813e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,24,-39.176458439526037,1.744135120851361e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,25,-39.059902131173487,4.6828321398523619e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,26,-39.059902131173466,7.6694416185733816e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,27,-39.059902131173374,6.5075703598331732e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,28,-39.023899884567228,6.2597917393932994e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,74,30,29,-39.013014208761021,8.0445136840647473e-13
