repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600699,4.0539750820411821e-13,1.0000000000000018
1,1,-39.587783846039805,2.0135079462794506e-13,1.0000000000000002
1,2,-39.530151400183037,3.0582562675780123e-13,1.0000000000000022
1,3,-39.530151400182973,2.6306602995577535e-13,1.0000000000000047
1,4,-39.530151400182937,2.6318624527133157e-13,0.99999999999999933
1,5,-39.412585414388587,3.8322196747346214e-13,0.99999999999999878
1,6,-39.412585414388474,2.5326303168840316e-13,0.99999999999999833
1,7,-39.40252430752782,2.0753548556619774e-14,0.99999999999999734
1,8,-39.402524307527699,3.1843855464210657e-13,0.99999999999999833
1,9,-39.402524307527678,1.8217672912878081e-13,1.0000000000000024
1,10,-39.376663783891736,3.6245099942155378e-13,0.99999999999999467
1,11,-39.37666378389163,4.1398146622930543e-13,1.0000000000000047
1,12,-39.376663783891587,1.8433092562935382e-13,1.0000000000000011
1,13,-39.367701470295472,2.4208940592821462e-13,0.99999999999999756
1,14,-39.367701470295444,2.3794770864155671e-13,1.0000000000000004
1,15,-39.364323150450161,2.2046250908277183e-13,0.99999999999999856
1,16,-39.364323150450069,4.6443214809745571e-13,0.99999999999999556
1,17,-39.364323150450041,4.2814819012712382e-13,0.99999999999999933
1,18,-39.312786707793258,1.6243825301796638e-13,0.99999999999999833
1,19,-39.312786707793173,1.6678297277924106e-13,1.0000000000000004
1,20,-39.312786707793123,1.1939256834137116e-13,0.99999999999999789
1,21,-39.290219883813165,3.2857476626166836e-13,0.999999999999997
1,22,-39.29021988381308,2.3857657653882364e-13,1.0000000000000033
1,23,-39.29021988381308,1.3281308968616122e-13,0.99999999999999412
1,24,-39.176458439526094,4.0681309344539612e-13,1.0000000000000069
1,25,-39.059902131173473,1.6920676795564864e-13,1.000000000000006
1,26,-39.059902131173423,3.5593705433464437e-13,1.0000000000000013
1,27,-39.059902131173395,1.8259753438221015e-13,0.99999999999999822
1,28,-39.023899884567165,2.3507798841054914e-13,1.0000000000000067
1,29,-39.013014208761092,4.2539573927110037e-13,1.000000000000004
