davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
31,29,1,1,6.5513404457335877e-10,4.2457976671982645e-10,1.0968513075672022e-11,6.98997653848275e-12,8.9085022122202041e-14,8.9090176805693779e-14,1.0968513075672022e-11,6.98997653848275e-12,1,none,53,54,1.6431300764452317e-14,1.354472090042691e-14,1,31,6.98997653848275e-12,8.9085022122202041e-14,6.98997653848275e-12,1,1,1,1,global_ok+active_ok,0,1,1e-08,31,0,12,0,0.01088567580607247,0.00027894894765188383,7.7561739705024945e-12,4.9430651974333247e-12,1.0968524657404661e-11,6.9899826574446114e-12,1.000000000000014,1.1326069137842051e-13,1.1521656834798704e-13,0.99999999999999889,0,soft,active,0,1
32,29,1,1,3.8498718754643742e-10,2.8771542889539395e-10,6.98997653848275e-12,4.3349362397579902e-12,8.9090176805693779e-14,8.9044599283698127e-14,6.98997653848275e-12,4.3349362397579902e-12,1,none,54,35,1.354472090042691e-14,1.532107773982716e-14,1,32,4.3349362397579902e-12,8.9044599283698127e-14,4.3349362397579902e-12,1,1,1,1,global_ok+active_ok,0,1,1e-08,32,0,12,0,0.010885675806065365,0.00027894894765170217,4.9430651974333247e-12,3.0659253688533063e-12,6.9899826574446114e-12,4.3349586692972319e-12,1.0000000000000149,4.4362800047827327e-13,4.4185486155358629e-13,1.0000000000000062,0,soft,active,0,1
33,29,1,1,2.1982867439350665e-10,1.6821432676819946e-10,4.3349362397579902e-12,2.053338905318901e-12,8.9044599283698127e-14,8.9085858527190445e-14,4.3349362397579902e-12,2.053338905318901e-12,1,none,35,36,1.532107773982716e-14,1.4654943925052066e-14,1,33,2.053338905318901e-12,8.9044599283698127e-14,2.053338905318901e-12,1,1,1,1,global_ok+active_ok,0,1,1e-08,33,0,12,0,0.010885675806036943,0.00027894894765097364,3.0659253688533063e-12,1.4533344708000651e-12,4.3349586692972319e-12,2.0533881010146874e-12,1.0000000000000151,6.1535216569672219e-12,6.1532182652764185e-12,0.99999999999999656,0,soft,active,0,1
34,29,1,1,1.2274367288900534e-10,9.072974211313945e-11,2.053338905318901e-12,1.0136326953446073e-12,8.9085858527190445e-14,8.9363894722645123e-14,2.053338905318901e-12,1.0136326953446073e-12,1,none,36,37,1.4654943925052066e-14,1.5987211554602254e-14,1,34,1.0136326953446073e-12,8.9044599283698127e-14,1.0136326953446073e-12,1,1,1,1,global_ok+active_ok,0,1,1e-08,34,0,12,0,0.010885675806292738,0.00027894894765752754,1.4533344708000651e-12,7.1953080153597213e-13,2.0533881010146874e-12,1.0136348873035418e-12,1.0000000000000155,4.3243416495803725e-13,4.3385670116657588e-13,0.99999999999999489,0,soft,active,0,1
35,29,1,1,5.6652173682545459e-11,4.0101383612497348e-11,1.0136326953446073e-12,5.9576608602690387e-13,8.9363894722645123e-14,8.9256467658349297e-14,1.0136326953446073e-12,5.9576608602690387e-13,1,none,37,38,1.5987211554602254e-14,1.7541523789077473e-14,1,35,5.9576608602690387e-13,8.9044599283698127e-14,5.9576608602690387e-13,1,1,1,1,global_ok+active_ok,0,1,1e-08,35,0,12,0,0.010885675806264317,0.00027894894765679944,7.1953080153597213e-13,4.2600992292337002e-13,1.0136348873035418e-12,5.9582042920949803e-13,1.000000000000016,5.9607479981198367e-13,5.9430552252881484e-13,0.99999999999999434,0,soft,active,0,1
36,29,1,1,4.262961218391236e-11,2.8382418767159741e-11,5.9576608602690387e-13,3.5796587403932103e-13,8.9256467658349297e-14,8.9297509818706122e-14,5.9576608602690387e-13,3.5796587403932103e-13,1,none,38,39,1.7541523789077473e-14,1.9539925233402755e-14,1,36,3.5796587403932103e-13,8.9044599283698127e-14,3.5796587403932103e-13,1,1,1,1,global_ok+active_ok,0,1,1e-08,36,0,12,0,0.010885675806250106,0.00027894894765643537,4.2600992292337002e-13,2.6097267974262472e-13,5.9582042920949803e-13,3.5810598150125801e-13,1.0000000000000158,4.3321754843606152e-13,4.350635622301762e-13,1.000000000000002,0,soft,active,0,1
37,29,1,1,3.0472844742432294e-11,1.8416789552678442e-11,3.5796587403932103e-13,2.2871262201808588e-13,8.9297509818706122e-14,8.8686631891618235e-14,3.5796587403932103e-13,2.2871262201808588e-13,1,none,39,40,1.9539925233402755e-14,1.6431300764452317e-14,1,37,2.2871262201808588e-13,8.8686631891618235e-14,2.2871262201808588e-13,1,1,1,1,global_ok+active_ok,0,1,1e-08,37,0,12,0,0.010885675806285633,0.00027894894765734561,2.6097267974262472e-13,1.7364328579762202e-13,3.5810598150125801e-13,2.2897027139659621e-13,1.0000000000000167,1.4056472976960337e-13,1.421833933502165e-13,0.99999999999999822,0,soft,active,0,1
38,29,1,1,1.2110250257313341e-11,8.3278891279629568e-12,2.2871262201808588e-13,1.4001334608531041e-13,8.8686631891618235e-14,8.8863054751140497e-14,2.2871262201808588e-13,1.4001334608531041e-13,1,none,40,41,1.6431300764452317e-14,1.6431300764452317e-14,1,38,1.4001334608531041e-13,8.8686631891618235e-14,1.4001334608531041e-13,1,1,1,1,global_ok+active_ok,0,1,1e-08,38,0,12,0,0.010885675806292738,0.00027894894765752765,1.7364328579762202e-13,1.1741259854462331e-13,2.2897027139659621e-13,1.4025340633851868e-13,1.0000000000000169,9.0781349151903587e-13,9.0876712494720991e-13,0.99999999999999911,0,soft,active,0,1
39,29,1,1,6.2199779165008427e-12,5.4222209932549933e-12,1.4001334608531041e-13,9.6169363631569112e-14,8.8863054751140497e-14,8.8447439814995177e-14,1.4001334608531041e-13,9.6169363631569112e-14,1,none,41,42,1.6431300764452317e-14,1.6209256159527285e-14,1,39,9.6169363631569112e-14,8.8447439814995177e-14,9.6169363631569112e-14,1,1,1,1,global_ok+active_ok,0,1,1e-08,39,0,12,0,0.010885675806257211,0.00027894894765661735,1.1741259854462331e-13,9.2515110690807807e-14,1.4025340633851868e-13,9.6418640225493352e-14,1.0000000000000169,1.0439470912681007e-12,1.0427375044831634e-12,1.0000000000000024,0,converged,converged,0,0
40,none,0,2,,,9.6169363631569112e-14,9.6169363631569112e-14,8.8447439814995177e-14,8.8447439814995177e-14,9.6169363631569112e-14,9.6169363631569112e-14,0,no_valid_correction,42,42,1.6209256159527285e-14,1.6209256159527285e-14,0,39,9.6169363631569112e-14,8.8447439814995177e-14,9.6169363631569112e-14,1,0,0,1,no_valid_correction,0,1,1e-08,39,1,12,0,0.010885675806335371,0.00027894894765861998,9.2515110690807807e-14,9.2515110690807807e-14,9.6418640225493352e-14,9.6418640225493352e-14,1.0000000000000162,9.7835867678359383e-16,9.7835867678359383e-16,1.0000000000000024,0,converged,converged,0,0
