davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.00090581329362878068,0.00010195557136999946,1,35,0.00010195557136999946,29,5.9771894145849997e-11,0.00010195557136999946,1.2434497875801753e-14,0,1,1,0.00010195557136999946,5.9771894145849997e-11,0.00010195557136999946,1,1,1,1,global_ok+active_ok,0,1,1e-08,1,0,12,0,0.011658091314785679,0.00029874234377574675,0.00064050672241399689,7.2093475895490728e-05,0.00090581329362878372,0.00010195557137000333,1.0000000000000067,4.7303457512049919e-08,4.6950621394070832e-08,0.99974650627846551,0,active,active,0,0
1,28,6.4561576033883657e-10,5.9771894145849997e-11,1,35,0.00010195557136999946,29,5.9771894145849997e-11,0.00010195557136999946,1.2434497875801753e-14,0,1,1,0.00010195557136999946,5.9771894145849997e-11,0.00010195557136999946,1,1,1,1,global_ok+active_ok,0,1,1e-08,1,0,12,0,0.011658091314785679,0.00029874234377574675,0.00064050672241399689,7.2093475895490728e-05,0.00090581329362878372,0.00010195557137000333,1.0000000000000067,4.7303457512049919e-08,4.6950621394070832e-08,0.99974650627846551,0,active,active,0,0
2,29,0.00010195557136999946,3.556643211827304e-05,1,37,3.556643211827304e-05,29,3.0188222101051339e-11,3.556643211827304e-05,1.3988810110276972e-14,0,1,2,3.556643211827304e-05,3.0188222101051339e-11,3.556643211827304e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,2,0,12,0,0.010895576300399057,0.00027920265100690175,7.2093475895490728e-05,2.5149265333454128e-05,0.00010195557137000333,3.5566432118277648e-05,1.0000000000000047,3.3930541362577154e-10,3.3200733036129183e-10,0.99999297654770947,0,active,active,0,0
2,28,5.9771894145849997e-11,3.0188222101051339e-11,1,37,3.556643211827304e-05,29,3.0188222101051339e-11,3.556643211827304e-05,1.3988810110276972e-14,0,1,2,3.556643211827304e-05,3.0188222101051339e-11,3.556643211827304e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,2,0,12,0,0.010895576300399057,0.00027920265100690175,7.2093475895490728e-05,2.5149265333454128e-05,0.00010195557137000333,3.5566432118277648e-05,1.0000000000000047,3.3930541362577154e-10,3.3200733036129183e-10,0.99999297654770947,0,active,active,0,0
3,29,3.556643211827304e-05,1.6038207041506828e-05,1,39,1.6038207041506828e-05,29,2.8927656258293116e-11,1.6038207041506828e-05,1.4765966227514582e-14,0,1,3,1.6038207041506828e-05,2.8927656258293116e-11,1.6038207041506828e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,3,0,12,0,0.010887230930151759,0.00027898879820715622,2.5149265333454128e-05,1.1340724957141986e-05,3.5566432118277648e-05,1.603820704150717e-05,1.0000000000000089,4.5915093966659994e-11,4.7805928279924914e-11,0.99999912264005375,0,active,active,0,0
3,28,3.0188222101051339e-11,2.8927656258293116e-11,1,39,1.6038207041506828e-05,29,2.8927656258293116e-11,1.6038207041506828e-05,1.4765966227514582e-14,0,1,3,1.6038207041506828e-05,2.8927656258293116e-11,1.6038207041506828e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,3,0,12,0,0.010887230930151759,0.00027898879820715622,2.5149265333454128e-05,1.1340724957141986e-05,3.5566432118277648e-05,1.603820704150717e-05,1.0000000000000089,4.5915093966659994e-11,4.7805928279924914e-11,0.99999912264005375,0,active,active,0,0
4,29,1.6038207041506828e-05,7.7474036773019319e-06,1,41,7.7474036773019319e-06,29,2.7344187883319354e-11,7.7474036773019319e-06,1.3433698597964394e-14,0,1,4,7.7474036773019319e-06,2.7344187883319354e-11,7.7474036773019319e-06,1,1,1,1,global_ok+active_ok,0,1,1e-08,4,0,12,0,0.010886089854665215,0.00027895955778039404,1.1340724957141986e-05,5.4782416768443744e-06,1.603820704150717e-05,7.7474036773025943e-06,1.0000000000000051,1.7433657952107558e-12,2.2738472385068186e-12,0.9999998411311174,0,active,active,0,0
4,28,2.8927656258293116e-11,2.7344187883319354e-11,1,41,7.7474036773019319e-06,29,2.7344187883319354e-11,7.7474036773019319e-06,1.3433698597964394e-14,0,1,4,7.7474036773019319e-06,2.7344187883319354e-11,7.7474036773019319e-06,1,1,1,1,global_ok+active_ok,0,1,1e-08,4,0,12,0,0.010886089854665215,0.00027895955778039404,1.1340724957141986e-05,5.4782416768443744e-06,1.603820704150717e-05,7.7474036773025943e-06,1.0000000000000051,1.7433657952107558e-12,2.2738472385068186e-12,0.9999998411311174,0,active,active,0,0
5,29,7.7474036773019319e-06,4.6208318746406602e-06,1,43,4.6208318746406602e-06,29,1.9281152945436511e-11,4.6208318746406602e-06,1.4876988529977098e-14,0,1,5,4.6208318746406602e-06,1.9281152945436511e-11,4.6208318746406602e-06,1,1,1,1,global_ok+active_ok,0,1,1e-08,5,0,12,0,0.010885816311557051,0.00027895254815016795,5.4782416768443744e-06,3.2674215533110927e-06,7.7474036773025943e-06,4.6208318746425008e-06,1.0000000000000133,5.9755682651008258e-12,5.5917867517651139e-12,0.99999992767307466,0,active,active,0,0
5,28,2.7344187883319354e-11,1.9281152945436511e-11,1,43,4.6208318746406602e-06,29,1.9281152945436511e-11,4.6208318746406602e-06,1.4876988529977098e-14,0,1,5,4.6208318746406602e-06,1.9281152945436511e-11,4.6208318746406602e-06,1,1,1,1,global_ok+active_ok,0,1,1e-08,5,0,12,0,0.010885816311557051,0.00027895254815016795,5.4782416768443744e-06,3.2674215533110927e-06,7.7474036773025943e-06,4.6208318746425008e-06,1.0000000000000133,5.9755682651008258e-12,5.5917867517651139e-12,0.99999992767307466,0,active,active,0,0
