davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00090581329362878068,1,0,0,0,0,0,0.043131439106779655,0.042064205447888255
1,28,6.4561576033883657e-10,1,0,0,0,0,0,3.2080745792716433e-08,1.3294493605059563e-08
2,29,0.00010195557136999946,1,0,0,0,0,0,0.0082320950736940682,0.0069490442181860731
2,28,5.9771894145849997e-11,1,0,0,0,0,0,4.9529541506592166e-09,2.0424538183872978e-09
3,29,3.556643211827304e-05,1,0,0,0,0,0,0.0027907086966922697,0.0017588746994274336
3,28,3.0188222101051339e-11,1,0,0,0,0,0,2.7844069469843495e-09,1.7127969135647901e-09
4,29,1.6038207041506828e-05,1,0,0,0,0,0,0.00089235698982690346,0.00053624040767093174
4,28,2.8927656258293116e-11,1,0,0,0,0,0,1.3357005621543326e-09,1.0851514550012789e-09
5,29,7.7474036773019319e-06,1,0,0,0,0,0,0.00047455630302916356,0.00031616588821573591
5,28,2.7344187883319354e-11,1,0,0,0,0,0,1.4305465808598843e-09,1.0531479790089122e-09
6,29,4.6208318746406602e-06,1,0,0,0,0,0,0.00022003485233067162,0.00017045203211962922
6,28,1.9281152945436511e-11,1,0,0,0,0,0,8.4809008428691518e-10,6.015129059539618e-10
7,29,3.5247901618057493e-06,1,0,0,0,0,0,0.00019875435954173947,0.00012479137216848192
7,28,9.0745934747395597e-12,1,0,0,0,0,0,5.7216776779346293e-10,3.8337888913253666e-10
8,29,2.3984281622674495e-06,1,0,0,0,0,0,8.5291964320178011e-05,7.80689074900568e-05
8,28,6.1937288619317151e-12,1,0,0,0,0,0,5.0994830846983374e-10,2.9488691716788137e-10
9,29,1.5552422274230581e-06,1,0,0,0,0,0,5.5368501063092258e-05,4.5194875264604333e-05
9,28,6.7866738902828743e-12,1,0,0,0,0,0,2.6917871195094113e-10,1.8398709926936864e-10
10,29,9.4281436393044897e-07,1,0,0,0,0,0,2.9364160605460404e-05,2.5772810193022623e-05
10,28,5.150761149800124e-12,1,0,0,0,0,0,2.0605965405595438e-10,1.5068413404779668e-10
11,29,3.9056511921698555e-07,1,0,0,0,0,0,1.2084901263116373e-05,1.1347887262692698e-05
11,28,3.2233126309203294e-12,1,0,0,0,0,0,1.3250037665622755e-10,1.1355372056116487e-10
