method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,0,-40.190776252600735,4.1796856962833373e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,1,-39.587783846039855,1.5030745700195052e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,2,-39.530151400183129,6.2791076918693976e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,3,-39.530151400183001,4.6068615232023941e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,4,-39.530151400182987,5.7106342551714631e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,5,-39.412585414388538,7.5835317399587971e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,6,-39.412585414388502,7.6300896535934864e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,7,-39.402524307527855,6.5446107080814693e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,8,-39.402524307527749,5.9363535902323823e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,9,-39.402524307527685,6.7256317279821893e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,10,-39.376663783891829,7.4108059084519821e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,11,-39.376663783891722,7.0279466881224179e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,12,-39.376663783891686,5.3578451521160414e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,13,-39.367701470295572,8.1918852673412681e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,14,-39.367701470295479,7.4491984333365155e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,15,-39.364323150450126,5.4332582763031412e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,16,-39.364323150450097,4.7420264340006514e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,17,-39.364323150450069,4.7326955086866103e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,18,-39.3127867077933,4.1152990911901006e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,19,-39.312786707793251,4.2067496042324502e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,20,-39.312786707793215,3.9862429351194376e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,21,-39.290219883813343,8.6479651213483732e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,22,-39.290219883813123,6.4927075430649473e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,23,-39.290219883813101,7.072725690113032e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,24,-39.176458439526073,8.918788722239629e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,25,-39.059902131173487,6.2595550862713015e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,26,-39.059902131173374,2.7650481855876904e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,27,-39.059902131173338,4.1366188408823078e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,28,-39.023899884567228,8.8447439814995177e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,42,30,29,-39.013014208760893,9.6169363631569112e-14
