repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600728,4.0541408398301077e-13,1.0000000000000033
1,1,-39.587783846039649,1.9273251592585786e-13,0.99999999999999967
1,2,-39.530151400183087,1.6668847900556797e-13,1.0000000000000002
1,3,-39.530151400183044,2.3330836541844512e-13,0.99999999999999412
1,4,-39.530151400183001,3.1825940129741508e-13,0.99999999999999767
1,5,-39.412585414388538,2.9816806163850585e-13,0.99999999999999367
1,6,-39.412585414388516,2.6732577082021281e-13,0.99999999999999811
1,7,-39.402524307527806,8.7671446363289031e-15,1.0000000000000024
1,8,-39.402524307527777,1.5178802784227675e-14,1.0000000000000069
1,9,-39.402524307527649,2.2953347348711914e-13,0.99999999999999833
1,10,-39.376663783891708,2.5674034919298805e-13,0.99999999999999312
1,11,-39.376663783891694,4.3472302803356824e-13,0.99999999999999856
1,12,-39.376663783891644,3.9176677469760845e-13,1.0000000000000009
1,13,-39.367701470295444,1.502598545977247e-13,0.99999999999999778
1,14,-39.367701470295387,1.3313701454771877e-13,1.0000000000000007
1,15,-39.364323150450069,1.0906213830211232e-13,0.99999999999999967
1,16,-39.364323150450055,4.8826716414276573e-13,1
1,17,-39.364323150450019,8.734129253176796e-14,0.99999999999999967
1,18,-39.312786707793286,4.5005685365533021e-13,1.0000000000000013
1,19,-39.312786707793208,3.2588113353200846e-13,1.0000000000000018
1,20,-39.312786707793187,3.1412573071187121e-13,1.0000000000000027
1,21,-39.290219883813144,3.1546549143648699e-13,0.99999999999999878
1,22,-39.290219883813116,3.1966691273818508e-13,1.0000000000000018
1,23,-39.29021988381308,3.8597431948544063e-14,1.0000000000000002
1,24,-39.176458439525987,3.7854551505388669e-13,1.0000000000000062
1,25,-39.059902131173644,1.773212712310199e-13,0.99999999999999034
1,26,-39.059902131173445,2.755749424297033e-13,1.0000000000000062
1,27,-39.059902131173402,1.9450839683351958e-13,0.99999999999999734
1,28,-39.023899884567165,3.3789095500590696e-13,1.0000000000000051
1,29,-39.013014208761042,2.7556756549021426e-13,0.99999999999999956
