davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
31,29,1,1,1.7253033229000853e-08,1.2444467316356394e-08,2.9753910168811181e-10,1.7547653594537831e-10,6.6327111914058624e-14,6.6264335228823313e-14,2.9753910168811181e-10,1.7547653594537831e-10,1,none,37,38,1.5543122344752192e-14,1.354472090042691e-14,1,31,1.7547653594537831e-10,6.5956039992710279e-14,1.7547653594537831e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0,0.010885675806136419,0.00027894894765352239,2.103919236853958e-10,1.2408065876781529e-10,2.9753910449452568e-10,1.7547653794070046e-10,1.0000000000000122,6.9033885952584759e-13,6.8956386558600725e-13,1.0000000000000009,0,soft,active,0,1
32,29,1,1,1.211233753393095e-08,8.0133841132823472e-09,1.7547653594537831e-10,1.274597618841875e-10,6.6264335228823313e-14,6.6798140831605211e-14,1.7547653594537831e-10,1.274597618841875e-10,1,none,38,39,1.354472090042691e-14,1.3988810110276972e-14,1,32,1.274597618841875e-10,6.5956039992710279e-14,1.274597618841875e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0,0.010885675806164841,0.00027894894765425054,1.2408065876781529e-10,9.0127677092870979e-11,1.7547653794070046e-10,1.2745976577527229e-10,1.000000000000014,7.5451798332059246e-13,7.5571635216966471e-13,0.99999999999999556,0,soft,active,0,1
33,29,1,1,1.0040586105781495e-08,5.8898239936037435e-09,1.274597618841875e-10,1.0125738597991968e-10,6.6798140831605211e-14,6.7615535506838937e-14,1.274597618841875e-10,1.0125738597991968e-10,1,none,39,40,1.3988810110276972e-14,1.4210854715202004e-14,1,33,1.0125738597991968e-10,6.5956039992710279e-14,1.0125738597991968e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0,0.010885675806136419,0.00027894894765352233,9.0127677092870979e-11,7.1599800656497933e-11,1.2745976577527229e-10,1.0125738657974837e-10,1.000000000000014,1.0369161964465418e-12,1.0377778952229666e-12,1.0000000000000036,0,soft,active,0,1
34,29,1,1,6.5904201338683226e-09,4.510730828611093e-09,1.0125738597991968e-10,6.8143021953733678e-11,6.7615535506838937e-14,6.5949179207239618e-14,1.0125738597991968e-10,6.8143021953733678e-11,1,none,40,41,1.4210854715202004e-14,1.3655743202889425e-14,1,34,6.8143021953733678e-11,6.5949179207239618e-14,6.8143021953733678e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0,0.010885675806107997,0.00027894894765279429,7.1599800656497933e-11,4.8184415994483951e-11,1.0125738657974837e-10,6.814302262789707e-11,1.000000000000014,8.4686718406690137e-13,8.45805408790319e-13,0.999999999999999,0,soft,active,0,1
35,29,1,1,2.8570035107688682e-09,2.2697664053597914e-09,6.8143021953733678e-11,3.639186792208881e-11,6.5949179207239618e-14,6.5057881169409797e-14,6.8143021953733678e-11,3.639186792208881e-11,1,none,41,42,1.3655743202889425e-14,1.6875389974302379e-14,1,35,3.639186792208881e-11,6.5057881169409797e-14,3.639186792208881e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,35,0,12,0,0.010885675806136419,0.00027894894765352255,4.8184415994483951e-11,2.5732978690913119e-11,6.814302262789707e-11,3.6391869312387617e-11,1.0000000000000135,1.958622187783965e-13,1.9753350831509628e-13,1.0000000000000071,0,soft,active,0,1
36,29,1,1,1.5372120085897608e-09,1.2832047997156262e-09,3.639186792208881e-11,1.9261739695172932e-11,6.5057881169409797e-14,6.5135237679588088e-14,3.639186792208881e-11,1.9261739695172932e-11,1,none,42,43,1.6875389974302379e-14,1.5654144647214707e-14,1,36,1.9261739695172932e-11,6.5057881169409797e-14,1.9261739695172932e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,36,0,12,0,0.010885675806115103,0.00027894894765297622,2.5732978690913119e-11,1.3620184755307661e-11,3.6391869312387617e-11,1.9261739844591681e-11,1.0000000000000149,2.2819852533043572e-13,2.2663213778891049e-13,1.00000000000001,0,soft,active,0,1
37,29,1,1,9.7629182541572971e-10,8.4256137514825781e-10,1.9261739695172932e-11,1.130286590685198e-11,6.5135237679588088e-14,6.441550497419843e-14,1.9261739695172932e-11,1.130286590685198e-11,1,none,43,44,1.5654144647214707e-14,1.3766765505351941e-14,1,37,1.130286590685198e-11,6.441550497419843e-14,1.130286590685198e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,37,0,12,0,0.010885675806122208,0.00027894894765315847,1.3620184755307661e-11,7.9924598115096297e-12,1.9261739844591681e-11,1.1302861522281336e-11,1.0000000000000115,3.6434431600978238e-13,3.6340404730025435e-13,1.0000000000000009,0,soft,active,0,1
38,29,1,1,9.2336267609449347e-10,7.0617473218680625e-10,1.130286590685198e-11,7.4656090538120808e-12,6.441550497419843e-14,6.4600738512915483e-14,1.130286590685198e-11,7.4656090538120808e-12,1,none,44,45,1.3766765505351941e-14,1.532107773982716e-14,1,38,7.4656090538120808e-12,6.441550497419843e-14,7.4656090538120808e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,38,0,12,0,0.010885675806157735,0.00027894894765406855,7.9924598115096297e-12,5.2791841198030214e-12,1.1302861522281336e-11,7.4656143481515432e-12,1.0000000000000122,1.197140258614061e-12,1.197867130792083e-12,1.0000000000000007,0,soft,active,0,1
39,29,1,1,5.0589546591323732e-10,3.1691709980176475e-10,7.4656090538120808e-12,4.533625012595971e-12,6.4600738512915483e-14,6.4018307717644054e-14,7.4656090538120808e-12,4.533625012595971e-12,1,none,45,46,1.532107773982716e-14,1.4210854715202004e-14,1,39,4.533625012595971e-12,6.4018307717644054e-14,4.533625012595971e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,39,0,12,0,0.010885675806115103,0.00027894894765297649,5.2791841198030214e-12,3.2060854911147764e-12,7.4656143481515432e-12,4.5336374871486868e-12,1.0000000000000127,1.2533970627314743e-12,1.2523248840666417e-12,0.99999999999999856,0,soft,active,0,1
40,29,1,1,2.715313439481991e-10,1.9885193625588338e-10,4.533625012595971e-12,3.5213372307511602e-12,6.4018307717644054e-14,6.3841692227025126e-14,4.533625012595971e-12,3.5213372307511602e-12,1,none,46,47,1.4210854715202004e-14,1.3766765505351941e-14,1,40,3.5213372307511602e-12,6.3841692227025126e-14,3.5213372307511602e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,40,0,12,0,0.010885675806164841,0.00027894894765425054,3.2060854911147764e-12,2.4903789076314883e-12,4.5336374871486868e-12,3.5213488539827109e-12,1.0000000000000142,2.3173685326192074e-13,2.3348658435795222e-13,1.000000000000002,0,soft,active,0,1
