davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.00086444907626083466,0.00010419985136385628,1,35,0.00010419985136385628,29,3.9865070487080009e-12,0.00010419985136385628,1.7208456881689926e-14,0,1,1,0.00010419985136385628,3.9865070487080009e-12,0.00010419985136385628,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011689758703489872,0.00029955383080799752,0.00061125780381448408,7.3680421498013005e-05,0.00086444907626083802,0.00010419985136385643,1.0000000000000151,1.5465807434663526e-10,1.5314976718714789e-10,0.9997356609799446,0,active,active,0,0
1,28,2.7115089743345581e-11,3.9865070487080009e-12,1,35,0.00010419985136385628,29,3.9865070487080009e-12,0.00010419985136385628,1.7208456881689926e-14,0,1,1,0.00010419985136385628,3.9865070487080009e-12,0.00010419985136385628,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.011689758703489872,0.00029955383080799752,0.00061125780381448408,7.3680421498013005e-05,0.00086444907626083802,0.00010419985136385643,1.0000000000000151,1.5465807434663526e-10,1.5314976718714789e-10,0.9997356609799446,0,active,active,0,0
2,29,0.00010419985136385628,4.4095051484576114e-05,1,37,4.4095051484576114e-05,29,1.7875185803086362e-12,4.4095051484576114e-05,1.4876988529977098e-14,0,1,2,4.4095051484576114e-05,1.7875185803086362e-12,4.4095051484576114e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010900016259604683,0.00027931642639118445,7.3680421498013005e-05,3.1179909921514439e-05,0.00010419985136385643,4.4095051484577266e-05,1.0000000000000138,2.1850386483588473e-11,2.1408375807261211e-11,0.99998862984012438,0,active,active,0,0
2,28,3.9865070487080009e-12,1.7875185803086362e-12,1,37,4.4095051484576114e-05,29,1.7875185803086362e-12,4.4095051484576114e-05,1.4876988529977098e-14,0,1,2,4.4095051484576114e-05,1.7875185803086362e-12,4.4095051484576114e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010900016259604683,0.00027931642639118445,7.3680421498013005e-05,3.1179909921514439e-05,0.00010419985136385643,4.4095051484577266e-05,1.0000000000000138,2.1850386483588473e-11,2.1408375807261211e-11,0.99998862984012438,0,active,active,0,0
3,29,4.4095051484576114e-05,1.3754820821981572e-05,1,39,1.3754820821981572e-05,29,2.3031975478344136e-12,1.3754820821981572e-05,1.7097434579227411e-14,0,1,3,1.3754820821981572e-05,1.7875185803086362e-12,1.3754820821981572e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010888875231088946,0.00027903093394812548,3.1179909921514439e-05,9.7261270772291527e-06,4.4095051484577266e-05,1.3754820821981488e-05,1.0000000000000151,9.6783342820115477e-12,9.1005468996590403e-12,0.99999661451127442,0,active,active,0,0
3,28,1.7875185803086362e-12,2.3031975478344136e-12,1,39,1.3754820821981572e-05,29,2.3031975478344136e-12,1.3754820821981572e-05,1.7097434579227411e-14,0,1,3,1.3754820821981572e-05,1.7875185803086362e-12,1.3754820821981572e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010888875231088946,0.00027903093394812548,3.1179909921514439e-05,9.7261270772291527e-06,4.4095051484577266e-05,1.3754820821981488e-05,1.0000000000000151,9.6783342820115477e-12,9.1005468996590403e-12,0.99999661451127442,0,active,active,0,0
4,29,1.3754820821981572e-05,9.5307653431838566e-06,1,41,9.5307653431838566e-06,29,1.7624913127512675e-12,9.5307653431838566e-06,1.6653345369377348e-14,0,1,4,9.5307653431838566e-06,1.7624913127512675e-12,9.5307653431838566e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010886450719645779,0.00027896880506171634,9.7261270772291527e-06,6.739268804062206e-06,1.3754820821981488e-05,9.5307653431825556e-06,1.000000000000012,2.0425538443358915e-12,2.0285144226779622e-12,0.99999972875955501,0,active,active,0,0
4,28,2.3031975478344136e-12,1.7624913127512675e-12,1,41,9.5307653431838566e-06,29,1.7624913127512675e-12,9.5307653431838566e-06,1.6653345369377348e-14,0,1,4,9.5307653431838566e-06,1.7624913127512675e-12,9.5307653431838566e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010886450719645779,0.00027896880506171634,9.7261270772291527e-06,6.739268804062206e-06,1.3754820821981488e-05,9.5307653431825556e-06,1.000000000000012,2.0425538443358915e-12,2.0285144226779622e-12,0.99999972875955501,0,active,active,0,0
5,29,9.5307653431838566e-06,6.6514983863258608e-06,1,43,6.6514983863258608e-06,29,1.7295770673999268e-12,6.6514983863258608e-06,1.6320278461989801e-14,0,1,5,6.6514983863258608e-06,1.7295770673999268e-12,6.6514983863258608e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886113285458521,0.00027896015820201597,6.739268804062206e-06,4.7033196140225884e-06,9.5307653431825556e-06,6.6514983863259303e-06,1.000000000000014,1.1091250672243561e-13,1.5867496892833696e-14,0.99999964038575473,0,active,active,0,0
5,28,1.7624913127512675e-12,1.7295770673999268e-12,1,43,6.6514983863258608e-06,29,1.7295770673999268e-12,6.6514983863258608e-06,1.6320278461989801e-14,0,1,5,6.6514983863258608e-06,1.7295770673999268e-12,6.6514983863258608e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886113285458521,0.00027896015820201597,6.739268804062206e-06,4.7033196140225884e-06,9.5307653431825556e-06,6.6514983863259303e-06,1.000000000000014,1.1091250672243561e-13,1.5867496892833696e-14,0.99999964038575473,0,active,active,0,0
