method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,0,-40.190776252600699,8.5252924828115995e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,1,-39.587783846039812,1.3823831588316646e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,2,-39.53015140018308,5.3483108375150852e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,3,-39.530151400183037,4.2880458094096937e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,4,-39.530151400183016,5.6624998132873499e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,5,-39.412585414388623,6.9536690287349947e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,6,-39.412585414388559,4.7756283659349202e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,7,-39.402524307527777,6.5013116581418315e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,8,-39.40252430752772,5.6639635334229834e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,9,-39.402524307527656,5.5018538791238668e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,10,-39.376663783891871,6.3630890166504603e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,11,-39.376663783891743,6.698692216687672e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,12,-39.376663783891722,5.7693177443079797e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,13,-39.367701470295536,7.4102922899318104e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,14,-39.367701470295472,4.7627130372844204e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,15,-39.364323150450062,5.6040242054171693e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,16,-39.364323150450055,5.1549514173218855e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,17,-39.364323150450033,5.2407157785965696e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,18,-39.312786707793236,5.7153677290695007e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,19,-39.312786707793194,4.9040464998267957e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,20,-39.312786707793144,5.3462722962336431e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,21,-39.290219883813243,7.5263003099933459e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,22,-39.290219883813201,5.6136461561270416e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,23,-39.290219883812917,7.9990512390163404e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,24,-39.17645843952598,1.6653646620454996e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,25,-39.059902131173466,1.574058410249447e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,26,-39.059902131173459,1.0674617687811277e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,27,-39.059902131173395,1.8552250631896675e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,28,-39.023899884567228,6.261989101519672e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,37,30,29,-39.013014208760829,7.5612910393827194e-14
